# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	LUAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		4.9291	0.5786	62.5
RIBOSOME	LUAD	POLL|27343	-	SE	chr10:103345913-103347003:103347163-103347961		4.1402	0.3773	43.75
RIBOSOME	LUAD	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		3.5096	-0.4819	37.5
RIBOSOME	LUAD	SIVA1|10572	+	A3	chr14:105219656-105221967:105219656-105222941		3.3338	-0.3901	43.75
RIBOSOME	LUAD	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		3.3018	-0.511	68.75
RIBOSOME	LUAD	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		3.2885	0.5056	81.25
RIBOSOME	LUAD	POLL|27343	-	A5	chr10:103347163-103347642:103347163-103347961		3.2767	-0.3878	62.5
RIBOSOME	LUAD	SLC44A2|57153	+	SE	chr19:10753127-10753573:10753697-10753955		3.23	0.4442	75
RIBOSOME	LUAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		3.2096	-0.5069	68.75
RIBOSOME	LUAD	DHCR24|1718	-	SE	chr1:55319907-55330976:55331119-55337023		3.0889	-0.4886	56.25
RIBOSOME	LUAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.0888	0.4869	62.5
RIBOSOME	LUAD	FANK1|92565	+	SE	chr10:127585224-127661942:127662064-127668730		2.9716	-0.4931	37.5
RIBOSOME	LUAD	SNHG12|85028	-	RI	chr1:28906045:28906099-28906424:28906493		2.9325	-0.3793	50
RIBOSOME	LUAD	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		2.9025	0.2845	56.25
RIBOSOME	LUAD	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		2.8081	-0.2325	62.5
RIBOSOME	LUAD	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		2.8027	-0.4893	68.75
RIBOSOME	LUAD	USP19|10869	-	SE	chr3:49154376-49154492:49154794-49154870		2.7293	-0.476	56.25
RIBOSOME	LUAD	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		2.7207	-0.3966	43.75
RIBOSOME	LUAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.6145	0.5068	50
RIBOSOME	LUAD	POLR2B|5431	+	SE	chr4:57852592-57856914:57857064-57860570		2.6014	-0.4893	75
RIBOSOME	LUAD	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		2.5907	-0.3981	50
RIBOSOME	LUAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.5742	0.4582	75
RIBOSOME	LUAD	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535		2.5571	-0.5132	62.5
RIBOSOME	LUAD	CCDC80|151887	-	A5	chr3:112358763-112359174:112358763-112359771		2.5536	-0.4331	56.25
RIBOSOME	LUAD	NPC1|4864	-	A3	chr18:21136628-21137081:21136577-21137081		2.5359	0.5252	75
RIBOSOME	LUAD	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		2.5075	0.4273	75
RIBOSOME	LUAD	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		2.4942	0.4249	62.5
RIBOSOME	LUAD	PIK3CB|5291	-	SE	chr3:138417937-138423285:138423335-138426001		2.4797	-0.3767	31.25
RIBOSOME	LUAD	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		2.466	0.3902	75
RIBOSOME	LUAD	ECHDC2|55268	-	RI	chr1:53370706:53370762-53372191:53372283		2.3849	-0.3496	31.25
RIBOSOME	LUAD	C10orf128|170371	-	A5	chr10:50373841-50374490:50373841-50374914		2.3659	-0.2869	50
RIBOSOME	LUAD	OGFOD2|79676	+	SE	chr12:123459930-123460358:123460414-123461201		2.3524	0.4655	43.75
RIBOSOME	LUAD	TTLL3|26140	+	SE	chr3:9859443-9860239:9860604-9862230		2.3512	-0.2638	25
RIBOSOME	LUAD	SREBF1|6720	-	RI	chr17:17720862:17720905-17721010:17721230		2.3336	0.428	68.75
RIBOSOME	LUAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.3121	-0.517	56.25
RIBOSOME	LUAD	AHCTF1|25909	-	SE	chr1:247014744-247015207:247015340-247016393		2.3101	-0.4285	43.75
RIBOSOME	LUAD	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		2.305	-0.5026	75
