# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	PRAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	3.4105	0.5112	93.75
APOPTOSIS	PRAD	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	3.2485	0.2817	68.75
APOPTOSIS	PRAD	CHI3L2|1117	+	SE	chr1:111770391-111772474:111772503-111773364		3.1942	0.4086	37.5
APOPTOSIS	PRAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		3.1863	0.3613	68.75
APOPTOSIS	PRAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	3.1132	0.3703	93.75
APOPTOSIS	PRAD	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		3.1077	0.345	62.5
APOPTOSIS	PRAD	ITGB4|3691	+	SE	chr17:73750896-73751136:73751294-73751782		2.6816	-0.3646	25
APOPTOSIS	PRAD	MCF2L2|23101	-	SE	chr3:183027623-183028304:183028443-183028703		2.4935	0.2387	43.75
APOPTOSIS	PRAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	2.3918	0.2396	81.25
APOPTOSIS	PRAD	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441		2.3558	-0.1662	37.5
APOPTOSIS	PRAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.1838	-0.2755	100
APOPTOSIS	PRAD	ITGB7|3695	-	A5	chr12:53594230-53594856:53594230-53594902		2.1793	0.225	93.75
APOPTOSIS	PRAD	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		2.1275	-0.1251	43.75
APOPTOSIS	PRAD	CIITA|4261	+	A3	chr16:10992589-10992779:10992589-10992782		2.1099	0.2044	75
APOPTOSIS	PRAD	TRPV4|59341	-	SE	chr12:110232292-110234330:110234509-110236419		2.0563	0.1057	43.75
APOPTOSIS	PRAD	SERPINA1|5265	-	SE	chr14:94849578-94854897:94855000-94856794		2.0473	0.2955	43.75
APOPTOSIS	PRAD	YAF2|10138	-	SE	chr12:42555567-42604350:42604421-42631401		2.045	-0.0421	43.75
APOPTOSIS	PRAD	CYorf15A|246126	+	A3	chrY:21749393-21750256:21749393-21751407		1.981	-0.1631	6.25
APOPTOSIS	PRAD	SPI1|6688	-	A3	chr11:47397283-47399860:47397280-47399860	Observed	1.9808	0.053	37.5
APOPTOSIS	PRAD	SP140|11262	+	SE	chr2:231115776-231118031:231118132-231120167		1.9732	0.2916	56.25
