# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	KIRC	PFDN5|5204	+	A3	chr12:53689725-53690214:53689725-53691634		4.9417	-0.4595	62.5
RIBOSOME	KIRC	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		4.1684	0.57	75
RIBOSOME	KIRC	GPBP1|65056	+	SE	chr5:56510020-56517203:56517223-56526673		4.1018	0.5315	81.25
RIBOSOME	KIRC	UROD|7389	+	A5	chr1:45479026-45479266:45478887-45479266		4.0566	0.4002	43.75
RIBOSOME	KIRC	KIAA0195|9772	+	A5	chr17:73487981-73488555:73487933-73488555		3.8688	-0.5548	68.75
RIBOSOME	KIRC	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920		3.8434	-0.6127	75
RIBOSOME	KIRC	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		3.8091	-0.5735	56.25
RIBOSOME	KIRC	C15orf44|81556	-	SE	chr15:65897574-65899497:65899780-65903436		3.722	-0.4858	50
RIBOSOME	KIRC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		3.6689	-0.6187	100
RIBOSOME	KIRC	SRCAP|10847	+	SE	chr16:30732299-30732510:30732797-30733443		3.635	-0.5702	56.25
RIBOSOME	KIRC	EIF3E|3646	-	SE	chr8:109252304-109254028:109254142-109260842		3.623	-0.4855	25
RIBOSOME	KIRC	SLC44A2|57153	+	SE	chr19:10753127-10753573:10753697-10753955		3.5981	0.5468	75
