# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	ESCA	FAM189A2|9413	+	SE	chr9:72000863-72003074:72003366-72006517		3.4183	-0.276	37.5
SPLICEOSOME	ESCA	GNB3|2784	+	A5	chr12:6952862-6952941:6952859-6952941		2.6554	-0.3747	62.5
SPLICEOSOME	ESCA	ATP8A1|10396	-	SE	chr4:42467093-42487513:42487685-42505467		2.5519	-0.4915	50
SPLICEOSOME	ESCA	ZMIZ1|57178	+	SE	chr10:81067328-81070681:81070941-81072399		2.3194	-0.5123	75
SPLICEOSOME	ESCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.3003	0.4875	56.25
SPLICEOSOME	ESCA	SMTN|6525	+	SE	chr22:31495882-31496871:31497035-31500302		2.2928	0.4289	18.75
SPLICEOSOME	ESCA	NCEH1|57552	-	SE	chr3:172363482-172365676:172365904-172428637		2.2732	-0.4058	68.75
SPLICEOSOME	ESCA	BRPF3|27154	+	SE	chr6:36185787-36189945:36190042-36193044		2.2295	-0.5112	87.5
SPLICEOSOME	ESCA	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.1827	-0.4195	37.5
SPLICEOSOME	ESCA	PPP1R12A|4659	-	MX	chr12:80192364-80199372:80199548-80201006:80192364-80199946:80200113-80201006		2.1709	0.4965	12.5
SPLICEOSOME	ESCA	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		2.0877	-0.2928	56.25
SPLICEOSOME	ESCA	BAI2|576	-	MX	chr1:32207818-32208439:32208603-32210249:32207818-32209794:32209958-32210249		2.0605	0.1473	37.5
SPLICEOSOME	ESCA	ZEB1|6935	+	A3	chr10:31750166-31784705:31750166-31784708		2.0505	-0.3271	56.25
SPLICEOSOME	ESCA	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		2.0039	-0.5282	50
SPLICEOSOME	ESCA	OSBPL9|114883	+	SE	chr1:52215867-52221992:52222030-52226362		2.0016	-0.5044	62.5
SPLICEOSOME	ESCA	ROBO1|6091	-	SE	chr3:78695340-78696779:78696805-78700882		1.9827	0.4296	75
SPLICEOSOME	ESCA	PRUNE2|158471	-	A3	chr9:79259828-79267399:79259825-79267399		1.9777	0.453	50
SPLICEOSOME	ESCA	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		1.966	0.4541	68.75
SPLICEOSOME	ESCA	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		1.9549	0.3608	56.25
SPLICEOSOME	ESCA	SYNM|23336	+	SE	chr15:99666997-99669572:99672018-99672955		1.9461	-0.4185	62.5
SPLICEOSOME	ESCA	DPP8|54878	-	MX	chr15:65744440-65746601:65746753-65756099:65744440-65748563:65748709-65756099		1.9347	0.455	37.5
SPLICEOSOME	ESCA	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		1.929	0.3047	62.5
SPLICEOSOME	ESCA	IQCG|84223	-	SE	chr3:197672557-197676244:197676320-197676710		1.9226	-0.1394	50
SPLICEOSOME	ESCA	CLN3|1201	-	A5	chr16:28500707-28502803:28500707-28503035		1.9195	-0.2861	50
SPLICEOSOME	ESCA	ZEB1|6935	+	SE	chr10:31608221-31749966:31750166-31784708		1.9146	-0.5135	56.25
SPLICEOSOME	ESCA	AEBP1|165	+	A5	chr7:44151371-44151453:44151229-44151453		1.9036	0.4879	62.5
