# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	LUSC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.9534	-0.564	87.5
COMPLEMENT_PATHWAY	LUSC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.7799	0.5648	100
COMPLEMENT_PATHWAY	LUSC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.7333	0.5124	93.75
COMPLEMENT_PATHWAY	LUSC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.2988	-0.5283	93.75
COMPLEMENT_PATHWAY	LUSC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		4.2973	-0.5709	87.5
COMPLEMENT_PATHWAY	LUSC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		4.2231	-0.5146	81.25
COMPLEMENT_PATHWAY	LUSC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		4.1826	0.5124	93.75
COMPLEMENT_PATHWAY	LUSC	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.0781	-0.4864	87.5
COMPLEMENT_PATHWAY	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.8686	0.6003	93.75
COMPLEMENT_PATHWAY	LUSC	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		3.8283	0.488	68.75
COMPLEMENT_PATHWAY	LUSC	LRP2|4036	-	SE	chr2:170131748-170134255:170134461-170135882		3.8238	0.3035	18.75
COMPLEMENT_PATHWAY	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.6462	0.592	87.5
COMPLEMENT_PATHWAY	LUSC	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		3.5748	0.3004	87.5
COMPLEMENT_PATHWAY	LUSC	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		3.3386	-0.5106	68.75
COMPLEMENT_PATHWAY	LUSC	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		3.2596	0.4811	56.25
COMPLEMENT_PATHWAY	LUSC	CIITA|4261	+	A3	chr16:10992589-10992779:10992589-10992782	Observed	3.1766	0.3713	68.75
COMPLEMENT_PATHWAY	LUSC	ZNF185|7739	+	SE	chrX:152087625-152088872:152088955-152089251		3.1389	-0.4731	56.25
COMPLEMENT_PATHWAY	LUSC	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		3.1196	0.3876	62.5
COMPLEMENT_PATHWAY	LUSC	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		3.1133	-0.4681	75
COMPLEMENT_PATHWAY	LUSC	VPS39|23339	-	SE	chr15:42483758-42484264:42484296-42492094		3.0748	-0.4877	56.25
COMPLEMENT_PATHWAY	LUSC	SLC11A1|6556	+	MX	chr2:219247098-219247683:219247825-219249870:219247098-219248966:219249088-219249870		3.0481	0.3333	43.75
COMPLEMENT_PATHWAY	LUSC	LRP2|4036	-	SE	chr2:170115727-170127414:170127617-170129437		3.0261	0.3035	18.75
COMPLEMENT_PATHWAY	LUSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		3.0115	0.3293	25
