# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		5.851	-0.4565	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	SYNC|81493	-	SE	chr1:33147461-33149611:33149690-33149859		5.7065	0.4399	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.6135	0.5968	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		5.3393	0.4432	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.2976	0.5172	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		5.265	-0.5246	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.1948	-0.5533	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		4.6692	0.5247	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.4952	-0.3213	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	CESC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.4494	-0.4017	87.5
