# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		7.523	-0.6355	18.75
SNRNP_ASSEMBLY	LUAD	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		6.3213	-0.551	31.25
SNRNP_ASSEMBLY	LUAD	PAFAH1B1|5048	+	SE	chr17:2577582-2579799:2579900-2583458		6.303	0.4716	43.75
SNRNP_ASSEMBLY	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		5.9494	-0.5067	50
SNRNP_ASSEMBLY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179305-104181761		5.318	0.4847	56.25
SNRNP_ASSEMBLY	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		5.2262	-0.4644	50
SNRNP_ASSEMBLY	LUAD	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		5.0686	-0.4883	62.5
SNRNP_ASSEMBLY	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		4.7504	0.4481	31.25
SNRNP_ASSEMBLY	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		4.7496	-0.4456	50
SNRNP_ASSEMBLY	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		4.3266	-0.4685	62.5
SNRNP_ASSEMBLY	LUAD	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		4.2662	-0.4593	56.25
SNRNP_ASSEMBLY	LUAD	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		4.2447	0.2693	68.75
