# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	LUSC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		8.3248	-0.6486	100
BASEMENT_MEMBRANE	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		6.8347	0.5572	75
BASEMENT_MEMBRANE	LUSC	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		5.2816	0.4205	68.75
BASEMENT_MEMBRANE	LUSC	COL8A1|1295	+	A3	chr3:99509854-99513071:99509854-99513074		5.1681	0.2517	68.75
BASEMENT_MEMBRANE	LUSC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.9515	-0.4486	100
BASEMENT_MEMBRANE	LUSC	PLXNB1|5364	-	RI	chr3:48454478:48454578-48455079:48455227		4.8964	-0.5016	43.75
BASEMENT_MEMBRANE	LUSC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		4.5439	0.4283	93.75
BASEMENT_MEMBRANE	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		4.3959	0.5022	87.5
BASEMENT_MEMBRANE	LUSC	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		4.3367	-0.488	50
BASEMENT_MEMBRANE	LUSC	RNF123|63891	+	A5	chr3:49750325-49750946:49750089-49750946		4.1861	-0.4419	43.75
BASEMENT_MEMBRANE	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		4.1453	-0.4594	75
BASEMENT_MEMBRANE	LUSC	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.0391	-0.3934	81.25
BASEMENT_MEMBRANE	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		3.964	0.5124	75
BASEMENT_MEMBRANE	LUSC	HEATR7A|727957	+	RI	chr8:145316017:145316119-145316187:145316252		3.9419	-0.4762	50
BASEMENT_MEMBRANE	LUSC	RGL2|5863	-	SE	chr6:33264892-33266232:33266428-33266647		3.9293	0.3793	37.5
BASEMENT_MEMBRANE	LUSC	JAG2|3714	-	A3	chr14:105613125-105613663:105613061-105613663		3.7656	-0.4898	81.25
BASEMENT_MEMBRANE	LUSC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.7222	0.313	100
BASEMENT_MEMBRANE	LUSC	TGFBI|7045	+	A5	chr5:135398376-135398875:135398362-135398875		3.7193	0.4719	75
