# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	BRCA	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	4.6112	-0.5954	81.25
ANGIOGENESIS	BRCA	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	3.9656	0.5972	81.25
ANGIOGENESIS	BRCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	3.4852	-0.3158	75
ANGIOGENESIS	BRCA	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	3.2938	0.5704	75
ANGIOGENESIS	BRCA	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	2.7012	0.3521	68.75
ANGIOGENESIS	BRCA	HSPG2|3339	-	A3	chr1:22211170-22211260:22211167-22211260	Observed	2.4422	0.1974	81.25
ANGIOGENESIS	BRCA	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	2.3142	0.4949	62.5
ANGIOGENESIS	BRCA	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	2.3116	0.4342	81.25
ANGIOGENESIS	BRCA	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	2.1799	0.3794	93.75
ANGIOGENESIS	BRCA	NFKB1|4790	+	RI	chr4:103537591:103538275-103538276:103538458	Observed	2.0424	-0.3776	68.75
ANGIOGENESIS	BRCA	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	2.0059	0.0651	62.5
ANGIOGENESIS	BRCA	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	1.9524	0.4384	87.5
ANGIOGENESIS	BRCA	SETD2|29072	-	SE	chr3:47079267-47082850:47082973-47084051	Observed	1.9356	-0.5487	56.25
ANGIOGENESIS	BRCA	FN1|2335	-	SE	chr2:216244040-216245534:216245803-216246935	Observed	1.7974	0.4451	56.25
ANGIOGENESIS	BRCA	PTGS2|5743	-	A3	chr1:186646962-186647393:186646852-186647393	Observed	1.7243	0.33	62.5
ANGIOGENESIS	BRCA	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	1.5834	0.3326	62.5
ANGIOGENESIS	BRCA	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169	Observed	1.5047	0.4966	68.75
ANGIOGENESIS	BRCA	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	1.4751	0.4229	87.5
ANGIOGENESIS	BRCA	PFKFB3|5209	+	SE	chr10:6266176-6268155:6268328-6274858	Observed	1.4388	0.341	56.25
ANGIOGENESIS	BRCA	FGFR2|2263	-	RI	chr10:123263304:123263453-123263454:123263455	Observed	1.3474	-0.338	56.25
ANGIOGENESIS	BRCA	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.3142	0.3677	75
ANGIOGENESIS	BRCA	STAT3|6774	-	SE	chr17:40498731-40500407:40500535-40540297	Observed	1.1753	0.4792	62.5
ANGIOGENESIS	BRCA	TEK|7010	+	SE	chr9:27109640-27157829:27158140-27168493	Observed	1.1744	0.4232	62.5
ANGIOGENESIS	BRCA	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657	Observed	1.0222	0.4262	81.25
ANGIOGENESIS	BRCA	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39870287	Observed	1.0005	0.251	68.75
ANGIOGENESIS	BRCA	ING1|3621	+	A5	chr13:111366632-111371576:111365933-111371576	Observed	1.0005	0.0528	56.25
ANGIOGENESIS	BRCA	TG|7038	+	SE	chr8:133984986-133995595:133995657-134024146	Observed	1.0005	0.2418	68.75
ANGIOGENESIS	BRCA	NRP1|8829	-	A5	chr10:33486637-33491819:33486637-33491840	Observed	0.949	0.393	56.25
ANGIOGENESIS	BRCA	NRP2|8828	+	A5	chr2:206631542-206656959:206631527-206656959	Observed	0.8587	0.173	56.25
ANGIOGENESIS	BRCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	0.7995	0.2496	56.25
ANGIOGENESIS	BRCA	ABL2|27	-	RI	chr1:179068463:179078033-179078343:179078576	Observed	0.7301	0.3474	68.75
ANGIOGENESIS	BRCA	EDA|1896	+	A5	chrX:69253378-69255208:69253372-69255208	Observed	0.0019	0.0661	56.25
