# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	KIRC	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026	Observed	5.2475	-0.4364	25
DNA_REPLICATION_PATHWAY	KIRC	RAD51|5888	+	SE	chr15:41021832-41022051:41022172-41023253	Observed	1.7071	-0.0471	25
DNA_REPLICATION_PATHWAY	KIRC	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127	Observed	1.5495	0.1486	62.5
DNA_REPLICATION_PATHWAY	KIRC	CDC7|8317	+	SE	chr1:91981433-91985687:91985836-91989598	Observed	1.4336	0.0967	56.25
DNA_REPLICATION_PATHWAY	KIRC	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	1.3685	0.0023	68.75
DNA_REPLICATION_PATHWAY	KIRC	PRKDC|5591	-	SE	chr8:48691654-48694723:48694815-48694939	Observed	1.3261	-0.1598	62.5
DNA_REPLICATION_PATHWAY	KIRC	CDC25C|995	-	SE	chr5:137664218-137665242:137665336-137666676	Observed	1.139	0.1947	62.5
DNA_REPLICATION_PATHWAY	KIRC	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819	Observed	1.001	-0.1127	56.25
DNA_REPLICATION_PATHWAY	KIRC	SMC2|10592	+	A5	chr9:106856767-106857605:106856758-106857605	Observed	1.001	-0.0036	56.25
DNA_REPLICATION_PATHWAY	KIRC	ZNF266|10781	-	SE	chr19:9530894-9545474:9545535-9545784	Observed	1.001	-0.0464	56.25
DNA_REPLICATION_PATHWAY	KIRC	DDR1|780	+	SE	chr6:30852487-30853402:30853457-30856465	Observed	0.4384	0.0286	56.25
