# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MYOGENESIS_PATHWAY	PRAD	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		5.697	0.6827	50
MYOGENESIS_PATHWAY	PRAD	GOLGA4|2803	+	SE	chr3:37396678-37402734:37402796-37407571		4.9767	-0.5848	37.5
MYOGENESIS_PATHWAY	PRAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		4.7527	-0.4149	68.75
MYOGENESIS_PATHWAY	PRAD	KIF1B|23095	+	SE	chr1:10332364-10333072:10333089-10335486		4.4423	-0.7014	56.25
MYOGENESIS_PATHWAY	PRAD	NEB|4703	-	SE	chr2:152349008-152349867:152349959-152350675		4.2617	-0.542	56.25
MYOGENESIS_PATHWAY	PRAD	CALD1|800	+	SE	chr7:134645379-134647571:134647685-134650057		4.1605	-0.6153	56.25
MYOGENESIS_PATHWAY	PRAD	ATP2A2|488	+	RI	chr12:110784006:110784126-110788097:110788895		4.1308	-0.6144	56.25
MYOGENESIS_PATHWAY	PRAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		4.1108	0.6272	56.25
MYOGENESIS_PATHWAY	PRAD	FAM190B|54462	+	SE	chr10:86185649-86198268:86198463-86223689		4.0477	0.6892	75
MYOGENESIS_PATHWAY	PRAD	ZFP106|64397	-	A3	chr15:42732011-42734271:42731750-42734271		3.9308	0.6617	56.25
MYOGENESIS_PATHWAY	PRAD	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		3.8748	0.6836	68.75
MYOGENESIS_PATHWAY	PRAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.7792	0.6496	87.5
MYOGENESIS_PATHWAY	PRAD	EPB41L1|2036	+	SE	chr20:34782282-34783251:34783286-34785781		3.7762	0.635	31.25
MYOGENESIS_PATHWAY	PRAD	DCAF8|50717	-	A5	chr1:160231148-160231907:160231148-160232239		3.7591	0.6107	75
MYOGENESIS_PATHWAY	PRAD	ANK3|288	-	SE	chr10:61840376-61841908:61841934-61842373		3.7429	-0.5964	43.75
MYOGENESIS_PATHWAY	PRAD	NEB|4703	-	SE	chr2:152349959-152350289:152350381-152350675		3.7367	0.4416	25
MYOGENESIS_PATHWAY	PRAD	CORO6|84940	-	A3	chr17:27942875-27942963:27942872-27942963		3.6307	0.4886	75
MYOGENESIS_PATHWAY	PRAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		3.5291	0.4593	68.75
MYOGENESIS_PATHWAY	PRAD	KCTD9|54793	-	A3	chr8:25290169-25290846:25290153-25290846		3.5288	-0.6016	37.5
MYOGENESIS_PATHWAY	PRAD	ADAMTSL4|54507	+	A3	chr1:150530625-150530733:150530625-150530949		3.5157	-0.5609	62.5
MYOGENESIS_PATHWAY	PRAD	ANKRD13A|88455	+	SE	chr12:110468563-110471602:110471762-110474066		3.4789	0.5938	56.25
MYOGENESIS_PATHWAY	PRAD	TNPO3|23534	-	SE	chr7:128595439-128597278:128597369-128607334		3.4591	0.6386	62.5
MYOGENESIS_PATHWAY	PRAD	CD99L2|83692	-	SE	chrX:149938842-149940278:149940295-149944647		3.4214	-0.635	81.25
MYOGENESIS_PATHWAY	PRAD	NEB|4703	-	MX	chr2:152354866-152357905:152357997-152359863:152354866-152359307:152359399-152359863		3.3639	-0.2545	18.75
MYOGENESIS_PATHWAY	PRAD	SBF1|6305	-	SE	chr22:50895102-50895463:50895540-50897684		3.3483	0.5802	37.5
MYOGENESIS_PATHWAY	PRAD	SSFA2|6744	+	SE	chr2:182784173-182785324:182785377-182786675		3.3234	-0.6169	68.75
MYOGENESIS_PATHWAY	PRAD	LPIN1|23175	+	SE	chr2:11928582-11931834:11931911-11932040		3.3188	-0.6339	75
MYOGENESIS_PATHWAY	PRAD	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		3.2984	0.3499	87.5
MYOGENESIS_PATHWAY	PRAD	LIMCH1|22998	+	SE	chr4:41621457-41640949:41640984-41646517		3.2359	0.5207	50
