# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HISTONE_MODIFICATIONS	ESCA	THAP6|152815	+	A5	chr4:76467762-76469538:76467696-76469538		2.14	-0.1725	37.5
HISTONE_MODIFICATIONS	ESCA	SLC12A6|9990	-	A3	chr15:34628953-34629533:34628802-34629533		2.0879	-0.0153	18.75
HISTONE_MODIFICATIONS	ESCA	ACTG1|71	-	A5	chr17:79479386-79479632:79479386-79479641		2.0476	0.307	12.5
HISTONE_MODIFICATIONS	ESCA	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		2.0424	-0.317	50
HISTONE_MODIFICATIONS	ESCA	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.0067	0.3446	56.25
HISTONE_MODIFICATIONS	ESCA	ZNF83|55769	-	SE	chr19:53118050-53122189:53122315-53138319		1.984	-0.1659	56.25
HISTONE_MODIFICATIONS	ESCA	SLC35C1|55343	+	A5	chr11:45826068-45827361:45825971-45827361		1.9344	0.0656	25
HISTONE_MODIFICATIONS	ESCA	LOC284837|284837	-	SE	chr21:45226469-45226845:45227120-45228682		1.9013	-0.1441	37.5
HISTONE_MODIFICATIONS	ESCA	NEXN|91624	+	SE	chr1:78381818-78383251:78383442-78383645		1.8663	-0.2638	37.5
HISTONE_MODIFICATIONS	ESCA	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		1.8642	-0.39	62.5
