# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.5168	0.4036	56.25
LYSOSOME	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		3.2604	-0.4314	75
LYSOSOME	COAD	BIN2|51411	-	A5	chr12:51693498-51695804:51693498-51696470		3.1612	0.2763	43.75
LYSOSOME	COAD	MTRR|4552	+	A5	chr5:7869328-7870883:7869302-7870883		2.9488	-0.2843	43.75
LYSOSOME	COAD	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		2.8351	0.3581	62.5
LYSOSOME	COAD	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998062-42998776		2.7942	0.3304	43.75
LYSOSOME	COAD	TMCO6|55374	+	A3	chr5:140022256-140022492:140022256-140022510		2.6896	-0.359	31.25
LYSOSOME	COAD	ITGB2|3689	-	SE	chr21:46321648-46323280:46323450-46326830		2.6843	0.269	31.25
LYSOSOME	COAD	SUV39H2|79723	+	A5	chr10:14920959-14923499:14920918-14923499		2.5939	0.251	43.75
LYSOSOME	COAD	TESK2|10420	-	SE	chr1:45811666-45812365:45812451-45812651		2.5887	0.2474	18.75
LYSOSOME	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		2.5618	0.3758	43.75
LYSOSOME	COAD	PITPNM1|9600	-	RI	chr11:67263649:67263816-67264702:67264907		2.4756	-0.3775	43.75
LYSOSOME	COAD	CFP|5199	-	RI	chrX:47487501:47487676-47488923:47489073		2.4581	-0.3884	31.25
LYSOSOME	COAD	PIGT|51604	+	A3	chr20:44045334-44047918:44045334-44047935		2.3948	0.3279	37.5
LYSOSOME	COAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		2.3699	-0.4314	68.75
LYSOSOME	COAD	SUPT7L|9913	-	RI	chr2:27883851:27884255-27885046:27885148		2.2651	-0.3324	93.75
LYSOSOME	COAD	FAM156A|29057	+	A3	chrX:52928567-52929594:52928567-52929597		2.2454	-0.1106	43.75
LYSOSOME	COAD	ZC3H11A|9877	+	SE	chr1:203764922-203765421:203765624-203770703		2.24	-0.1463	25
LYSOSOME	COAD	BCO2|83875	+	RI	chr11:112064197:112064420-112064602:112064717		2.2385	-0.0633	43.75
LYSOSOME	COAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		2.2069	0.3215	56.25
LYSOSOME	COAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.1991	-0.3161	62.5
LYSOSOME	COAD	ECHDC2|55268	-	RI	chr1:53370706:53370762-53372191:53372283		2.1946	-0.3186	87.5
LYSOSOME	COAD	NAT6|24142	-	A3	chr3:50335514-50336644:50335103-50336644		2.1902	-0.3221	56.25
LYSOSOME	COAD	TMEM169|92691	+	A5	chr2:216946702-216960561:216946696-216960561		2.1844	0.1512	43.75
LYSOSOME	COAD	FIGNL1|63979	-	SE	chr7:50515987-50517261:50517421-50517999		2.1793	0.1554	25
LYSOSOME	COAD	COL21A1|81578	-	A3	chr6:55925016-55925539:55924914-55925539		2.1761	-0.1157	12.5
LYSOSOME	COAD	SLC7A6|9057	+	SE	chr16:68309152-68321649:68321774-68325112		2.1461	0.2146	25
LYSOSOME	COAD	MYO1G|64005	-	A5	chr7:45014826-45015075:45014826-45015083		2.1399	-0.3121	37.5
LYSOSOME	COAD	ZFYVE20|64145	-	SE	chr3:15138217-15139626:15139781-15140542		2.1368	0.1975	56.25
LYSOSOME	COAD	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		2.122	-0.2187	68.75
LYSOSOME	COAD	B3GALNT1|8706	-	SE	chr3:160822194-160822573:160822683-160823023		2.1044	0.1964	25
LYSOSOME	COAD	ZNF828|283489	+	A3	chr13:115080118-115086585:115080118-115086624		2.0563	-0.0931	12.5
