# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		6.4032	0.5731	68.75
FOCAL_ADHESION_PATHWAY	KIRC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		5.5164	0.515	68.75
FOCAL_ADHESION_PATHWAY	KIRC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		5.4962	0.541	62.5
FOCAL_ADHESION_PATHWAY	KIRC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	5.4136	-0.5036	100
FOCAL_ADHESION_PATHWAY	KIRC	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		5.3211	-0.5589	50
FOCAL_ADHESION_PATHWAY	KIRC	PBRM1|55193	-	MX	chr3:52584833-52588740:52588895-52595783:52584833-52592265:52592429-52595783		5.2561	-0.502	12.5
FOCAL_ADHESION_PATHWAY	KIRC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.2315	-0.5688	100
FOCAL_ADHESION_PATHWAY	KIRC	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.9754	0.5329	75
FOCAL_ADHESION_PATHWAY	KIRC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.8773	-0.526	87.5
FOCAL_ADHESION_PATHWAY	KIRC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.7105	0.4937	81.25
