# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		7.1062	-0.5793	100
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		6.7024	0.4684	93.75
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		6.134	-0.4871	100
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		5.9935	-0.3578	62.5
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		5.7868	-0.4529	68.75
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		5.6574	0.5072	81.25
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	RGPD1|400966	+	A3	chr2:87203413-87203676:87203413-87203687		5.4652	0.3211	50
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		5.3511	-0.477	62.5
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		4.9928	-0.4449	81.25
INFLAMMATORY_RESPONSE_PATHWAY	LUAD	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785	Observed	4.7725	0.3051	68.75
