# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	HNSC	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	3.364	-0.6612	62.5
TRANSLATION	HNSC	VARS2|57176	+	SE	chr6:30889468-30889702:30889772-30889893	Observed	3.1311	-0.6061	43.75
TRANSLATION	HNSC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	2.9224	0.5448	62.5
TRANSLATION	HNSC	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	2.6048	-0.6571	75
TRANSLATION	HNSC	EIF2AK4|440275	+	SE	chr15:40303547-40308703:40308873-40309309	Observed	2.5395	-0.6326	56.25
TRANSLATION	HNSC	SCP2|6342	+	SE	chr1:53413752-53416427:53416558-53420412	Observed	2.5241	-0.3978	31.25
TRANSLATION	HNSC	SCN5A|6331	-	SE	chr3:38618272-38620825:38620986-38622422	Observed	2.5199	-0.3415	18.75
TRANSLATION	HNSC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	2.2991	-0.6915	81.25
TRANSLATION	HNSC	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	2.2896	-0.6449	68.75
TRANSLATION	HNSC	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008	Observed	2.1585	-0.4724	56.25
TRANSLATION	HNSC	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	2.0682	-0.5772	68.75
TRANSLATION	HNSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	1.9677	-0.5883	87.5
TRANSLATION	HNSC	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	1.9483	-0.2267	75
TRANSLATION	HNSC	NUP98|4928	-	A5	chr11:3722069-3723693:3722069-3724002	Observed	1.8916	-0.6662	56.25
TRANSLATION	HNSC	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.7084	0.6613	81.25
TRANSLATION	HNSC	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	1.5836	0.6408	87.5
TRANSLATION	HNSC	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	1.5796	0.5736	62.5
TRANSLATION	HNSC	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998113-42998776	Observed	1.5151	-0.1492	56.25
TRANSLATION	HNSC	SHC1|6464	-	A5	chr1:154936407-154938019:154936407-154938115	Observed	1.4907	-0.6382	62.5
TRANSLATION	HNSC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.4837	-0.5402	81.25
TRANSLATION	HNSC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.4807	0.6182	81.25
TRANSLATION	HNSC	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	1.4143	-0.4272	75
TRANSLATION	HNSC	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	1.3539	-0.6124	81.25
