# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	OV	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		4.1008	-0.5308	87.5
M_PHASE	OV	ACIN1|22985	-	SE	chr14:23551045-23559191:23559310-23559731		2.8189	-0.3657	75
M_PHASE	OV	HDAC7|51564	-	SE	chr12:48189550-48189689:48189799-48189990		2.6909	-0.4339	68.75
M_PHASE	OV	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		2.3324	-0.3672	56.25
M_PHASE	OV	TTLL9|164395	+	SE	chr20:30467700-30471824:30471905-30474999		2.1165	-0.2049	6.25
M_PHASE	OV	ASAP2|8853	+	SE	chr2:9528675-9531191:9531325-9533611		2.0854	-0.2013	56.25
M_PHASE	OV	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		2.0686	-0.2906	56.25
M_PHASE	OV	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.0662	-0.3408	87.5
M_PHASE	OV	RPS9|6203	+	A3	chr19:54705477-54710144:54705477-54711266		2.0569	-0.2919	56.25
M_PHASE	OV	ATE1|11101	-	MX	chr10:123629553-123658356:123658484-123661906:123629553-123659381:123659509-123661906		2.0052	0.1317	37.5
M_PHASE	OV	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		1.9837	-0.405	75
M_PHASE	OV	WDR4|10785	-	A5	chr21:44283706-44293661:44283706-44293713		1.9412	0.3329	31.25
M_PHASE	OV	NPRL3|8131	-	RI	chr16:138697:138773-138776:138888		1.9148	-0.2448	18.75
M_PHASE	OV	CDK20|23552	-	SE	chr9:90584834-90585483:90585545-90585691		1.9047	-0.248	25
M_PHASE	OV	ALG3|10195	-	A5	chr3:183963403-183966533:183963403-183966570		1.8915	0.3553	25
M_PHASE	OV	IL17RE|132014	+	SE	chr3:9944748-9945081:9945096-9945716		1.8896	-0.1768	18.75
M_PHASE	OV	SFRS7|6432	-	SE	chr2:38975795-38976040:38976488-38976671		1.8893	-0.3287	43.75
M_PHASE	OV	AMZ2P1|201283	-	RI	chr17:62968872:62969045-62969360:62969635		1.8799	-0.2626	31.25
M_PHASE	OV	ARHGEF10|9639	+	A3	chr8:1808350-1812536:1808350-1812539		1.8793	0.2093	50
M_PHASE	OV	POLI|11201	+	A5	chr18:51797855-51800296:51796402-51800296		1.8693	-0.2931	43.75
M_PHASE	OV	AFAP1L2|84632	-	SE	chr10:116060118-116060204:116060449-116061113		1.8634	-0.2761	31.25
M_PHASE	OV	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		1.8466	-0.376	81.25
M_PHASE	OV	ZMYND12|84217	-	SE	chr1:42905696-42914138:42914309-42915589		1.8382	-0.3922	43.75
M_PHASE	OV	DPF1|8193	-	A3	chr19:38713348-38720199:38713343-38720199		1.8308	0.2623	25
M_PHASE	OV	NIPSNAP3B|55335	+	SE	chr9:107533279-107533515:107533597-107535103		1.8257	-0.2233	37.5
M_PHASE	OV	AMPD3|272	+	A3	chr11:10524441-10526096:10524441-10526127		1.816	-0.2102	31.25
M_PHASE	OV	LOC387647|387647	+	A5	chr10:29698612-29704286:29698587-29704286		1.8061	0.2967	43.75
M_PHASE	OV	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		1.7809	-0.2325	75
M_PHASE	OV	TRMU|55687	+	A3	chr22:46742441-46746188:46742441-46746243		1.7701	0.2773	50
M_PHASE	OV	NCOA3|8202	+	A5	chr20:46277853-46279729:46277841-46279729		1.753	0.1304	25
M_PHASE	OV	ERI2|112479	-	A3	chr16:20810389-20810585:20809533-20810585		1.7483	-0.2084	62.5
M_PHASE	OV	RGS14|10636	+	A3	chr5:176795921-176797589:176795921-176797592		1.7417	0.1999	31.25
M_PHASE	OV	MKNK1|8569	-	A5	chr1:47059952-47069857:47059952-47069899		1.7397	-0.1527	43.75
M_PHASE	OV	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		1.7395	-0.2713	62.5
M_PHASE	OV	GLYCTK|132158	+	SE	chr3:52325127-52325763:52325938-52326276		1.7373	0.064	12.5
M_PHASE	OV	HLA-DQB2|3120	-	SE	chr6:32725081-32725550:32725660-32726627		1.7373	0.0669	50
