# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	STAD	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		4.2283	0.5816	62.5
TRANSLATION	STAD	SOS2|6655	-	A3	chr14:50596720-50597219:50596716-50597219		4.2019	-0.6045	75
TRANSLATION	STAD	PRDM2|7799	+	SE	chr1:14057612-14059274:14059377-14068500		3.7376	-0.4973	75
TRANSLATION	STAD	FLNA|2316	-	A3	chrX:153578235-153578399:153578226-153578399		3.7019	-0.6214	43.75
TRANSLATION	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.4952	0.4559	18.75
TRANSLATION	STAD	AEBP1|165	+	A5	chr7:44151371-44151453:44151229-44151453		3.4665	0.601	68.75
TRANSLATION	STAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		3.2839	0.5792	87.5
TRANSLATION	STAD	SOLH|6650	+	RI	chr16:602301:602530-602605:602771		3.2819	0.5784	43.75
TRANSLATION	STAD	CAND2|23066	+	A3	chr3:12861680-12866969:12861680-12867041		3.1956	-0.4395	50
TRANSLATION	STAD	BCOR|54880	-	A5	chrX:39911653-39913091:39911653-39913139		3.1287	0.5401	75
TRANSLATION	STAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		3.1248	0.6361	68.75
TRANSLATION	STAD	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		3.0991	-0.4201	50
TRANSLATION	STAD	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	3.0966	-0.5749	62.5
TRANSLATION	STAD	MBD5|55777	+	A5	chr2:149248163-149260005:149247069-149260005		3.0359	-0.3064	31.25
TRANSLATION	STAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		3.0294	-0.5717	62.5
TRANSLATION	STAD	DOCK6|57572	-	A3	chr19:11313391-11314757:11313385-11314757		2.8904	0.6195	68.75
TRANSLATION	STAD	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.8622	-0.6177	100
TRANSLATION	STAD	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		2.8259	-0.6078	68.75
TRANSLATION	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.8241	0.5192	50
TRANSLATION	STAD	PLXNB2|23654	-	RI	chr22:50719789:50719928-50719995:50720171		2.7978	0.6002	68.75
TRANSLATION	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		2.776	0.4531	37.5
TRANSLATION	STAD	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		2.7675	0.5701	25
TRANSLATION	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	2.7023	0.4152	62.5
TRANSLATION	STAD	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		2.6704	-0.5037	62.5
TRANSLATION	STAD	PPHLN1|51535	+	SE	chr12:42729776-42745687:42745851-42748963		2.5564	0.29	31.25
TRANSLATION	STAD	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		2.5524	0.5893	75
TRANSLATION	STAD	ZEB1|6935	+	SE	chr10:31608221-31749966:31750166-31784708		2.4693	-0.5027	43.75
TRANSLATION	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.4338	-0.5405	81.25
TRANSLATION	STAD	LOC619207|619207	+	RI	chr10:135272991:135273308-135273382:135273674		2.4236	-0.153	37.5
TRANSLATION	STAD	NEGR1|257194	-	SE	chr1:72076829-72163691:72163822-72241855		2.4086	-0.3629	12.5
TRANSLATION	STAD	AEBP1|165	+	A3	chr7:44151649-44151741:44151649-44151805		2.3997	-0.601	62.5
TRANSLATION	STAD	BOD1L|259282	-	SE	chr4:13621691-13625014:13627936-13628969		2.3844	0.5374	6.25
TRANSLATION	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.3619	0.5096	50
TRANSLATION	STAD	HPS4|89781	-	SE	chr22:26861517-26862017:26862070-26862192		2.33	-0.4458	12.5
TRANSLATION	STAD	CAMKK2|10645	-	RI	chr12:121675496:121678327-121678328:121678672		2.3197	-0.3566	31.25
TRANSLATION	STAD	PNPLA6|10908	+	A5	chr19:7622174-7623736:7622170-7623736		2.314	0.5572	68.75
TRANSLATION	STAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.3111	-0.3856	62.5
TRANSLATION	STAD	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		2.3007	-0.5509	75
TRANSLATION	STAD	OCRL|4952	+	SE	chrX:128722990-128723822:128723933-128724123		2.2908	-0.6148	56.25
TRANSLATION	STAD	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	2.2841	0.5113	81.25
TRANSLATION	STAD	SLC38A1|81539	-	SE	chr12:46637097-46648597:46648719-46662309		2.2765	0.1212	25
TRANSLATION	STAD	CLSTN1|22883	-	A5	chr1:9790763-9791180:9790763-9791264		2.269	0.5694	75
TRANSLATION	STAD	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		2.243	-0.0269	31.25
TRANSLATION	STAD	JRK|8629	-	RI	chr8:143738875:143740356-143745895:143746092		2.2335	-0.5384	50
TRANSLATION	STAD	SCMH1|22955	-	SE	chr1:41617356-41618271:41618413-41625397		2.214	0.3485	37.5
TRANSLATION	STAD	BZRAP1|9256	-	SE	chr17:56379808-56381699:56381760-56382422		2.2087	-0.436	56.25
TRANSLATION	STAD	WWC3|55841	+	SE	chrX:10085729-10088488:10088498-10090659		2.2062	0.552	68.75
TRANSLATION	STAD	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		2.2029	-0.5884	68.75
TRANSLATION	STAD	KIF21A|55605	-	A3	chr12:39709045-39709734:39709042-39709734		2.1892	0.4863	25
TRANSLATION	STAD	NFRKB|4798	-	A3	chr11:129744228-129744396:129744225-129744396		2.172	-0.4743	68.75
TRANSLATION	STAD	PPP1R12A|4659	-	SE	chr12:80192364-80199372:80199548-80199946		2.155	0.4293	6.25
TRANSLATION	STAD	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		2.1537	-0.2542	37.5
TRANSLATION	STAD	ZNF846|162993	-	A3	chr19:9872844-9873958:9872841-9873958		2.1525	0.0842	12.5
TRANSLATION	STAD	EPB41L1|2036	+	SE	chr20:34782282-34783251:34783286-34785781		2.1522	-0.565	25
TRANSLATION	STAD	IKBKAP|8518	-	SE	chr9:111637250-111637913:111638015-111640275		2.1496	0.511	18.75
TRANSLATION	STAD	ANK2|287	+	SE	chr4:114294605-114299246:114299337-114302613		2.1449	0.4154	68.75
TRANSLATION	STAD	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		2.1433	-0.404	75
TRANSLATION	STAD	CACNA2D2|9254	-	RI	chr3:50402319:50402401-50402506:50402615		2.1384	0.5074	81.25
TRANSLATION	STAD	ANKIB1|54467	+	SE	chr7:92020658-92021555:92021606-92025679		2.1263	-0.5375	56.25
TRANSLATION	STAD	SMARCA1|6594	-	SE	chrX:128626070-128627017:128627052-128630727	Observed	2.1175	-0.2517	18.75
TRANSLATION	STAD	NCOR2|9612	-	SE	chr12:124810916-124812093:124812179-124815391		2.1132	-0.5752	18.75
TRANSLATION	STAD	SCMH1|22955	-	SE	chr1:41608784-41617286:41617356-41625397		2.108	-0.3589	68.75
TRANSLATION	STAD	JAG2|3714	-	A3	chr14:105613125-105613663:105613061-105613663		2.0913	0.4885	56.25
TRANSLATION	STAD	ROBO1|6091	-	A5	chr3:78717452-78717622:78717452-78717634		2.0844	0.501	62.5
TRANSLATION	STAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	2.083	0.5748	87.5
TRANSLATION	STAD	ZFP62|643836	-	SE	chr5:180278493-180278988:180279060-180288219		2.0786	0.5072	50
TRANSLATION	STAD	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		2.0736	0.4142	25
TRANSLATION	STAD	RABL2A|11159	+	SE	chr2:114391809-114392628:114392707-114398930		2.0608	-0.179	25
TRANSLATION	STAD	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		2.0463	-0.5295	56.25
TRANSLATION	STAD	KDM3B|51780	+	SE	chr5:137722310-137726702:137727950-137728860		2.0374	-0.5644	75
TRANSLATION	STAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		2.035	-0.4487	75
TRANSLATION	STAD	MLLT10|8028	+	A5	chr10:21823449-21823574:21823423-21823574		2.0321	-0.536	56.25
TRANSLATION	STAD	MIB2|142678	+	SE	chr1:1560808-1560926:1561033-1562030		2.0183	-0.3403	56.25
TRANSLATION	STAD	XAF1|54739	+	A3	chr17:6661543-6662575:6661543-6662981		2.0169	-0.2308	37.5
TRANSLATION	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		2.0075	-0.3913	62.5
