# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	OV	HDAC7|51564	-	SE	chr12:48189550-48189689:48189799-48189990		2.7264	-0.3707	43.75
CHROMOSOME_LOCALIZATION	OV	RGS11|8786	-	SE	chr16:324265-324976:325082-325283		2.6387	-0.3085	43.75
CHROMOSOME_LOCALIZATION	OV	ZMAT3|64393	-	SE	chr3:178785597-178789115:178789235-178789383		2.3294	-0.1665	37.5
CHROMOSOME_LOCALIZATION	OV	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.2286	-0.3524	81.25
CHROMOSOME_LOCALIZATION	OV	RGS11|8786	-	SE	chr16:321568-322862:322930-323475		2.2079	-0.2877	43.75
CHROMOSOME_LOCALIZATION	OV	PCBP4|57060	-	A5	chr3:51993667-51993911:51993667-51994205		2.1904	-0.231	25
CHROMOSOME_LOCALIZATION	OV	RBM16|22828	+	RI	chr6:155054512:155054637-155054981:155055064		2.185	-0.198	12.5
CHROMOSOME_LOCALIZATION	OV	THTPA|79178	+	A5	chr14:24026248-24027904:24025552-24027904		2.1821	-0.2658	31.25
CHROMOSOME_LOCALIZATION	OV	RGS11|8786	-	A5	chr16:325498-325838:325498-325849		2.1817	0.2963	43.75
CHROMOSOME_LOCALIZATION	OV	ECHDC2|55268	-	A5	chr1:53379767-53387070:53379767-53387155		2.1272	-0.3416	37.5
CHROMOSOME_LOCALIZATION	OV	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		1.9964	-0.4433	56.25
CHROMOSOME_LOCALIZATION	OV	GALE|2582	-	A5	chr1:24122755-24122999:24122755-24123187		1.9804	-0.2575	56.25
CHROMOSOME_LOCALIZATION	OV	RNH1|6050	-	SE	chr11:502181-504824:504996-506609		1.9684	-0.078	43.75
CHROMOSOME_LOCALIZATION	OV	EPB41L1|2036	+	SE	chr20:34680735-34701615:34701721-34761686		1.9564	0.1746	18.75
CHROMOSOME_LOCALIZATION	OV	ALG3|10195	-	A5	chr3:183963403-183966533:183963403-183966570		1.9377	0.3098	37.5
CHROMOSOME_LOCALIZATION	OV	MMP23B|8510	+	A3	chr1:1568292-1568360:1568292-1568567		1.9171	-0.1697	50
CHROMOSOME_LOCALIZATION	OV	ACIN1|22985	-	SE	chr14:23551045-23559191:23559310-23559731		1.9145	-0.2834	43.75
CHROMOSOME_LOCALIZATION	OV	ALG6|29929	+	A3	chr1:63872797-63876811:63872797-63876817		1.9028	0.0232	37.5
CHROMOSOME_LOCALIZATION	OV	SFRS14|10147	-	A5	chr19:19141891-19144246:19141891-19144298		1.9008	0.2814	12.5
CHROMOSOME_LOCALIZATION	OV	GOLGA8A|23015	-	A3	chr15:34674730-34674998:34674727-34674998		1.8932	-0.117	25
CHROMOSOME_LOCALIZATION	OV	DALRD3|55152	-	RI	chr3:49053406:49053493-49053591:49053773		1.8905	-0.1102	37.5
CHROMOSOME_LOCALIZATION	OV	TMEM143|55260	-	SE	chr19:48848611-48863329:48863433-48866548		1.8786	-0.2047	43.75
CHROMOSOME_LOCALIZATION	OV	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		1.8755	-0.142	43.75
CHROMOSOME_LOCALIZATION	OV	RPL17|6139	-	A3	chr18:47018203-47018828:47017954-47018828		1.8754	-0.208	6.25
CHROMOSOME_LOCALIZATION	OV	IFT20|90410	-	SE	chr17:26659013-26659172:26659408-26662366		1.8749	0.1797	31.25
CHROMOSOME_LOCALIZATION	OV	MCL1|4170	-	RI	chr1:150547037:150548887-150548888:150549967		1.8593	0.2309	43.75
CHROMOSOME_LOCALIZATION	OV	AMZ2|51321	+	RI	chr17:66244145:66244227-66244785:66244846		1.8476	-0.2304	6.25
CHROMOSOME_LOCALIZATION	OV	CDK20|23552	-	SE	chr9:90584834-90585483:90585545-90585691		1.8356	-0.2853	31.25
CHROMOSOME_LOCALIZATION	OV	WDR47|22911	-	A3	chr1:109525401-109525904:109525395-109525904		1.8014	-0.1456	31.25
CHROMOSOME_LOCALIZATION	OV	HEATR7A|727957	+	SE	chr8:145202979-145215873:145215992-145218674		1.7902	0.1209	43.75
CHROMOSOME_LOCALIZATION	OV	EPHB6|2051	+	SE	chr7:142558944-142559775:142559891-142560514		1.789	-0.2151	25
CHROMOSOME_LOCALIZATION	OV	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819		1.7658	-0.2804	43.75
CHROMOSOME_LOCALIZATION	OV	CHRDL1|91851	-	A5	chrX:110035443-110038914:110035443-110038972		1.7657	-0.2549	18.75
CHROMOSOME_LOCALIZATION	OV	DMKN|93099	-	SE	chr19:35996888-35997028:35997087-35998360		1.744	-0.2322	18.75
CHROMOSOME_LOCALIZATION	OV	LOC374443|374443	+	A5	chr12:9801529-9806279:9800972-9806279		1.743	-0.2039	62.5
CHROMOSOME_LOCALIZATION	OV	RREB1|6239	+	SE	chr6:7240835-7246657:7247454-7248744		1.7389	-0.2363	50
CHROMOSOME_LOCALIZATION	OV	THOC5|8563	-	SE	chr22:29945147-29946717:29946832-29949437		1.7369	-0.0839	37.5
CHROMOSOME_LOCALIZATION	OV	CTNND1|1500	+	SE	chr11:57582972-57583387:57583473-57583769		1.7368	-0.0923	31.25
CHROMOSOME_LOCALIZATION	OV	NQO1|1728	-	MX	chr16:69745184-69746931:69747032-69752026:69745184-69748867:69748980-69752026		1.7365	-0.0669	31.25
CHROMOSOME_LOCALIZATION	OV	ESRP1|54845	+	MX	chr8:95690599-95704905:95705055-95718153:95690599-95709080:95709189-95718153		1.7364	-0.0256	37.5
CHROMOSOME_LOCALIZATION	OV	CD97|976	+	SE	chr19:14501891-14507154:14507285-14508470		1.7351	0.0905	18.75
CHROMOSOME_LOCALIZATION	OV	ZNF821|55565	-	MX	chr16:71898145-71898806:71898951-71913810:71898145-71901815:71901940-71913810		1.7299	-0.1436	43.75
CHROMOSOME_LOCALIZATION	OV	CLN3|1201	-	A5	chr16:28500707-28502803:28500707-28503035		1.7244	-0.3017	31.25
CHROMOSOME_LOCALIZATION	OV	MELK|9833	+	SE	chr9:36573004-36581641:36581736-36589533		1.7176	-0.074	62.5
CHROMOSOME_LOCALIZATION	OV	TNNT1|7138	-	SE	chr19:55656933-55657802:55657834-55658049		1.7154	-0.2423	25
CHROMOSOME_LOCALIZATION	OV	PPOX|5498	+	RI	chr1:161136890:161137024-161137145:161137276		1.7004	-0.2127	37.5
CHROMOSOME_LOCALIZATION	OV	NXN|64359	-	SE	chr17:707046-708308:708487-722679		1.6894	-0.0656	18.75
CHROMOSOME_LOCALIZATION	OV	TTC18|118491	-	RI	chr10:75053021:75053146-75056800:75056931		1.6884	-0.1569	37.5
CHROMOSOME_LOCALIZATION	OV	CCBL1|883	-	A5	chr9:131607690-131644176:131607690-131644182		1.6877	0.1718	18.75
CHROMOSOME_LOCALIZATION	OV	THEM4|117145	-	SE	chr1:151861849-151862459:151862690-151867484		1.6842	-0.1923	25
CHROMOSOME_LOCALIZATION	OV	TERT|7015	-	A3	chr5:1278911-1279406:1278875-1279406		1.6813	0.1528	31.25
CHROMOSOME_LOCALIZATION	OV	DCUN1D2|55208	-	SE	chr13:114115451-114117055:114117206-114128439		1.6772	-0.0177	43.75
CHROMOSOME_LOCALIZATION	OV	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		1.6769	-0.2983	62.5
CHROMOSOME_LOCALIZATION	OV	PSRC1|84722	-	A5	chr1:109825353-109825683:109825353-109825685		1.6763	-0.229	68.75
CHROMOSOME_LOCALIZATION	OV	ZNF606|80095	-	SE	chr19:58500089-58511176:58511264-58512051		1.6737	-0.2205	25
CHROMOSOME_LOCALIZATION	OV	DLEU2|8847	-	SE	chr13:50642299-50649695:50649789-50655959		1.6727	0.0338	62.5
CHROMOSOME_LOCALIZATION	OV	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		1.6708	-0.14	37.5
CHROMOSOME_LOCALIZATION	OV	COBL|23242	-	A3	chr7:51093069-51094243:51092928-51094243		1.6683	-0.1495	56.25
CHROMOSOME_LOCALIZATION	OV	WNK4|65266	+	SE	chr17:40939560-40939796:40939917-40940148		1.667	-0.0027	12.5
CHROMOSOME_LOCALIZATION	OV	RIBC1|158787	+	SE	chrX:53455032-53455231:53455575-53456802		1.6663	0.1732	56.25
CHROMOSOME_LOCALIZATION	OV	SPATA6|54558	-	SE	chr1:48878823-48917224:48917272-48918666		1.6658	-0.3229	43.75
CHROMOSOME_LOCALIZATION	OV	EPHB6|2051	+	A3	chr7:142560591-142560885:142560591-142560889		1.6656	-0.27	37.5
CHROMOSOME_LOCALIZATION	OV	TERF1|7013	+	SE	chr8:73939287-73942571:73942630-73944277		1.6641	-0.2537	43.75
