# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	COAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.7902	0.5512	68.75
DNA_REPAIR_PATHWAY	COAD	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		3.2864	0.523	68.75
DNA_REPAIR_PATHWAY	COAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.8982	-0.5251	81.25
DNA_REPAIR_PATHWAY	COAD	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098		2.7728	0.4796	37.5
DNA_REPAIR_PATHWAY	COAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.7626	-0.5952	93.75
DNA_REPAIR_PATHWAY	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.6399	-0.5667	50
DNA_REPAIR_PATHWAY	COAD	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		2.6321	0.5186	56.25
DNA_REPAIR_PATHWAY	COAD	TBC1D24|57465	+	SE	chr16:2548397-2549358:2549421-2549836		2.6049	-0.3738	31.25
DNA_REPAIR_PATHWAY	COAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.5683	-0.4501	56.25
DNA_REPAIR_PATHWAY	COAD	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472		2.4306	-0.5316	43.75
DNA_REPAIR_PATHWAY	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.3522	-0.6044	68.75
DNA_REPAIR_PATHWAY	COAD	DMWD|1762	-	SE	chr19:46287548-46287899:46287973-46288852		2.3203	-0.3908	25
DNA_REPAIR_PATHWAY	COAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.2943	-0.5766	75
DNA_REPAIR_PATHWAY	COAD	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.2723	0.5778	75
DNA_REPAIR_PATHWAY	COAD	ZNF695|57116	-	A3	chr1:247132980-247151423:247131094-247151423		2.2658	-0.2397	18.75
DNA_REPAIR_PATHWAY	COAD	SMEK2|57223	-	A3	chr2:55791633-55792038:55791612-55792038		2.2582	-0.4904	50
DNA_REPAIR_PATHWAY	COAD	LOC338799|338799	-	SE	chr12:122237862-122239478:122239514-122239613		2.2463	0.4266	50
DNA_REPAIR_PATHWAY	COAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		2.2296	-0.526	50
DNA_REPAIR_PATHWAY	COAD	RNF213|57674	+	RI	chr17:78362412:78362489-78362973:78363167		2.1949	0.5256	68.75
DNA_REPAIR_PATHWAY	COAD	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		2.1862	0.5082	37.5
DNA_REPAIR_PATHWAY	COAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		2.168	-0.5253	75
DNA_REPAIR_PATHWAY	COAD	STAT5A|6776	+	SE	chr17:40442040-40443990:40444079-40447637		2.1589	-0.4568	50
DNA_REPAIR_PATHWAY	COAD	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496		2.1325	-0.5678	62.5
DNA_REPAIR_PATHWAY	COAD	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.1254	-0.397	62.5
DNA_REPAIR_PATHWAY	COAD	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680		2.1159	-0.5612	56.25
DNA_REPAIR_PATHWAY	COAD	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462		2.1073	-0.5493	75
DNA_REPAIR_PATHWAY	COAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		2.1015	0.56	75
DNA_REPAIR_PATHWAY	COAD	RIN2|54453	+	SE	chr20:19941455-19945596:19945668-19951482		2.0909	-0.2247	75
DNA_REPAIR_PATHWAY	COAD	C1orf112|55732	+	SE	chr1:169768099-169770024:169770112-169771762		2.0841	0.1717	56.25
DNA_REPAIR_PATHWAY	COAD	LOC91316|91316	-	SE	chr22:24026054-24029018:24029182-24032419		2.0781	0.4151	62.5
DNA_REPAIR_PATHWAY	COAD	SYNM|23336	+	SE	chr15:99666997-99669572:99672018-99672955		2.0775	-0.5067	62.5
DNA_REPAIR_PATHWAY	COAD	MANEAL|149175	+	A3	chr1:38262492-38265239:38262492-38265516		2.059	-0.369	56.25
DNA_REPAIR_PATHWAY	COAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		2.0531	-0.3478	62.5
DNA_REPAIR_PATHWAY	COAD	YIPF1|54432	-	SE	chr1:54348949-54354580:54354659-54355386		2.0416	-0.354	56.25
DNA_REPAIR_PATHWAY	COAD	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.0242	-0.4614	75
DNA_REPAIR_PATHWAY	COAD	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		2.003	-0.3886	56.25
DNA_REPAIR_PATHWAY	COAD	HP1BP3|50809	-	SE	chr1:21106404-21106838:21107033-21113688		2.0008	0.4227	50
DNA_REPAIR_PATHWAY	COAD	ZNF384|171017	-	SE	chr12:6787626-6787829:6787876-6788112		1.9953	-0.3056	25
DNA_REPAIR_PATHWAY	COAD	ASPM|259266	-	SE	chr1:197065294-197069561:197074315-197086919		1.9789	-0.5363	75
DNA_REPAIR_PATHWAY	COAD	CSDE1|7812	-	SE	chr1:115282511-115292442:115292828-115300546		1.9602	-0.4949	50
DNA_REPAIR_PATHWAY	COAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		1.9594	0.5407	50
DNA_REPAIR_PATHWAY	COAD	ENC1|8507	-	A3	chr5:73932323-73936132:73932187-73936132		1.947	-0.4793	50
DNA_REPAIR_PATHWAY	COAD	CHD1|1105	-	RI	chr5:98207755:98207905-98208121:98208259		1.9324	0.4961	43.75
DNA_REPAIR_PATHWAY	COAD	ITGA6|3655	+	A5	chr2:173354386-173355752:173354341-173355752		1.9304	-0.5243	50
DNA_REPAIR_PATHWAY	COAD	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657		1.9177	-0.4172	50
DNA_REPAIR_PATHWAY	COAD	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		1.9133	-0.1935	50
DNA_REPAIR_PATHWAY	COAD	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356		1.8831	-0.5163	56.25
DNA_REPAIR_PATHWAY	COAD	MPDZ|8777	-	SE	chr9:13121931-13122086:13122169-13123152		1.8528	-0.4434	56.25
DNA_REPAIR_PATHWAY	COAD	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		1.8514	0.5314	75
DNA_REPAIR_PATHWAY	COAD	MYO5C|55930	-	SE	chr15:52562057-52563960:52564041-52564777		1.8442	-0.4071	43.75
DNA_REPAIR_PATHWAY	COAD	CLEC16A|23274	+	A5	chr16:11097162-11114050:11097114-11114050		1.8373	-0.4152	62.5
DNA_REPAIR_PATHWAY	COAD	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		1.8354	0.6005	81.25
DNA_REPAIR_PATHWAY	COAD	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875		1.8321	-0.4893	75
DNA_REPAIR_PATHWAY	COAD	CEP55|55165	+	A5	chr10:95256680-95259797:95256538-95259797		1.8314	-0.3263	56.25
DNA_REPAIR_PATHWAY	COAD	ADAMTSL4|54507	+	A3	chr1:150530625-150530733:150530625-150530949		1.8299	0.4081	62.5
DNA_REPAIR_PATHWAY	COAD	TBX15|6913	-	SE	chr1:119428139-119433490:119433588-119441651		1.8187	0.2933	56.25
DNA_REPAIR_PATHWAY	COAD	FBXL4|26235	-	SE	chr6:99375698-99382638:99382755-99395682		1.8122	-0.2498	43.75
DNA_REPAIR_PATHWAY	COAD	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629		1.7913	0.493	50
DNA_REPAIR_PATHWAY	COAD	ARHGAP17|55114	-	A3	chr16:24931581-24942105:24931568-24942105		1.7911	-0.3376	25
DNA_REPAIR_PATHWAY	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		1.7699	-0.4868	56.25
DNA_REPAIR_PATHWAY	COAD	BRD8|10902	-	SE	chr5:137501797-137502207:137502416-137503623		1.7699	-0.3898	31.25
DNA_REPAIR_PATHWAY	COAD	NPR2|4882	+	SE	chr9:35802604-35802729:35802800-35805508		1.7639	-0.17	37.5
DNA_REPAIR_PATHWAY	COAD	ICOSLG|23308	-	SE	chr21:45655445-45656750:45657100-45658331		1.737	-0.3705	43.75
DNA_REPAIR_PATHWAY	COAD	SGOL1|151648	-	A5	chr3:20225526-20227440:20225526-20227551		1.7368	-0.0971	37.5
DNA_REPAIR_PATHWAY	COAD	KLC1|3831	+	A5	chr14:104145882-104166992:104145855-104166992		1.736	-0.3688	50
DNA_REPAIR_PATHWAY	COAD	NETO2|81831	-	SE	chr16:47117712-47120137:47120250-47143394		1.7355	-0.1831	43.75
DNA_REPAIR_PATHWAY	COAD	C11orf82|220042	+	A3	chr11:82612864-82624325:82612864-82624329		1.7297	0.1371	18.75
DNA_REPAIR_PATHWAY	COAD	OGFOD2|79676	+	RI	chr12:123461418:123461517-123462907:123463116		1.7254	-0.3122	50
DNA_REPAIR_PATHWAY	COAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		1.7172	0.5458	68.75
DNA_REPAIR_PATHWAY	COAD	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.7078	-0.4783	56.25
DNA_REPAIR_PATHWAY	COAD	HPS3|84343	+	SE	chr3:148847727-148857791:148858285-148858804		1.7028	-0.4187	50
DNA_REPAIR_PATHWAY	COAD	CNOT1|23019	-	SE	chr16:58581200-58581470:58581586-58583623		1.7001	-0.4633	62.5
DNA_REPAIR_PATHWAY	COAD	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332		1.6948	-0.3815	68.75
DNA_REPAIR_PATHWAY	COAD	KIAA0907|22889	-	RI	chr1:155882836:155884111-155885664:155885755		1.6881	-0.2196	75
DNA_REPAIR_PATHWAY	COAD	GTF2IRD2|84163	-	SE	chr7:74216354-74217639:74217822-74219118		1.6866	-0.1971	43.75
DNA_REPAIR_PATHWAY	COAD	CYTSB|92521	+	SE	chr17:20059549-20107646:20109225-20130726		1.6855	-0.4881	50
DNA_REPAIR_PATHWAY	COAD	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		1.6854	-0.4126	62.5
DNA_REPAIR_PATHWAY	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		1.6834	-0.3934	37.5
DNA_REPAIR_PATHWAY	COAD	KLC4|89953	+	A5	chr6:43027976-43029049:43027920-43029049		1.6825	-0.0119	37.5
DNA_REPAIR_PATHWAY	COAD	CAMTA2|23125	-	SE	chr17:4889278-4889487:4889581-4890888		1.6816	-0.3099	31.25
DNA_REPAIR_PATHWAY	COAD	LIMK2|3985	+	SE	chr22:31608410-31621706:31621805-31654277	Observed	1.6816	-0.5104	31.25
DNA_REPAIR_PATHWAY	COAD	MTA1|9112	+	SE	chr14:105933079-105934675:105934686-105935804		1.6784	0.4581	68.75
DNA_REPAIR_PATHWAY	COAD	ARMC9|80210	+	A3	chr2:232063412-232070911:232063412-232070913		1.6767	-0.0846	25
DNA_REPAIR_PATHWAY	COAD	NOL8|55035	-	A5	chr9:95086491-95087588:95086491-95087600		1.6759	-0.4739	62.5
DNA_REPAIR_PATHWAY	COAD	EPOR|2057	-	SE	chr19:11492781-11493523:11493625-11493773		1.6759	-0.11	31.25
DNA_REPAIR_PATHWAY	COAD	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		1.6758	-0.2945	68.75
DNA_REPAIR_PATHWAY	COAD	MOCS1|4337	-	SE	chr6:39893589-39895068:39895194-39902034		1.672	-0.2343	56.25
DNA_REPAIR_PATHWAY	COAD	ECHDC1|55862	-	A5	chr6:127636041-127648143:127636041-127648147		1.6709	0.0618	37.5
