# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		6.4657	0.7782	75
COMPLEMENT_PATHWAY	COAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		6.063	-0.6664	56.25
COMPLEMENT_PATHWAY	COAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		5.6974	-0.62	93.75
COMPLEMENT_PATHWAY	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		5.6541	-0.6664	56.25
COMPLEMENT_PATHWAY	COAD	AOAH|313	-	SE	chr7:36713614-36726304:36726399-36763627		5.5468	0.6071	75
COMPLEMENT_PATHWAY	COAD	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		5.3648	0.6953	75
COMPLEMENT_PATHWAY	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		5.2244	0.6271	43.75
COMPLEMENT_PATHWAY	COAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.1626	-0.6535	93.75
COMPLEMENT_PATHWAY	COAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093	Observed	5.1208	-0.6756	56.25
COMPLEMENT_PATHWAY	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.8698	0.6323	81.25
COMPLEMENT_PATHWAY	COAD	BIN2|51411	-	A5	chr12:51693498-51695804:51693498-51696470		4.5971	0.6521	68.75
COMPLEMENT_PATHWAY	COAD	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		4.1664	-0.5247	68.75
COMPLEMENT_PATHWAY	COAD	BOC|91653	+	A3	chr3:112993529-112996942:112993529-112996945		4.0909	0.3908	43.75
COMPLEMENT_PATHWAY	COAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.0857	-0.5131	93.75
COMPLEMENT_PATHWAY	COAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.9608	0.6275	93.75
COMPLEMENT_PATHWAY	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.8645	0.6591	75
COMPLEMENT_PATHWAY	COAD	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		3.7609	0.4525	87.5
COMPLEMENT_PATHWAY	COAD	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		3.6998	-0.5419	75
COMPLEMENT_PATHWAY	COAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.6482	0.4982	68.75
COMPLEMENT_PATHWAY	COAD	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		3.6088	-0.5906	56.25
COMPLEMENT_PATHWAY	COAD	LILRB1|10859	+	SE	chr19:55144769-55145089:55145139-55145422		3.5508	0.4924	81.25
COMPLEMENT_PATHWAY	COAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.5293	-0.5632	75
COMPLEMENT_PATHWAY	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225	Observed	3.5136	0.62	50
COMPLEMENT_PATHWAY	COAD	MYO5A|4644	-	SE	chr15:52632591-52635314:52635394-52638558		3.458	0.5137	56.25
COMPLEMENT_PATHWAY	COAD	KIF1B|23095	+	SE	chr1:10332364-10333072:10333089-10335486		3.431	-0.5228	31.25
COMPLEMENT_PATHWAY	COAD	ITGBL1|9358	+	MX	chr13:102105282-102106234:102106451-102227775:102105282-102220050:102220196-102227775		3.3243	-0.4724	62.5
COMPLEMENT_PATHWAY	COAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		3.2571	0.5415	93.75
COMPLEMENT_PATHWAY	COAD	MEI1|150365	+	RI	chr22:42189833:42189914-42190375:42190481		3.2356	-0.147	62.5
COMPLEMENT_PATHWAY	COAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.2145	-0.5448	56.25
COMPLEMENT_PATHWAY	COAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.1757	0.5792	87.5
COMPLEMENT_PATHWAY	COAD	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756		3.1442	-0.211	62.5
COMPLEMENT_PATHWAY	COAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		3.1431	-0.4553	68.75
COMPLEMENT_PATHWAY	COAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		3.0509	0.5385	75
COMPLEMENT_PATHWAY	COAD	MAPRE2|10982	+	A5	chr18:32621730-32650159:32621625-32650159		3.0233	-0.5206	18.75
COMPLEMENT_PATHWAY	COAD	ANK2|287	+	MX	chr4:114294605-114295920:114296102-114302613:114294605-114299246:114299337-114302613		2.9569	0.478	43.75
COMPLEMENT_PATHWAY	COAD	IL16|3603	+	A3	chr15:81598507-81598761:81598507-81598764		2.9345	-0.5098	56.25
COMPLEMENT_PATHWAY	COAD	RCSD1|92241	+	SE	chr1:167653238-167654658:167654747-167659286		2.9003	0.4049	68.75
COMPLEMENT_PATHWAY	COAD	C20orf103|24141	+	SE	chr20:9496272-9496647:9496778-9496903		2.9	0.4913	31.25
COMPLEMENT_PATHWAY	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		2.8995	0.528	37.5
COMPLEMENT_PATHWAY	COAD	C5orf4|10826	-	SE	chr5:154214494-154217691:154217738-154230043		2.8947	0.3991	37.5
COMPLEMENT_PATHWAY	COAD	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		2.8889	0.5776	31.25
COMPLEMENT_PATHWAY	COAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.8852	0.5604	62.5
COMPLEMENT_PATHWAY	COAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		2.8797	-0.599	81.25
COMPLEMENT_PATHWAY	COAD	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		2.8561	0.4952	62.5
COMPLEMENT_PATHWAY	COAD	MCF2L2|23101	-	SE	chr3:183027623-183028304:183028443-183028703		2.8316	-0.4484	56.25
COMPLEMENT_PATHWAY	COAD	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		2.8262	0.5351	43.75
COMPLEMENT_PATHWAY	COAD	CTSL1|1514	+	A5	chr9:90341223-90342509:90341164-90342509		2.7683	-0.4955	50
COMPLEMENT_PATHWAY	COAD	SIGLEC10|89790	-	SE	chr19:51917769-51918078:51918362-51918435		2.7605	0.4148	56.25
