# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	COAD	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		4.2062	0.4732	62.5
PROTEIN_SECRETION	COAD	GSDMB|55876	-	SE	chr17:38062524-38064429:38064467-38065211		3.8502	0.3915	37.5
PROTEIN_SECRETION	COAD	MARCH6|10299	+	RI	chr5:10400896:10400954-10402171:10402251		3.0557	-0.4511	68.75
PROTEIN_SECRETION	COAD	HSH2D|84941	+	RI	chr19:16263362:16263451-16263853:16264018		3.0474	-0.4403	62.5
PROTEIN_SECRETION	COAD	CDK5RAP3|80279	+	A5	chr17:46051401-46051766:46051397-46051766		3.0368	-0.494	43.75
PROTEIN_SECRETION	COAD	AP1G2|8906	-	SE	chr14:24034910-24035025:24035101-24035273		2.9434	0.4763	75
PROTEIN_SECRETION	COAD	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.8368	-0.4218	87.5
PROTEIN_SECRETION	COAD	LOC25845|25845	-	A3	chr5:472080-472794:471938-472794		2.8338	0.4972	68.75
PROTEIN_SECRETION	COAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.7769	-0.3041	56.25
PROTEIN_SECRETION	COAD	KSR1|8844	+	SE	chr17:25799106-25810684:25810877-25877594		2.7417	0.3901	50
PROTEIN_SECRETION	COAD	GK5|256356	-	SE	chr3:141901891-141903553:141904635-141904771		2.7388	-0.4161	81.25
PROTEIN_SECRETION	COAD	ARFIP1|27236	+	SE	chr4:153784866-153791905:153792000-153793604		2.7226	0.2238	68.75
PROTEIN_SECRETION	COAD	C9orf86|55684	+	RI	chr9:139726717:139726822-139728172:139728792		2.7117	-0.3728	68.75
PROTEIN_SECRETION	COAD	NARF|26502	+	SE	chr17:80426772-80436447:80436543-80436676		2.6973	-0.25	68.75
PROTEIN_SECRETION	COAD	HPS4|89781	-	RI	chr22:26861421:26861517-26862192:26862228		2.6766	-0.457	62.5
PROTEIN_SECRETION	COAD	PI4KAP1|728233	-	A5	chr22:20385815-20386507:20385815-20386517		2.6447	0.3779	75
PROTEIN_SECRETION	COAD	C10orf76|79591	-	SE	chr10:103649247-103699620:103699695-103716354		2.6406	0.3565	93.75
