# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_LOCALIZATION	COAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		3.6551	0.6855	93.75
PROTEIN_LOCALIZATION	COAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		3.378	-0.619	93.75
PROTEIN_LOCALIZATION	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.2698	-0.6445	62.5
PROTEIN_LOCALIZATION	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		3.1825	-0.6991	62.5
PROTEIN_LOCALIZATION	COAD	ELN|2006	+	SE	chr7:73461097-73462005:73462046-73462472		2.8151	-0.585	62.5
PROTEIN_LOCALIZATION	COAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.7635	-0.5646	75
PROTEIN_LOCALIZATION	COAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		2.7401	-0.6517	93.75
PROTEIN_LOCALIZATION	COAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.7321	-0.6112	81.25
PROTEIN_LOCALIZATION	COAD	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.7218	0.6178	75
PROTEIN_LOCALIZATION	COAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.5968	0.6599	68.75
PROTEIN_LOCALIZATION	COAD	CYTSB|92521	+	SE	chr17:20059549-20107646:20109225-20130726		2.5956	-0.5995	56.25
PROTEIN_LOCALIZATION	COAD	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		2.5853	0.584	50
PROTEIN_LOCALIZATION	COAD	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		2.5396	-0.6473	68.75
PROTEIN_LOCALIZATION	COAD	SMEK2|57223	-	A3	chr2:55791633-55792038:55791612-55792038		2.5224	-0.6334	50
PROTEIN_LOCALIZATION	COAD	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		2.5151	-0.4102	62.5
PROTEIN_LOCALIZATION	COAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.4811	-0.518	87.5
PROTEIN_LOCALIZATION	COAD	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.4445	-0.6092	93.75
PROTEIN_LOCALIZATION	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.4255	-0.6671	81.25
PROTEIN_LOCALIZATION	COAD	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680		2.3744	-0.6344	50
PROTEIN_LOCALIZATION	COAD	DOCK10|55619	-	SE	chr2:225630554-225633589:225633664-225634928		2.3739	0.6048	81.25
PROTEIN_LOCALIZATION	COAD	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		2.369	0.6919	87.5
PROTEIN_LOCALIZATION	COAD	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		2.3519	-0.6836	87.5
PROTEIN_LOCALIZATION	COAD	SASH1|23328	+	SE	chr6:148848732-148852662:148852797-148853933		2.3327	-0.5883	50
