# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RNA_POLYMERASE	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.4525	-0.539	75
RNA_POLYMERASE	STAD	FLNA|2316	-	A3	chrX:153578235-153578399:153578226-153578399		3.2958	-0.5814	31.25
RNA_POLYMERASE	STAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.0752	-0.5439	87.5
RNA_POLYMERASE	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		3.0428	0.593	43.75
RNA_POLYMERASE	STAD	PPP1R12A|4659	-	SE	chr12:80192364-80199372:80199548-80199946		2.8229	0.4938	6.25
RNA_POLYMERASE	STAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.8153	0.5017	56.25
RNA_POLYMERASE	STAD	ZNF384|171017	-	SE	chr12:6787626-6787829:6787876-6788112		2.7793	-0.3679	37.5
RNA_POLYMERASE	STAD	HR|55806	-	SE	chr8:21973941-21974388:21974552-21976463		2.7628	-0.4217	37.5
RNA_POLYMERASE	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		2.7411	-0.4745	31.25
RNA_POLYMERASE	STAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.7189	-0.3947	75
RNA_POLYMERASE	STAD	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808		2.6594	-0.4654	50
RNA_POLYMERASE	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		2.586	0.51	12.5
RNA_POLYMERASE	STAD	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		2.5463	-0.4374	75
RNA_POLYMERASE	STAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.5239	-0.3815	75
RNA_POLYMERASE	STAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52592265		2.4656	0.3871	43.75
RNA_POLYMERASE	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		2.4614	0.4859	31.25
RNA_POLYMERASE	STAD	ATP2B4|493	+	SE	chr1:203696699-203702351:203702458-203708674		2.4471	0.473	50
RNA_POLYMERASE	STAD	AP2A1|160	+	A3	chr19:50308833-50308918:50308833-50308982		2.4186	-0.409	62.5
RNA_POLYMERASE	STAD	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		2.4156	0.3043	18.75
