# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_SPLICING	SKCM	QKI|9444	+	A3	chr6:163984751-163986978:163984751-163987753		3.1437	-0.3646	6.25
MRNA_SPLICING	SKCM	SEMA4A|64218	+	SE	chr1:156127923-156128179:156128277-156128510		2.596	-0.3299	43.75
MRNA_SPLICING	SKCM	NCRNA00171|80862	-	A5	chr6:30025967-30028518:30025967-30028856		2.5173	-0.2225	62.5
MRNA_SPLICING	SKCM	PI4KAP1|728233	-	A5	chr22:20385815-20386507:20385815-20386517		2.3078	-0.2234	62.5
MRNA_SPLICING	SKCM	CUL4A|8451	+	RI	chr13:113882282:113882282-113882291:113882359		2.2963	0.327	37.5
MRNA_SPLICING	SKCM	GOLGA5|9950	+	SE	chr14:93302009-93303731:93303794-93305711		2.2938	-0.2536	56.25
MRNA_SPLICING	SKCM	MYOF|26509	-	SE	chr10:95082930-95083027:95083115-95085583		2.2819	-0.33	75
MRNA_SPLICING	SKCM	OAT|4942	-	SE	chr10:126097534-126100542:126100769-126107442		2.2808	-0.1632	6.25
MRNA_SPLICING	SKCM	FLNB|2317	+	SE	chr3:58124256-58127585:58127656-58128377		2.2785	-0.3181	50
MRNA_SPLICING	SKCM	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		2.233	0.3516	68.75
MRNA_SPLICING	SKCM	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	2.1643	-0.2435	62.5
MRNA_SPLICING	SKCM	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.1534	0.3632	68.75
MRNA_SPLICING	SKCM	CIZ1|25792	-	SE	chr9:130948055-130950142:130950213-130952608		2.1291	-0.2388	43.75
MRNA_SPLICING	SKCM	RP9P|441212	-	SE	chr7:32969720-32973426:32973508-32982482		2.1224	-0.2035	25
MRNA_SPLICING	SKCM	GK|2710	+	SE	chrX:30742298-30745583:30745669-30746849		2.118	0.2914	50
MRNA_SPLICING	SKCM	MYST2|11143	+	SE	chr17:47893275-47895182:47895373-47898699		2.1127	-0.1969	68.75
MRNA_SPLICING	SKCM	MYO7A|4647	+	A3	chr11:76915274-76916507:76915274-76916592		2.0717	-0.2865	18.75
MRNA_SPLICING	SKCM	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		2.055	0.2109	43.75
MRNA_SPLICING	SKCM	PXN|5829	-	SE	chr12:120653464-120653733:120653893-120654076		2.0415	0.2743	43.75
MRNA_SPLICING	SKCM	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.0396	0.3457	50
MRNA_SPLICING	SKCM	PCBP3|54039	+	SE	chr21:47330944-47333865:47333939-47337502		2.0345	-0.2197	18.75
MRNA_SPLICING	SKCM	RASGEF1B|153020	-	SE	chr4:82377942-82378653:82378775-82380486		1.966	-0.1478	43.75
MRNA_SPLICING	SKCM	ZNF791|163049	+	SE	chr19:12721896-12723040:12723179-12734514		1.9619	0.1643	62.5
MRNA_SPLICING	SKCM	LOC100125556|100125556	+	SE	chr3:125639748-125643809:125643958-125647338		1.9556	-0.0783	37.5
MRNA_SPLICING	SKCM	SUMF2|25870	+	SE	chr7:56140804-56142279:56142429-56144527		1.9441	-0.0338	25
MRNA_SPLICING	SKCM	TNRC6C|57690	+	A5	chr17:76047538-76060803:76047529-76060803		1.9252	-0.0624	37.5
MRNA_SPLICING	SKCM	FGFR1|2260	-	SE	chr8:38287466-38297824:38297891-38314874		1.9206	-0.0996	18.75
MRNA_SPLICING	SKCM	SLC25A3|5250	+	A5	chr12:98987522-98987753:98987518-98987753		1.9165	-0.0221	25
MRNA_SPLICING	SKCM	NFATC4|4776	+	A5	chr14:24846084-24846844:24845760-24846844		1.9164	-0.09	31.25
MRNA_SPLICING	SKCM	YY1AP1|55249	-	SE	chr1:155650247-155657862:155657992-155658721		1.9152	-0.0779	68.75
MRNA_SPLICING	SKCM	PRR4|11272	-	A3	chr12:11001693-11001973:11001006-11001973		1.9076	0.2679	31.25
MRNA_SPLICING	SKCM	MZF1|7593	-	A5	chr19:59082796-59084422:59082796-59084740		1.9059	-0.0817	25
MRNA_SPLICING	SKCM	HLTF|6596	-	RI	chr3:148747904:148749150-148749988:148750159		1.9004	-0.2199	31.25
MRNA_SPLICING	SKCM	DCLK2|166614	+	A3	chr4:151125041-151141855:151125041-151141858		1.8994	-0.1224	31.25
MRNA_SPLICING	SKCM	LILRB5|10990	-	SE	chr19:54759445-54759906:54760178-54760352		1.8978	-0.1066	25
MRNA_SPLICING	SKCM	PDCD10|11235	-	SE	chr3:167438061-167443189:167443261-167452594		1.8931	-0.2026	37.5
MRNA_SPLICING	SKCM	SNHG3-RCC1|751867	+	A5	chr1:28835417-28843237:28835413-28843237		1.891	0.2076	37.5
MRNA_SPLICING	SKCM	MAPT|4137	+	SE	chr17:44064461-44067244:44067441-44068826	Observed	1.8894	-0.2751	37.5
MRNA_SPLICING	SKCM	CD200|4345	+	SE	chr3:112052071-112059749:112059830-112063809		1.8877	-0.2324	43.75
MRNA_SPLICING	SKCM	CHCHD7|79145	+	SE	chr8:57124396-57125321:57125448-57127157		1.8712	0.1253	31.25
MRNA_SPLICING	SKCM	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		1.8609	0.353	37.5
MRNA_SPLICING	SKCM	SP110|3431	-	SE	chr2:231035477-231036412:231036483-231036782		1.8599	-0.2069	43.75
MRNA_SPLICING	SKCM	DENND4C|55667	+	SE	chr9:19328160-19331976:19332182-19334975		1.8575	-0.0774	25
MRNA_SPLICING	SKCM	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		1.8298	0.1403	50
MRNA_SPLICING	SKCM	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		1.8295	-0.1931	43.75
MRNA_SPLICING	SKCM	SNX21|90203	+	A5	chr20:44463755-44469278:44463748-44469278		1.8243	0.0969	62.5
MRNA_SPLICING	SKCM	PGAP2|27315	+	SE	chr11:3832654-3844139:3844223-3845113		1.8204	0.1955	18.75
MRNA_SPLICING	SKCM	SCARA5|286133	-	SE	chr8:27767260-27779088:27779762-27823931		1.8126	-0.25	25
MRNA_SPLICING	SKCM	PSAT1|29968	+	SE	chr9:80932720-80942967:80943104-80943897		1.8125	-0.2102	37.5
MRNA_SPLICING	SKCM	ADHFE1|137872	+	SE	chr8:67356983-67357453:67357649-67359499		1.8105	-0.1789	68.75
MRNA_SPLICING	SKCM	PIK3C2B|5287	-	RI	chr1:204415084:204415130-204415215:204415272		1.8068	-0.2479	50
MRNA_SPLICING	SKCM	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281310:41281939		1.8011	-0.1885	37.5
MRNA_SPLICING	SKCM	SLCO2A1|6578	-	SE	chr3:133672605-133673810:133674037-133692507		1.7845	-0.2265	62.5
MRNA_SPLICING	SKCM	PLXDC1|57125	-	SE	chr17:37226269-37228703:37228738-37234166		1.7606	-0.1429	25
MRNA_SPLICING	SKCM	SUN2|25777	-	SE	chr22:39146325-39146903:39147040-39147215		1.7563	-0.2326	62.5
MRNA_SPLICING	SKCM	RFWD2|64326	-	SE	chr1:176055026-176069381:176069497-176085760		1.7535	0.2323	43.75
MRNA_SPLICING	SKCM	CUL4A|8451	+	A5	chr13:113873362-113882282:113873353-113882282		1.7522	-0.3277	43.75
MRNA_SPLICING	SKCM	C8orf38|137682	+	SE	chr8:96044326-96046236:96046350-96047682		1.7505	0.0319	25
MRNA_SPLICING	SKCM	TRMT2A|27037	-	RI	chr22:20104406:20104495-20104620:20104768		1.7429	-0.0416	18.75
MRNA_SPLICING	SKCM	XYLT2|64132	+	SE	chr17:48434134-48434418:48434613-48435568		1.7401	-0.3481	18.75
MRNA_SPLICING	SKCM	CLASP2|23122	-	SE	chr3:33617767-33618694:33618756-33623313		1.7398	-0.1599	18.75
MRNA_SPLICING	SKCM	PLA2G6|8398	-	SE	chr22:38522456-38524276:38524437-38525461		1.7372	-0.0126	37.5
MRNA_SPLICING	SKCM	ZBTB43|23099	+	SE	chr9:129567411-129571072:129571194-129594766		1.7372	-0.1314	37.5
MRNA_SPLICING	SKCM	XPNPEP1|7511	-	SE	chr10:111651584-111652770:111652833-111667449		1.7371	-0.2059	31.25
MRNA_SPLICING	SKCM	GDAP1|54332	+	A5	chr8:75263701-75272372:75263556-75272372		1.737	0.0286	31.25
MRNA_SPLICING	SKCM	ABI1|10006	-	SE	chr10:27040712-27044584:27044670-27047991		1.737	0.1705	56.25
MRNA_SPLICING	SKCM	RIF1|55183	+	SE	chr2:152324660-152324988:152325065-152325155		1.737	-0.0623	37.5
MRNA_SPLICING	SKCM	SYTL3|94120	+	A3	chr6:159084410-159086419:159084410-159086427		1.7365	0.1698	25
MRNA_SPLICING	SKCM	DLG1|1739	-	A3	chr3:196803556-196807922:196803553-196807922		1.7365	-0.0844	31.25
MRNA_SPLICING	SKCM	SUMF2|25870	+	SE	chr7:56140804-56141867:56141911-56144527		1.7364	0.0321	62.5
MRNA_SPLICING	SKCM	NBPF16|728936	+	SE	chr1:148745964-148749832:148749995-148751038		1.7364	0.0736	6.25
MRNA_SPLICING	SKCM	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		1.7362	0.1885	37.5
MRNA_SPLICING	SKCM	MLST8|64223	+	A3	chr16:2255513-2256032:2255513-2256062		1.7359	-0.0799	43.75
MRNA_SPLICING	SKCM	WASH7P|653635	-	A3	chr1:15947-16607:15942-16607		1.7358	-0.0319	31.25
MRNA_SPLICING	SKCM	FAM19A3|284467	+	A3	chr1:113265787-113266598:113265787-113266635		1.7353	0.0979	6.25
MRNA_SPLICING	SKCM	YAF2|10138	-	SE	chr12:42555567-42631401:42631526-42631957		1.7353	-0.0994	6.25
MRNA_SPLICING	SKCM	NEIL2|252969	+	RI	chr8:11627172:11627300-11627683:11627844		1.7338	-0.16	43.75
MRNA_SPLICING	SKCM	CLEC7A|64581	-	SE	chr12:10271189-10275844:10275962-10277896		1.7323	-0.1946	37.5
MRNA_SPLICING	SKCM	CASK|8573	-	SE	chrX:41469278-41481870:41481887-41485857		1.7309	0.2187	37.5
MRNA_SPLICING	SKCM	LRRK2|120892	+	SE	chr12:40693059-40694615:40694866-40696591		1.7288	0.2444	43.75
MRNA_SPLICING	SKCM	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		1.7279	-0.2736	31.25
MRNA_SPLICING	SKCM	SIGLEC10|89790	-	RI	chr19:51919152:51919421-51919564:51919611		1.7267	0.119	50
