# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	STAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.4937	-0.5867	68.75
SNRNP_ASSEMBLY	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		5.359	0.6318	43.75
SNRNP_ASSEMBLY	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.2102	0.6312	62.5
SNRNP_ASSEMBLY	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		5.1954	0.6495	18.75
SNRNP_ASSEMBLY	STAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		4.9076	-0.5886	12.5
SNRNP_ASSEMBLY	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		4.8873	-0.5284	37.5
SNRNP_ASSEMBLY	STAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		4.5893	-0.5155	56.25
SNRNP_ASSEMBLY	STAD	PUM2|23369	-	SE	chr2:20463221-20478344:20478580-20482708		4.5347	0.4951	37.5
SNRNP_ASSEMBLY	STAD	TCF12|6938	+	SE	chr15:57543621-57544619:57544690-57545460		4.5242	0.4536	25
SNRNP_ASSEMBLY	STAD	MYBBP1A|10514	-	RI	chr17:4442192:4442270-4442734:4443262		4.4604	0.408	68.75
