# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	LUAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		5.4408	0.4711	56.25
RRNA_PROCESSING	LUAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		5.0354	0.5676	93.75
RRNA_PROCESSING	LUAD	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		4.3064	-0.4911	68.75
RRNA_PROCESSING	LUAD	FANK1|92565	+	SE	chr10:127585224-127661942:127662064-127668730		4.2388	-0.4491	43.75
RRNA_PROCESSING	LUAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		4.2257	0.5014	81.25
RRNA_PROCESSING	LUAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		3.8655	-0.4782	87.5
RRNA_PROCESSING	LUAD	CCDC80|151887	-	A5	chr3:112358763-112359174:112358763-112359771		3.7738	-0.3823	62.5
RRNA_PROCESSING	LUAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.7714	-0.4563	81.25
RRNA_PROCESSING	LUAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		3.7446	0.4872	81.25
RRNA_PROCESSING	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		3.7286	-0.4514	68.75
RRNA_PROCESSING	LUAD	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.6654	-0.4316	75
RRNA_PROCESSING	LUAD	NR1H3|10062	+	A3	chr11:47283000-47283098:47283000-47283470		3.5394	-0.4323	37.5
RRNA_PROCESSING	LUAD	TUBGCP6|85378	-	A3	chr22:50656831-50656917:50656799-50656917		3.4949	-0.4331	56.25
RRNA_PROCESSING	LUAD	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		3.4922	-0.4859	87.5
RRNA_PROCESSING	LUAD	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		3.4921	-0.4719	75
RRNA_PROCESSING	LUAD	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		3.4685	0.3856	50
RRNA_PROCESSING	LUAD	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		3.4096	0.4235	62.5
RRNA_PROCESSING	LUAD	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		3.3526	-0.4719	50
RRNA_PROCESSING	LUAD	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		3.3431	0.448	81.25
RRNA_PROCESSING	LUAD	STAB1|23166	+	RI	chr3:52557443:52557592-52557668:52557772		3.3022	0.4671	62.5
RRNA_PROCESSING	LUAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		3.3012	0.4174	68.75
RRNA_PROCESSING	LUAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		3.2261	0.4467	68.75
RRNA_PROCESSING	LUAD	CUTA|51596	-	A5	chr6:33385472-33385736:33385472-33385864		3.2217	-0.4039	31.25
RRNA_PROCESSING	LUAD	MYO7A|4647	+	SE	chr11:76922982-76923659:76923705-76923997		3.2192	0.3776	68.75
RRNA_PROCESSING	LUAD	SBF1|6305	-	SE	chr22:50895102-50895463:50895540-50897684		3.2003	-0.3771	50
RRNA_PROCESSING	LUAD	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		3.1755	-0.4576	75
RRNA_PROCESSING	LUAD	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		3.1491	-0.1731	56.25
RRNA_PROCESSING	LUAD	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		3.14	-0.4816	68.75
RRNA_PROCESSING	LUAD	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		3.139	-0.419	68.75
RRNA_PROCESSING	LUAD	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		3.1187	-0.5189	56.25
RRNA_PROCESSING	LUAD	ZNF532|55205	+	A5	chr18:56646399-56648702:56646387-56648702		3.1156	-0.4368	75
RRNA_PROCESSING	LUAD	PARD3|56288	-	A5	chr10:34625171-34626206:34625171-34626293		3.0713	0.3507	68.75
RRNA_PROCESSING	LUAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		3.0516	-0.469	62.5
RRNA_PROCESSING	LUAD	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		3.0343	-0.4222	68.75
RRNA_PROCESSING	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.0297	-0.4297	37.5
RRNA_PROCESSING	LUAD	POLR2J4|84820	-	SE	chr7:44053278-44054205:44054382-44056033		3.0265	0.2982	25
RRNA_PROCESSING	LUAD	POLR2B|5431	+	SE	chr4:57852592-57856914:57857064-57860570		2.9951	-0.4631	62.5
RRNA_PROCESSING	LUAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.9778	0.4275	81.25
RRNA_PROCESSING	LUAD	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		2.9759	-0.4218	62.5
RRNA_PROCESSING	LUAD	DOM3Z|1797	-	A5	chr6:31938924-31939097:31938924-31939706		2.9724	-0.3613	62.5
RRNA_PROCESSING	LUAD	TMUB2|79089	+	RI	chr17:42266303:42266667-42266779:42266956		2.9705	-0.3092	31.25
RRNA_PROCESSING	LUAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		2.9661	-0.509	75
RRNA_PROCESSING	LUAD	NPC1|4864	-	A3	chr18:21136628-21137081:21136577-21137081		2.9553	0.46	68.75
RRNA_PROCESSING	LUAD	LOC678655|678655	-	A5	chr12:6557903-6559507:6557903-6560036		2.9512	-0.269	25
RRNA_PROCESSING	LUAD	SLCO2B1|11309	+	SE	chr11:74862442-74876832:74876994-74883424		2.9505	0.4944	62.5
RRNA_PROCESSING	LUAD	C9orf86|55684	+	RI	chr9:139726717:139726822-139728172:139728792		2.937	-0.4113	50
RRNA_PROCESSING	LUAD	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.9313	-0.3606	81.25
RRNA_PROCESSING	LUAD	CCDC88A|55704	-	SE	chr2:55523659-55526975:55527055-55528342		2.8996	-0.4183	56.25
RRNA_PROCESSING	LUAD	GSTK1|373156	+	A5	chr7:142962389-142964710:142962185-142964710		2.8858	-0.3282	50
RRNA_PROCESSING	LUAD	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		2.8837	-0.4014	37.5
RRNA_PROCESSING	LUAD	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276601-21295967		2.8761	-0.3869	43.75
RRNA_PROCESSING	LUAD	DAXX|1616	-	A3	chr6:33289751-33290639:33289344-33290639		2.8733	-0.4206	37.5
RRNA_PROCESSING	LUAD	ANKRD19|138649	+	SE	chr9:95588860-95591220:95591445-95599059		2.8601	-0.1751	37.5
RRNA_PROCESSING	LUAD	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		2.8103	-0.1499	31.25
RRNA_PROCESSING	LUAD	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		2.806	-0.3964	81.25
RRNA_PROCESSING	LUAD	RUSC2|9853	+	A5	chr9:35548532-35555057:35548207-35555057		2.8009	-0.3774	43.75
RRNA_PROCESSING	LUAD	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.7788	0.4079	87.5
RRNA_PROCESSING	LUAD	SUN2|25777	-	SE	chr22:39146325-39146903:39147040-39147215		2.768	-0.3737	50
RRNA_PROCESSING	LUAD	LOC92249|92249	-	SE	chrX:62652371-62736790:62736962-62780712		2.7612	0.3102	56.25
RRNA_PROCESSING	LUAD	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		2.7524	-0.4922	68.75
RRNA_PROCESSING	LUAD	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.7522	-0.462	81.25
RRNA_PROCESSING	LUAD	STAB1|23166	+	RI	chr3:52555612:52555716-52555860:52555967		2.7507	0.4759	62.5
RRNA_PROCESSING	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		2.7442	-0.3037	62.5
RRNA_PROCESSING	LUAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.7347	-0.3322	62.5
RRNA_PROCESSING	LUAD	PRDM2|7799	+	SE	chr1:14099683-14104913:14109326-14113010		2.7297	-0.4462	87.5
RRNA_PROCESSING	LUAD	ITGAM|3684	+	SE	chr16:31308975-31309066:31309275-31332562		2.7246	-0.4299	56.25
RRNA_PROCESSING	LUAD	PFDN5|5204	+	A3	chr12:53689725-53690214:53689725-53691634		2.6999	-0.4134	31.25
RRNA_PROCESSING	LUAD	TUBGCP6|85378	-	A3	chr22:50656546-50656618:50656527-50656618		2.6867	-0.4331	56.25
RRNA_PROCESSING	LUAD	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		2.6781	-0.3597	43.75
RRNA_PROCESSING	LUAD	RPS9|6203	+	A3	chr19:54705477-54710144:54705477-54711266		2.6714	-0.3447	68.75
RRNA_PROCESSING	LUAD	CHD3|1107	+	A3	chr17:7807309-7807447:7807309-7807760		2.6711	0.4134	75
RRNA_PROCESSING	LUAD	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.6675	-0.4093	56.25
RRNA_PROCESSING	LUAD	KDM2B|84678	-	SE	chr12:122012498-122013686:122013764-122016707		2.6635	-0.4514	56.25
RRNA_PROCESSING	LUAD	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875		2.6355	-0.4232	50
RRNA_PROCESSING	LUAD	POLL|27343	-	A5	chr10:103347163-103347642:103347163-103347961		2.6291	-0.3948	75
RRNA_PROCESSING	LUAD	METT11D1|64745	+	A3	chr14:21458757-21460251:21458757-21460283		2.6162	-0.3493	31.25
RRNA_PROCESSING	LUAD	LAMC3|10319	+	A3	chr9:133957548-133960911:133957548-133960995		2.6074	-0.4164	50
RRNA_PROCESSING	LUAD	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496		2.6038	-0.4086	56.25
RRNA_PROCESSING	LUAD	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435		2.6029	-0.4455	56.25
RRNA_PROCESSING	LUAD	FHAD1|114827	+	SE	chr1:15656037-15665977:15666047-15668232		2.6012	0.1408	43.75
RRNA_PROCESSING	LUAD	NBEAL2|23218	+	A5	chr3:47046828-47046979:47046811-47046979		2.601	0.3621	50
RRNA_PROCESSING	LUAD	SLC44A2|57153	+	SE	chr19:10753127-10753573:10753697-10753955		2.5926	0.3483	50
RRNA_PROCESSING	LUAD	LRRK1|79705	+	SE	chr15:101606946-101607445:101607592-101608876		2.5899	0.4248	62.5
RRNA_PROCESSING	LUAD	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		2.5867	-0.3676	62.5
RRNA_PROCESSING	LUAD	ATP2B1|490	-	SE	chr12:89985072-89992369:89992520-89992894		2.5739	0.4006	43.75
RRNA_PROCESSING	LUAD	QSOX1|5768	+	RI	chr1:180165397:180166025-180166468:180167167		2.5702	-0.4339	31.25
RRNA_PROCESSING	LUAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.5693	-0.4076	62.5
RRNA_PROCESSING	LUAD	LIMA1|51474	-	A3	chr12:50575820-50586235:50575817-50586235		2.5574	-0.4047	81.25
RRNA_PROCESSING	LUAD	GPR172A|79581	+	A5	chr8:145582725-145582844:145582270-145582844		2.5558	-0.3915	62.5
RRNA_PROCESSING	LUAD	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.5515	-0.4542	50
RRNA_PROCESSING	LUAD	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609135-33622926		2.5471	-0.3884	81.25
RRNA_PROCESSING	LUAD	LOC388796|388796	-	SE	chr20:37050888-37054583:37054696-37055062		2.5459	-0.2991	12.5
RRNA_PROCESSING	LUAD	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		2.5425	0.3532	62.5
RRNA_PROCESSING	LUAD	CIZ1|25792	-	A5	chr9:130941183-130941268:130941183-130941352		2.5384	0.1939	62.5
RRNA_PROCESSING	LUAD	ZNF410|57862	+	A3	chr14:74370813-74371605:74370813-74371634		2.5375	-0.3701	62.5
RRNA_PROCESSING	LUAD	INF2|64423	+	SE	chr14:105181677-105183900:105183983-105185132		2.5347	0.448	62.5
RRNA_PROCESSING	LUAD	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		2.528	-0.3609	68.75
RRNA_PROCESSING	LUAD	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.5262	0.4006	87.5
RRNA_PROCESSING	LUAD	EWSR1|2130	+	A3	chr22:29678546-29682912:29678546-29682987		2.5247	-0.4022	68.75
RRNA_PROCESSING	LUAD	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		2.5104	-0.3778	62.5
RRNA_PROCESSING	LUAD	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.8905	-0.4533	87.5
RRNA_PROCESSING	LUAD	ABCC1|4363	+	SE	chr16:16173335-16180681:16180848-16184262	Observed	1.6446	-0.2891	62.5
RRNA_PROCESSING	LUAD	DIS3|22894	-	SE	chr13:73355141-73355427:73355494-73355743	Observed	0.7913	-0.3201	56.25
