# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RNA_POLYMERASE	KIRC	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		4.1417	-0.4957	50
RNA_POLYMERASE	KIRC	ZC3H7A|29066	-	A5	chr16:11852395-11855262:11852395-11855324		4.0692	-0.4371	43.75
RNA_POLYMERASE	KIRC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		4.0147	0.5014	62.5
RNA_POLYMERASE	KIRC	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		3.9912	-0.5198	81.25
RNA_POLYMERASE	KIRC	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		3.7956	-0.3636	68.75
RNA_POLYMERASE	KIRC	CHD3|1107	+	A3	chr17:7807309-7807447:7807309-7807760		3.7602	0.4452	68.75
RNA_POLYMERASE	KIRC	FANK1|92565	+	SE	chr10:127585224-127661942:127662064-127668730		3.6419	-0.4569	50
RNA_POLYMERASE	KIRC	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		3.5256	-0.2316	62.5
RNA_POLYMERASE	KIRC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.2309	-0.4139	56.25
RNA_POLYMERASE	KIRC	STK16|8576	+	A5	chr2:220110518-220110618:220110244-220110618		3.1626	-0.2523	50
RNA_POLYMERASE	KIRC	ACCS|84680	+	A3	chr11:44097142-44098829:44097142-44098873		3.1359	0.4516	18.75
RNA_POLYMERASE	KIRC	ECHDC2|55268	-	A3	chr1:53372283-53373540:53370762-53373540		3.0647	-0.4367	12.5
RNA_POLYMERASE	KIRC	LOC339290|339290	+	A3	chr18:5239048-5240186:5239048-5241698		3.0606	-0.4163	37.5
RNA_POLYMERASE	KIRC	SCHIP1|29970	+	A5	chr3:159482927-159583952:159482888-159583952		2.9839	0.3405	43.75
RNA_POLYMERASE	KIRC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.964	-0.4387	81.25
RNA_POLYMERASE	KIRC	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.9442	-0.4485	62.5
