# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	BLCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		4.6363	0.6335	75
COMPLEMENT_ACTIVATION	BLCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		4.3256	-0.6176	100
COMPLEMENT_ACTIVATION	BLCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.2051	-0.4108	93.75
COMPLEMENT_ACTIVATION	BLCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.173	-0.548	100
COMPLEMENT_ACTIVATION	BLCA	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		3.9631	0.5569	75
COMPLEMENT_ACTIVATION	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.9225	-0.597	62.5
COMPLEMENT_ACTIVATION	BLCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.7825	0.5783	93.75
COMPLEMENT_ACTIVATION	BLCA	CD99L2|83692	-	SE	chrX:149984551-149996779:149998077-149999704		3.7562	-0.5433	18.75
COMPLEMENT_ACTIVATION	BLCA	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		3.6318	-0.43	43.75
COMPLEMENT_ACTIVATION	BLCA	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.5073	0.5641	81.25
COMPLEMENT_ACTIVATION	BLCA	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.3987	-0.5225	87.5
COMPLEMENT_ACTIVATION	BLCA	LST1|7940	+	A3	chr6:31555510-31555721:31555510-31555726		3.3928	0.3591	68.75
COMPLEMENT_ACTIVATION	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.3439	-0.5333	93.75
COMPLEMENT_ACTIVATION	BLCA	NCF1C|654817	-	RI	chr7:74578131:74578238-74578702:74578824		3.2721	0.2406	25
COMPLEMENT_ACTIVATION	BLCA	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.2422	0.5641	93.75
COMPLEMENT_ACTIVATION	BLCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.1453	-0.4235	81.25
COMPLEMENT_ACTIVATION	BLCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		3.0663	-0.4927	75
COMPLEMENT_ACTIVATION	BLCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.0035	0.4717	68.75
COMPLEMENT_ACTIVATION	BLCA	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		2.9761	0.4638	68.75
COMPLEMENT_ACTIVATION	BLCA	HCK|3055	+	A3	chr20:30661164-30661519:30661164-30661522		2.868	0.2821	81.25
COMPLEMENT_ACTIVATION	BLCA	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		2.8625	0.3945	75
COMPLEMENT_ACTIVATION	BLCA	FCGR1B|2210	-	SE	chr1:120927417-120928331:120928615-120930039		2.8254	0.2683	37.5
COMPLEMENT_ACTIVATION	BLCA	CD300A|11314	+	SE	chr17:72462882-72469675:72470013-72470671	Observed	2.808	-0.1775	50
COMPLEMENT_ACTIVATION	BLCA	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.7836	-0.4051	87.5
COMPLEMENT_ACTIVATION	BLCA	FCGR1B|2210	-	A3	chr1:120934638-120935448:120934635-120935448		2.7139	-0.2852	25
COMPLEMENT_ACTIVATION	BLCA	LILRB4|11006	+	A3	chr19:55178200-55179086:55178200-55179089		2.7074	-0.1489	87.5
COMPLEMENT_ACTIVATION	BLCA	INF2|64423	+	SE	chr14:105181193-105181621:105181677-105185132		2.7023	-0.4216	31.25
COMPLEMENT_ACTIVATION	BLCA	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		2.6686	-0.5099	37.5
COMPLEMENT_ACTIVATION	BLCA	CFP|5199	-	RI	chrX:47487501:47487676-47488923:47489073		2.6485	-0.2788	37.5
COMPLEMENT_ACTIVATION	BLCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.6114	-0.513	62.5
COMPLEMENT_ACTIVATION	BLCA	FAM18A|780776	-	A3	chr16:10863335-10864129:10862958-10864129		2.5848	-0.3682	75
COMPLEMENT_ACTIVATION	BLCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.5435	0.4918	100
COMPLEMENT_ACTIVATION	BLCA	FOLR2|2350	+	A5	chr11:71927969-71929605:71927963-71929605		2.4902	0.3425	68.75
COMPLEMENT_ACTIVATION	BLCA	LST1|7940	+	A3	chr6:31555743-31556295:31555743-31556340		2.4257	-0.3893	56.25
COMPLEMENT_ACTIVATION	BLCA	CCDC80|151887	-	SE	chr3:112324610-112326023:112326103-112328825		2.3844	-0.2682	12.5
COMPLEMENT_ACTIVATION	BLCA	LILRB4|11006	+	A3	chr19:55174519-55175212:55174519-55175261		2.3827	-0.3597	43.75
COMPLEMENT_ACTIVATION	BLCA	LAIR1|3903	-	A3	chr19:54872816-54875902:54872813-54875902		2.3712	0.1844	75
COMPLEMENT_ACTIVATION	BLCA	P4HA3|283208	-	SE	chr11:73997436-73998161:73998336-74000124		2.3711	-0.3413	18.75
COMPLEMENT_ACTIVATION	BLCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.3466	-0.4358	93.75
COMPLEMENT_ACTIVATION	BLCA	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.3226	-0.5037	93.75
COMPLEMENT_ACTIVATION	BLCA	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.3225	-0.509	68.75
COMPLEMENT_ACTIVATION	BLCA	CALCOCO1|57658	-	RI	chr12:54104903:54105905-54106884:54106990		2.267	-0.3694	43.75
COMPLEMENT_ACTIVATION	BLCA	TMEM106A|113277	+	SE	chr17:41367960-41368468:41368608-41368716		2.2657	0.2999	50
COMPLEMENT_ACTIVATION	BLCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.2555	0.4399	62.5
COMPLEMENT_ACTIVATION	BLCA	LTBP1|4052	+	A5	chr2:33487891-33488361:33487888-33488361		2.2454	-0.4756	43.75
COMPLEMENT_ACTIVATION	BLCA	HLA-DMB|3109	-	SE	chr6:32903154-32903313:32903429-32904949		2.2394	-0.2532	18.75
