# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	TMEM106A|113277	+	SE	chr17:41367960-41368468:41368608-41368716		3.245	-0.2983	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.2329	-0.5002	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		2.9837	-0.4096	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		2.8115	0.4097	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	SORBS2|8470	-	SE	chr4:186599976-186605908:186606000-186696381		2.7663	0.3908	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		2.6693	-0.4868	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.5535	0.4724	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	SYNE2|23224	+	SE	chr14:64548298-64554137:64554205-64554389		2.5207	0.2838	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.5183	-0.3736	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	CLIP1|6249	-	SE	chr12:122832026-122835658:122835690-122837273		2.4694	-0.3352	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	PROM2|150696	+	SE	chr2:95954754-95955476:95955547-95955881		2.4645	0.3738	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	PRAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.4425	-0.4865	56.25
