# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	BRCA	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		5.1116	0.6111	68.75
AR_PATHWAY	BRCA	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.8101	0.4251	68.75
AR_PATHWAY	BRCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		4.7542	0.4977	56.25
AR_PATHWAY	BRCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		4.3643	0.4317	62.5
AR_PATHWAY	BRCA	ATG16L1|55054	+	SE	chr2:234181698-234182367:234182423-234183322		4.3192	-0.5013	50
AR_PATHWAY	BRCA	MBNL1|4154	+	MX	chr3:152165562-152173331:152173366-152177060:152165562-152174056:152174150-152177060		4.3172	-0.5038	81.25
AR_PATHWAY	BRCA	AP1G2|8906	-	SE	chr14:24034910-24035025:24035101-24035273		3.9017	0.4791	75
AR_PATHWAY	BRCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		3.8375	0.2323	31.25
AR_PATHWAY	BRCA	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		3.7884	-0.3328	68.75
AR_PATHWAY	BRCA	DNM2|1785	+	MX	chr19:10906115-10906737:10906875-10909162:10906115-10908056:10908194-10909162		3.5837	0.4763	50
AR_PATHWAY	BRCA	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		3.5526	0.4592	56.25
AR_PATHWAY	BRCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.5352	0.3593	56.25
AR_PATHWAY	BRCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		3.4955	-0.3305	50
AR_PATHWAY	BRCA	RHOT2|89941	+	RI	chr16:720892:721000-721083:721203		3.4904	-0.4759	50
