# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	STAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	4.1915	0.4509	93.75
APOPTOSIS	STAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	3.2669	0.5736	93.75
APOPTOSIS	STAD	CREM|1390	+	SE	chr10:35484142-35490379:35490414-35495823	Observed	2.137	0.2125	43.75
APOPTOSIS	STAD	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819	Observed	1.9723	0.1643	62.5
APOPTOSIS	STAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357	Observed	1.9686	-0.2763	43.75
APOPTOSIS	STAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014	Observed	1.9119	0.2143	75
APOPTOSIS	STAD	KRAS|3845	-	SE	chr12:25362845-25368371:25368494-25378548	Observed	1.8382	0.3025	18.75
APOPTOSIS	STAD	AMPH|273	-	A5	chr7:38466586-38467438:38466586-38468656	Observed	1.7005	-0.2555	12.5
APOPTOSIS	STAD	GSN|2934	+	MX	chr9:124043840-124044717:124044828-124064241:124043840-124062334:124062404-124064241	Observed	1.4164	0.1471	68.75
APOPTOSIS	STAD	IRF5|3663	+	A3	chr7:128586616-128587077:128586616-128587284	Observed	1.3736	-0.0931	56.25
APOPTOSIS	STAD	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184	Observed	1.348	-0.2571	56.25
APOPTOSIS	STAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	1.2857	0.1534	81.25
APOPTOSIS	STAD	PTPN13|5783	+	SE	chr4:87672277-87674162:87674218-87679413	Observed	1.2353	-0.0761	56.25
APOPTOSIS	STAD	DNM1L|10059	+	SE	chr12:32890095-32891198:32891230-32892998	Observed	1.2016	0.2334	62.5
APOPTOSIS	STAD	BCL2L11|10018	+	SE	chr2:111881446-111907621:111907724-111921710	Observed	1.001	0.0463	62.5
APOPTOSIS	STAD	CD40|958	+	MX	chr20:44751395-44751765:44751858-44756777:44751395-44755279:44755340-44756777	Observed	1.001	0.0176	68.75
APOPTOSIS	STAD	DAP3|7818	+	MX	chr1:155679615-155686797:155686919-155695173:155679615-155691308:155691409-155695173	Observed	1.001	0.0979	62.5
APOPTOSIS	STAD	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	1.001	0.0852	75
APOPTOSIS	STAD	IRF5|3663	+	RI	chr7:128587284:128587344-128587375:128587589	Observed	1.001	0.0426	56.25
APOPTOSIS	STAD	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.001	-0.1252	56.25
APOPTOSIS	STAD	TCF7L2|6934	+	A3	chr10:114799885-114849156:114799885-114849159	Observed	1.001	0.158	56.25
APOPTOSIS	STAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	0.9805	0.2041	62.5
APOPTOSIS	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	0.9056	0.2386	56.25
APOPTOSIS	STAD	CUTC|51076	+	SE	chr10:101507147-101510126:101510153-101514286	Observed	0.523	0.0974	62.5
APOPTOSIS	STAD	XAF1|54739	+	A3	chr17:6661543-6662575:6661543-6662981	Observed	0.4882	-0.2397	75
APOPTOSIS	STAD	HTRA2|27429	+	A3	chr2:74757039-74757572:74757039-74757588	Observed	0.4315	0.0174	56.25
APOPTOSIS	STAD	XAF1|54739	+	SE	chr17:6663920-6665474:6665559-6673962	Observed	0.4113	-0.0597	56.25
APOPTOSIS	STAD	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	0.3515	0.2165	68.75
APOPTOSIS	STAD	VAV1|7409	+	SE	chr19:6822340-6822430:6822525-6825064	Observed	0.253	-0.0124	56.25
APOPTOSIS	STAD	BIN1|274	-	SE	chr2:127808488-127808730:127808819-127816587	Observed	0.1119	-0.1977	62.5
APOPTOSIS	STAD	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	0.0787	0.0409	56.25
