# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INTEGRIN_BINDING	SKCM	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		7.1407	-0.6493	100
INTEGRIN_BINDING	SKCM	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		6.9699	0.5891	100
INTEGRIN_BINDING	SKCM	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		6.6092	0.5388	87.5
INTEGRIN_BINDING	SKCM	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		5.1183	0.4481	62.5
INTEGRIN_BINDING	SKCM	CD37|951	+	A5	chr19:49838866-49838971:49838832-49838971		4.465	0.3651	37.5
INTEGRIN_BINDING	SKCM	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	4.4359	-0.4862	100
INTEGRIN_BINDING	SKCM	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		4.4097	0.2946	81.25
INTEGRIN_BINDING	SKCM	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		4.2417	0.4201	81.25
INTEGRIN_BINDING	SKCM	ENTPD1|953	+	SE	chr10:97515523-97570390:97570563-97599448		3.8873	0.3968	56.25
INTEGRIN_BINDING	SKCM	P4HA3|283208	-	A3	chr11:73979286-73980697:73979279-73980697		3.8317	0.322	62.5
INTEGRIN_BINDING	SKCM	AXL|558	+	SE	chr19:41745219-41745599:41745625-41748788		3.751	0.3111	62.5
INTEGRIN_BINDING	SKCM	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		3.6789	0.4216	75
INTEGRIN_BINDING	SKCM	GATA2|2624	-	A3	chr3:128200787-128202703:128200745-128202703		3.5904	0.1882	37.5
INTEGRIN_BINDING	SKCM	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		3.5192	-0.3694	68.75
INTEGRIN_BINDING	SKCM	SEPT4|5414	-	SE	chr17:56603674-56604043:56604339-56606476		3.4191	0.2684	31.25
INTEGRIN_BINDING	SKCM	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.4176	0.4053	93.75
INTEGRIN_BINDING	SKCM	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		3.3867	0.2839	37.5
INTEGRIN_BINDING	SKCM	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		3.2087	-0.3477	75
INTEGRIN_BINDING	SKCM	KCNMA1|3778	-	MX	chr10:78729825-78761165:78761338-78771725:78729825-78767943:78767951-78771725		3.0381	0.3611	25
INTEGRIN_BINDING	SKCM	UNC5B|219699	+	SE	chr10:73048489-73048715:73048747-73050672		2.9988	0.2969	56.25
INTEGRIN_BINDING	SKCM	H2AFY|9555	-	MX	chr5:134681747-134686513:134686603-134696187:134681747-134688636:134688735-134696187		2.9973	0.2648	12.5
INTEGRIN_BINDING	SKCM	MFAP5|8076	-	SE	chr12:8803185-8804258:8804287-8807033		2.9413	0.29	75
INTEGRIN_BINDING	SKCM	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		2.9088	-0.3535	62.5
INTEGRIN_BINDING	SKCM	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		2.9052	0.2742	75
INTEGRIN_BINDING	SKCM	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.8914	-0.3213	81.25
INTEGRIN_BINDING	SKCM	MRC2|9902	+	SE	chr17:60766321-60766883:60767121-60767255		2.8899	0.0893	18.75
INTEGRIN_BINDING	SKCM	FAIM2|23017	-	A3	chr12:50291384-50291770:50291366-50291770		2.8716	-0.2215	43.75
INTEGRIN_BINDING	SKCM	SULT1A3|6818	+	RI	chr16:29475784:29476275-29476276:29476300		2.866	-0.3619	56.25
INTEGRIN_BINDING	SKCM	HSPA12B|116835	+	A3	chr20:3725735-3726118:3725735-3726140		2.8507	-0.2921	68.75
INTEGRIN_BINDING	SKCM	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		2.7964	0.298	50
INTEGRIN_BINDING	SKCM	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		2.7911	-0.2968	18.75
INTEGRIN_BINDING	SKCM	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.7889	-0.3618	62.5
INTEGRIN_BINDING	SKCM	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		2.7868	0.2888	81.25
INTEGRIN_BINDING	SKCM	LTBP1|4052	+	A5	chr2:33487891-33488361:33487888-33488361		2.7493	-0.2542	56.25
INTEGRIN_BINDING	SKCM	PLAGL1|5325	-	SE	chr6:144269597-144281606:144281679-144285924		2.746	0.2117	31.25
INTEGRIN_BINDING	SKCM	SECTM1|6398	-	A3	chr17:80280887-80282458:80280881-80282458		2.7388	0.3372	25
INTEGRIN_BINDING	SKCM	CES1|1066	-	A3	chr16:55846955-55850836:55846953-55850836		2.6889	0.2705	31.25
INTEGRIN_BINDING	SKCM	OSMR|9180	+	A5	chr5:38846489-38869134:38846228-38869134		2.6727	0.3022	81.25
INTEGRIN_BINDING	SKCM	AFTPH|54812	+	SE	chr2:64806680-64808324:64808407-64812556		2.67	-0.3351	50
INTEGRIN_BINDING	SKCM	PRR5L|79899	+	SE	chr11:36467990-36472759:36472885-36483892		2.6668	0.1975	43.75
INTEGRIN_BINDING	SKCM	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		2.6604	0.3439	56.25
INTEGRIN_BINDING	SKCM	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.6226	-0.3286	81.25
INTEGRIN_BINDING	SKCM	QKI|9444	+	A3	chr6:163984751-163986978:163984751-163987753		2.6069	0.4107	6.25
INTEGRIN_BINDING	SKCM	HEPH|9843	+	A3	chrX:65483530-65486282:65483530-65486285		2.5813	-0.3129	68.75
INTEGRIN_BINDING	SKCM	C12orf76|400073	-	SE	chr12:110495101-110496793:110496968-110503665		2.5806	-0.2231	6.25
INTEGRIN_BINDING	SKCM	ELN|2006	+	A5	chr7:73470765-73471002:73470687-73471002		2.5736	-0.2481	18.75
INTEGRIN_BINDING	SKCM	KIAA0907|22889	-	RI	chr1:155882836:155884111-155885664:155885755		2.5361	-0.3272	62.5
INTEGRIN_BINDING	SKCM	ELN|2006	+	SE	chr7:73480062-73480274:73480327-73481062		2.5224	0.2918	68.75
INTEGRIN_BINDING	SKCM	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457		2.4971	0.3205	75
INTEGRIN_BINDING	SKCM	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.4844	-0.4136	81.25
INTEGRIN_BINDING	SKCM	FAIM2|23017	-	SE	chr12:50282985-50283264:50283351-50283900		2.4812	0.2371	43.75
INTEGRIN_BINDING	SKCM	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		2.4065	0.3391	68.75
INTEGRIN_BINDING	SKCM	TBC1D10C|374403	+	A5	chr11:67174209-67174298:67174163-67174298		2.362	-0.1669	50
INTEGRIN_BINDING	SKCM	CDK2AP2|10263	-	A5	chr11:67275160-67275331:67275160-67275472		2.3505	0.0242	31.25
INTEGRIN_BINDING	SKCM	SEMA3B|7869	+	RI	chr3:50310966:50311077-50311175:50311259		2.343	-0.3348	56.25
INTEGRIN_BINDING	SKCM	ELN|2006	+	SE	chr7:73449744-73450885:73450914-73452037		2.3348	-0.2195	56.25
INTEGRIN_BINDING	SKCM	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.3289	-0.3445	68.75
INTEGRIN_BINDING	SKCM	ECM1|1893	+	A5	chr1:150482238-150482311:150482232-150482311		2.3244	-0.1589	18.75
INTEGRIN_BINDING	SKCM	DNHD1|144132	+	A3	chr11:6587221-6587331:6587221-6587471		2.3168	0.0987	31.25
INTEGRIN_BINDING	SKCM	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		2.3	-0.2434	25
INTEGRIN_BINDING	SKCM	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.295	-0.2898	87.5
INTEGRIN_BINDING	SKCM	GGT5|2687	-	A3	chr22:24621382-24621514:24621379-24621514		2.289	0.1843	43.75
INTEGRIN_BINDING	SKCM	NEK9|91754	-	RI	chr14:75572653:75572699-75573205:75573405		2.2638	-0.3184	56.25
INTEGRIN_BINDING	SKCM	SELP|6403	-	SE	chr1:169560694-169562843:169562962-169563930		2.2601	0.2192	50
INTEGRIN_BINDING	SKCM	PDE2A|5138	-	SE	chr11:72319795-72342122:72342183-72353298		2.2559	0.3836	56.25
INTEGRIN_BINDING	SKCM	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		2.2464	0.2274	62.5
INTEGRIN_BINDING	SKCM	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.2455	0.3703	93.75
INTEGRIN_BINDING	SKCM	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		2.2399	-0.2916	50
INTEGRIN_BINDING	SKCM	NBR2|10230	+	SE	chr17:41277787-41283225:41283287-41290674		2.233	-0.0906	50
INTEGRIN_BINDING	SKCM	PEX13|5194	+	A3	chr2:61244986-61245319:61244986-61245324		2.2265	-0.1062	31.25
INTEGRIN_BINDING	SKCM	SLC25A16|8034	-	SE	chr10:70276600-70276841:70277022-70287003		2.1978	-0.3631	43.75
INTEGRIN_BINDING	SKCM	MARCH6|10299	+	RI	chr5:10400896:10400954-10402171:10402251		2.1928	-0.3003	56.25
INTEGRIN_BINDING	SKCM	NT5E|4907	+	SE	chr6:86199317-86200226:86200375-86201695		2.1924	0.0844	50
INTEGRIN_BINDING	SKCM	ATP5J|522	-	A5	chr21:27102112-27107300:27102112-27107626		2.1871	-0.1631	37.5
INTEGRIN_BINDING	SKCM	ACCS|84680	+	A5	chr11:44089465-44092806:44089328-44092806		2.1801	0.3002	12.5
INTEGRIN_BINDING	SKCM	MTMR9L|339483	-	A3	chr1:32700811-32704896:32700714-32704896		2.1741	0.25	18.75
INTEGRIN_BINDING	SKCM	FAM161A|84140	-	SE	chr2:62063244-62065673:62065840-62066556		2.1732	-0.2069	37.5
INTEGRIN_BINDING	SKCM	TBC1D8|11138	-	A5	chr2:101676001-101706671:101676001-101706716		2.1726	-0.2871	37.5
INTEGRIN_BINDING	SKCM	ZNF518A|9849	+	SE	chr10:97893405-97911173:97911323-97915083		2.1676	-0.0763	25
INTEGRIN_BINDING	SKCM	NFATC4|4776	+	RI	chr14:24845500:24846084-24846844:24848808		2.1653	-0.3219	81.25
INTEGRIN_BINDING	SKCM	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		2.1643	0.2802	68.75
INTEGRIN_BINDING	SKCM	LTBP4|8425	+	RI	chr19:41123006:41123091-41123094:41123130		2.1611	-0.3456	31.25
INTEGRIN_BINDING	SKCM	RUVBL1|8607	-	SE	chr3:127784063-127806549:127806651-127816143		2.1578	0.1909	31.25
INTEGRIN_BINDING	SKCM	PER3|8863	+	A3	chr1:7848306-7854017:7848306-7854020		2.1544	0.1347	43.75
INTEGRIN_BINDING	SKCM	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		2.1492	-0.3401	75
INTEGRIN_BINDING	SKCM	PTPDC1|138639	+	A5	chr9:96847056-96847533:96847050-96847533		2.1358	0.0015	37.5
INTEGRIN_BINDING	SKCM	ELN|2006	+	SE	chr7:73452069-73455546:73455581-73456944		2.1345	-0.2881	31.25
INTEGRIN_BINDING	SKCM	PER3|8863	+	A3	chr1:7887875-7889894:7887875-7889897		2.1332	0.1315	43.75
INTEGRIN_BINDING	SKCM	ITGBL1|9358	+	MX	chr13:102105282-102106234:102106451-102227775:102105282-102220050:102220196-102227775		2.13	-0.2915	56.25
INTEGRIN_BINDING	SKCM	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11374605		2.1291	0.2155	12.5
INTEGRIN_BINDING	SKCM	CADM1|23705	-	SE	chr11:115049495-115069126:115069158-115080294		2.1254	0.0754	56.25
INTEGRIN_BINDING	SKCM	CALD1|800	+	A5	chr7:134618828-134620439:134618141-134620439		2.12	0.0448	37.5
INTEGRIN_BINDING	SKCM	IL15|3600	+	SE	chr4:142641719-142642212:142642330-142643077		2.1198	0.0587	37.5
INTEGRIN_BINDING	SKCM	GK|2710	+	SE	chrX:30742298-30745583:30745669-30746849		2.117	-0.2924	43.75
INTEGRIN_BINDING	SKCM	COL18A1|80781	+	RI	chr21:46924330:46924426-46924436:46924470		2.1156	-0.1829	37.5
INTEGRIN_BINDING	SKCM	P4HA3|283208	-	SE	chr11:73997436-73998161:73998336-74000124		2.1135	-0.2071	37.5
INTEGRIN_BINDING	SKCM	LAT2|7462	+	SE	chr7:73624418-73629152:73629270-73630277		2.1111	0.1705	25
INTEGRIN_BINDING	SKCM	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.1092	-0.1601	68.75
INTEGRIN_BINDING	SKCM	NR1H3|10062	+	A3	chr11:47283000-47283098:47283000-47283470		2.1058	-0.181	25
INTEGRIN_BINDING	SKCM	PAX3|5077	-	SE	chr2:223066161-223066663:223066909-223084859		2.1	0.1668	6.25
INTEGRIN_BINDING	SKCM	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643	Observed	1.5551	0.299	81.25
