# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	COAD	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572		3.3532	-0.1891	62.5
SNRNP_ASSEMBLY	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.3183	-0.5137	81.25
SNRNP_ASSEMBLY	COAD	CACNA1C|775	+	SE	chr12:2743546-2757641:2757673-2760806		3.2693	-0.2338	31.25
SNRNP_ASSEMBLY	COAD	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		3.264	-0.3711	43.75
SNRNP_ASSEMBLY	COAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		3.1748	-0.4926	68.75
SNRNP_ASSEMBLY	COAD	AURKA|6790	-	A5	chr20:54965721-54967210:54965721-54967224		3.0356	0.2651	62.5
SNRNP_ASSEMBLY	COAD	MBD5|55777	+	A5	chr2:149248163-149260005:149247069-149260005		2.9875	-0.3633	56.25
SNRNP_ASSEMBLY	COAD	SNHG12|85028	-	RI	chr1:28906045:28906493-28907072:28907158		2.978	-0.4047	56.25
SNRNP_ASSEMBLY	COAD	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.9505	-0.4081	75
SNRNP_ASSEMBLY	COAD	HP1BP3|50809	-	SE	chr1:21106404-21106838:21107033-21113688		2.9334	0.4468	56.25
SNRNP_ASSEMBLY	COAD	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967210		2.9175	-0.2697	50
SNRNP_ASSEMBLY	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		2.8137	-0.3723	56.25
SNRNP_ASSEMBLY	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.7775	-0.4287	81.25
SNRNP_ASSEMBLY	COAD	DMWD|1762	-	SE	chr19:46287548-46287899:46287973-46288852		2.7623	-0.4007	50
SNRNP_ASSEMBLY	COAD	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		2.7583	-0.3959	56.25
SNRNP_ASSEMBLY	COAD	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.7325	-0.3674	62.5
SNRNP_ASSEMBLY	COAD	TPM1|7168	+	A5	chr15:63356389-63358095:63356341-63358095		2.724	0.326	62.5
SNRNP_ASSEMBLY	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.6816	0.3951	81.25
SNRNP_ASSEMBLY	COAD	SLC16A2|6567	+	SE	chrX:73745728-73749048:73749276-73751168		2.6655	-0.2805	68.75
SNRNP_ASSEMBLY	COAD	SORBS1|10580	-	SE	chr10:97106209-97110973:97111133-97114639		2.5882	-0.3518	43.75
SNRNP_ASSEMBLY	COAD	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		2.5404	-0.3541	62.5
SNRNP_ASSEMBLY	COAD	SLC4A2|6522	+	A5	chr7:150760276-150761289:150759750-150761289		2.5258	-0.1937	31.25
SNRNP_ASSEMBLY	COAD	DPP8|54878	-	SE	chr15:65746753-65748563:65748709-65756099		2.5157	-0.2763	50
SNRNP_ASSEMBLY	COAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		2.4838	-0.3128	50
SNRNP_ASSEMBLY	COAD	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		2.4327	0.2767	50
SNRNP_ASSEMBLY	COAD	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		2.4148	-0.3541	62.5
SNRNP_ASSEMBLY	COAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.4016	-0.4038	68.75
SNRNP_ASSEMBLY	COAD	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.3792	0.3492	68.75
SNRNP_ASSEMBLY	COAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		2.362	-0.2473	68.75
SNRNP_ASSEMBLY	COAD	DBF4B|80174	+	RI	chr17:42827963:42828045-42829308:42829631		2.3473	-0.2075	12.5
SNRNP_ASSEMBLY	COAD	SYNM|23336	+	RI	chr15:99669572:99672018-99672955:99675799		2.3448	0.2683	37.5
SNRNP_ASSEMBLY	COAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		2.3421	-0.3585	37.5
SNRNP_ASSEMBLY	COAD	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		2.3286	0.335	43.75
SNRNP_ASSEMBLY	COAD	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		2.3255	0.3251	68.75
SNRNP_ASSEMBLY	COAD	COASY|80347	+	A3	chr17:40714237-40714630:40714237-40714951		2.3221	-0.1423	50
SNRNP_ASSEMBLY	COAD	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.3138	-0.3746	75
SNRNP_ASSEMBLY	COAD	WDR44|54521	+	SE	chrX:117578457-117581023:117581077-117582856		2.3082	0.3454	18.75
SNRNP_ASSEMBLY	COAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.3061	-0.3701	56.25
SNRNP_ASSEMBLY	COAD	PLSCR3|57048	-	A3	chr17:7297586-7297796:7297478-7297796		2.2676	-0.195	62.5
SNRNP_ASSEMBLY	COAD	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		2.2652	0.3901	43.75
SNRNP_ASSEMBLY	COAD	DMKN|93099	-	SE	chr19:35990931-35991280:35991321-35991435		2.2567	-0.2136	37.5
SNRNP_ASSEMBLY	COAD	PPP1CA|5499	-	SE	chr11:67168390-67168539:67168703-67169199		2.2496	-0.201	56.25
SNRNP_ASSEMBLY	COAD	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		2.2479	-0.2483	68.75
SNRNP_ASSEMBLY	COAD	BOC|91653	+	A5	chr3:112935125-112968569:112935121-112968569		2.2395	0.2504	31.25
SNRNP_ASSEMBLY	COAD	TRAPPC2|6399	-	A5	chrX:13738101-13752163:13738101-13752169		2.2386	0.0885	50
SNRNP_ASSEMBLY	COAD	TSGA10|80705	-	SE	chr2:99688337-99689481:99689536-99695122		2.2341	-0.253	81.25
SNRNP_ASSEMBLY	COAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.2335	-0.3953	68.75
SNRNP_ASSEMBLY	COAD	TMCO6|55374	+	A3	chr5:140022256-140022492:140022256-140022510		2.2293	0.319	50
SNRNP_ASSEMBLY	COAD	CNNM2|54805	+	SE	chr10:104828479-104831531:104831596-104835843		2.2242	-0.2311	50
SNRNP_ASSEMBLY	COAD	IL18RAP|8807	+	SE	chr2:103039807-103040271:103040595-103040691		2.1876	-0.0132	31.25
SNRNP_ASSEMBLY	COAD	MYL5|4636	+	A5	chr4:669643-669862:669242-669862		2.1514	-0.0494	50
SNRNP_ASSEMBLY	COAD	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.1315	0.2817	81.25
SNRNP_ASSEMBLY	COAD	SEMA4G|57715	+	SE	chr10:102740986-102743062:102744114-102744247		2.1314	-0.3043	43.75
SNRNP_ASSEMBLY	COAD	C20orf103|24141	+	SE	chr20:9496272-9496647:9496778-9496903		2.1289	-0.3104	37.5
SNRNP_ASSEMBLY	COAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.1146	-0.2518	62.5
SNRNP_ASSEMBLY	COAD	SGCE|8910	-	SE	chr7:94228275-94229009:94229035-94229958		2.1092	-0.233	56.25
SNRNP_ASSEMBLY	COAD	FASTKD2|22868	+	A5	chr2:207630471-207631368:207630378-207631368		2.0744	-0.2981	62.5
SNRNP_ASSEMBLY	COAD	RAP1GAP2|23108	+	SE	chr17:2861088-2865964:2866008-2866724		2.0734	-0.264	56.25
SNRNP_ASSEMBLY	COAD	LRRC36|55282	+	SE	chr16:67399258-67400920:67401360-67404847		2.0686	-0.0052	6.25
SNRNP_ASSEMBLY	COAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		2.0685	0.3535	43.75
SNRNP_ASSEMBLY	COAD	AVIL|10677	-	RI	chr12:58201114:58201272-58201373:58201510		2.0587	0.0266	56.25
SNRNP_ASSEMBLY	COAD	RREB1|6239	+	SE	chr6:7240835-7246657:7247454-7248744		2.0572	-0.2566	56.25
SNRNP_ASSEMBLY	COAD	TMBIM1|64114	-	SE	chr2:219144849-219146663:219146904-219157189		2.0519	-0.2335	68.75
SNRNP_ASSEMBLY	COAD	BTN3A2|11118	+	SE	chr6:26368278-26368406:26368495-26368793		2.0414	-0.3811	50
SNRNP_ASSEMBLY	COAD	RARS2|57038	-	A5	chr6:88279308-88299419:88279308-88299640		2.0307	-0.31	62.5
