# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	THCA	ANO10|55129	-	SE	chr3:43616356-43618184:43618753-43621845		4.2966	-0.575	43.75
RRNA_PROCESSING	THCA	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		4.2321	-0.6144	62.5
RRNA_PROCESSING	THCA	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		4.2304	0.6099	81.25
RRNA_PROCESSING	THCA	SYT11|23208	+	SE	chr1:155829586-155837756:155838582-155850291		4.0331	-0.5915	62.5
RRNA_PROCESSING	THCA	CTNNB1|1499	+	A3	chr3:41265572-41266017:41265572-41266233		3.7568	-0.5727	50
RRNA_PROCESSING	THCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.7174	-0.527	75
RRNA_PROCESSING	THCA	MYO1B|4430	+	SE	chr2:192265194-192265475:192265561-192267358		3.6161	-0.6171	62.5
RRNA_PROCESSING	THCA	LIMA1|51474	-	A3	chr12:50575820-50586235:50575817-50586235		3.6026	-0.6298	81.25
RRNA_PROCESSING	THCA	TRIB2|28951	+	A5	chr2:12858703-12863386:12857136-12863386		3.5594	-0.6169	50
RRNA_PROCESSING	THCA	ARHGAP17|55114	-	SE	chr16:24931581-24939005:24939053-24942105		3.4054	0.6166	37.5
RRNA_PROCESSING	THCA	MDC1|9656	-	A3	chr6:30673875-30675161:30671598-30675161		3.2667	-0.619	62.5
RRNA_PROCESSING	THCA	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462		3.1138	-0.5895	68.75
RRNA_PROCESSING	THCA	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		3.1031	-0.4993	87.5
RRNA_PROCESSING	THCA	PRKDC|5591	-	SE	chr8:48691654-48694723:48694815-48694939		3.0294	-0.4832	31.25
RRNA_PROCESSING	THCA	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		3.0186	0.6017	50
RRNA_PROCESSING	THCA	ADCY3|109	-	SE	chr2:25061491-25061716:25061781-25062742		2.9756	0.5856	56.25
