# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	THCA	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	3.0172	-0.6329	68.75
TRANSLATION	THCA	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	3.0139	-0.6359	87.5
TRANSLATION	THCA	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	2.6017	-0.625	75
TRANSLATION	THCA	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	2.4218	0.4399	62.5
TRANSLATION	THCA	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	2.3392	0.6169	81.25
TRANSLATION	THCA	NFAT5|10725	+	SE	chr16:69660431-69680420:69680481-69680931	Observed	2.2575	0.2524	62.5
TRANSLATION	THCA	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.9833	-0.3723	68.75
TRANSLATION	THCA	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920	Observed	1.9213	-0.6316	68.75
TRANSLATION	THCA	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276604-21295967	Observed	1.9104	-0.6197	62.5
TRANSLATION	THCA	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	1.8595	-0.5841	81.25
TRANSLATION	THCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	1.8032	0.6353	87.5
TRANSLATION	THCA	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	1.765	-0.5162	68.75
TRANSLATION	THCA	C3|718	-	A5	chr19:6685157-6686131:6685157-6686135	Observed	1.7326	0.6159	56.25
TRANSLATION	THCA	SYNE1|23345	-	A3	chr6:152605319-152614723:152605307-152614723	Observed	1.6835	0.2284	56.25
TRANSLATION	THCA	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.6213	-0.2284	93.75
TRANSLATION	THCA	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	1.5108	-0.5427	62.5
TRANSLATION	THCA	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	1.4166	-0.4977	75
TRANSLATION	THCA	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856	Observed	1.4143	0.5707	68.75
TRANSLATION	THCA	DLG1|1739	-	SE	chr3:196869639-196876614:196876667-196921296	Observed	1.2849	-0.5932	68.75
TRANSLATION	THCA	MEN1|4221	-	A5	chr11:64577604-64577740:64577604-64577986	Observed	1.2387	-0.4467	56.25
TRANSLATION	THCA	BMF|90427	-	SE	chr15:40384089-40396381:40396541-40397996	Observed	1.2155	-0.4981	62.5
TRANSLATION	THCA	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	1.185	0.4523	62.5
TRANSLATION	THCA	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.1675	-0.4104	56.25
TRANSLATION	THCA	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.1435	-0.593	81.25
TRANSLATION	THCA	PPOX|5498	+	RI	chr1:161136890:161137024-161137161:161137276	Observed	1.1379	-0.2154	62.5
TRANSLATION	THCA	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	1.1152	-0.4998	62.5
TRANSLATION	THCA	ADARB1|104	+	SE	chr21:46603425-46604389:46604508-46604838	Observed	1.0899	-0.3943	56.25
TRANSLATION	THCA	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819	Observed	1.0005	-0.5534	62.5
TRANSLATION	THCA	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.0005	-0.0254	68.75
TRANSLATION	THCA	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803553-196807922	Observed	1.0005	0.5682	68.75
TRANSLATION	THCA	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	1.0005	-0.5985	62.5
TRANSLATION	THCA	EIF2AK4|440275	+	SE	chr15:40303547-40308703:40308873-40309309	Observed	1.0005	-0.5578	56.25
TRANSLATION	THCA	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967	Observed	1.0005	-0.5789	56.25
TRANSLATION	THCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494	Observed	1.0005	-0.1792	62.5
TRANSLATION	THCA	MEN1|4221	-	A5	chr11:64577604-64577986:64577604-64577998	Observed	1.0005	0.2855	62.5
TRANSLATION	THCA	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.0005	0.5762	81.25
TRANSLATION	THCA	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.0005	-0.5235	81.25
TRANSLATION	THCA	PML|5371	+	A3	chr15:74317268-74325497:74317268-74326819	Observed	1.0005	-0.1626	75
TRANSLATION	THCA	PNPLA8|50640	-	A3	chr7:108156018-108161920:108155891-108161920	Observed	1.0005	-0.3412	68.75
TRANSLATION	THCA	VARS2|57176	+	SE	chr6:30882121-30882582:30882814-30882933	Observed	1.0005	-0.3259	62.5
TRANSLATION	THCA	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332	Observed	0.6559	-0.3372	68.75
TRANSLATION	THCA	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998113-42998776	Observed	0.4599	-0.1007	56.25
TRANSLATION	THCA	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	0.3458	-0.6175	81.25
TRANSLATION	THCA	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	0.2093	-0.4175	75
TRANSLATION	THCA	ACAD8|27034	+	MX	chr11:134123603-134126442:134126542-134128409:134123603-134126982:134127151-134128409	Observed	0.0534	-0.2559	56.25
TRANSLATION	THCA	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	0.0445	-0.1913	56.25
TRANSLATION	THCA	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216	Observed	0.0169	-0.2206	75
