# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	SKCM	BMPR2|659	+	SE	chr2:203417611-203419975:203421254-203424419		4.0187	0.555	56.25
AR_PATHWAY	SKCM	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891		3.9908	-0.6047	87.5
AR_PATHWAY	SKCM	OSBPL3|26031	-	A5	chr7:24870524-24873706:24870524-24874105		3.8444	-0.5253	56.25
AR_PATHWAY	SKCM	PHF21A|51317	-	RI	chr11:45991366:45991455-45992667:45992918		3.5637	-0.5779	75
AR_PATHWAY	SKCM	ALG3|10195	-	SE	chr3:183963403-183963501:183963600-183966570		3.4623	0.4655	37.5
AR_PATHWAY	SKCM	SPSB3|90864	-	RI	chr16:1828135:1828322-1828436:1828613		3.3725	-0.6008	43.75
AR_PATHWAY	SKCM	PITPNM1|9600	-	RI	chr11:67263649:67263819-67264702:67264907		3.3629	-0.5258	50
AR_PATHWAY	SKCM	NLRC5|84166	+	SE	chr16:57089006-57089348:57089431-57091977		3.334	0.4272	50
AR_PATHWAY	SKCM	OGT|8473	+	SE	chrX:70774442-70775040:70775235-70775804		3.326	0.516	50
AR_PATHWAY	SKCM	PHF15|23338	+	A3	chr5:133909452-133912458:133909452-133914184		3.1343	-0.5018	56.25
AR_PATHWAY	SKCM	IPO8|10526	-	RI	chr12:30781923:30783891-30784829:30784945		3.1136	-0.4689	68.75
AR_PATHWAY	SKCM	GBA2|57704	-	RI	chr9:35736864:35737444-35737745:35737936		3.0006	-0.5414	37.5
AR_PATHWAY	SKCM	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.9737	-0.4033	31.25
AR_PATHWAY	SKCM	AP1G2|8906	-	A5	chr14:24034910-24035025:24034910-24035273		2.9434	0.4602	50
AR_PATHWAY	SKCM	CEP68|23177	+	SE	chr2:65301538-65305002:65305098-65309670		2.8494	-0.4096	18.75
AR_PATHWAY	SKCM	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		2.8484	0.2709	43.75
AR_PATHWAY	SKCM	ABCC10|89845	+	RI	chr6:43410708:43410897-43411671:43411748		2.8213	-0.5332	62.5
AR_PATHWAY	SKCM	AP1G2|8906	-	SE	chr14:24035628-24035771:24035895-24036320		2.8032	0.5299	56.25
AR_PATHWAY	SKCM	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.7729	0.2049	56.25
AR_PATHWAY	SKCM	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		2.7372	-0.4821	31.25
AR_PATHWAY	SKCM	RGL2|5863	-	RI	chr6:33263285:33263536-33263805:33264102		2.73	-0.5074	56.25
AR_PATHWAY	SKCM	RHOT2|89941	+	RI	chr16:720892:721000-721083:721203		2.7212	-0.5204	50
AR_PATHWAY	SKCM	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.7042	0.4096	68.75
AR_PATHWAY	SKCM	H2AFY|9555	-	MX	chr5:134681747-134686513:134686603-134696187:134681747-134688636:134688735-134696187		2.7002	-0.2891	6.25
AR_PATHWAY	SKCM	CCDC130|81576	+	RI	chr19:13869682:13869824-13869914:13870086		2.6412	-0.5324	18.75
AR_PATHWAY	SKCM	HDAC6|10013	+	RI	chrX:48673369:48673458-48673791:48673897	Observed	2.5989	-0.5367	62.5
AR_PATHWAY	SKCM	RBM4|5936	+	SE	chr11:66407594-66410921:66411611-66413498		2.5301	0.4097	6.25
AR_PATHWAY	SKCM	LST1|7940	+	SE	chr6:31555510-31555726:31555743-31556295		2.521	-0.0094	12.5
AR_PATHWAY	SKCM	AP1G2|8906	-	A3	chr14:24033430-24033542:24033368-24033542		2.4748	-0.5451	18.75
AR_PATHWAY	SKCM	ABHD3|171586	-	A5	chr18:19239304-19243639:19239304-19244079		2.4665	-0.4818	75
AR_PATHWAY	SKCM	TOM1L2|146691	-	SE	chr17:17754266-17761083:17761169-17764790		2.4497	-0.3383	6.25
AR_PATHWAY	SKCM	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.4215	-0.5069	75
AR_PATHWAY	SKCM	PAFAH1B1|5048	+	SE	chr17:2577582-2579799:2579900-2583458		2.3995	0.3718	31.25
AR_PATHWAY	SKCM	ODF2|4957	+	A5	chr9:131258576-131260692:131258420-131260692		2.3927	-0.4891	56.25
AR_PATHWAY	SKCM	HEXDC|284004	+	A5	chr17:80398210-80398873:80397589-80398873		2.3841	-0.5177	37.5
AR_PATHWAY	SKCM	OSBPL1A|114876	-	RI	chr18:21742013:21743039-21743041:21743245		2.3813	-0.428	37.5
AR_PATHWAY	SKCM	ANKRD19|138649	+	SE	chr9:95588860-95591220:95591445-95599059		2.3671	-0.3929	31.25
AR_PATHWAY	SKCM	CROCC|9696	+	RI	chr1:17270595:17270777-17271957:17272101		2.2834	-0.432	62.5
AR_PATHWAY	SKCM	FCHSD1|89848	-	RI	chr5:141025654:141025758-141026170:141026289		2.2813	-0.5407	62.5
AR_PATHWAY	SKCM	CEPT1|10390	+	SE	chr1:111717585-111724809:111724940-111725421		2.2529	0.4845	68.75
AR_PATHWAY	SKCM	GSTK1|373156	+	A5	chr7:142962389-142964710:142962185-142964710		2.2461	-0.3979	68.75
AR_PATHWAY	SKCM	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		2.2319	-0.3189	25
AR_PATHWAY	SKCM	AKAP8|10270	-	RI	chr19:15464341:15464739-15464742:15466181		2.1914	-0.493	62.5
AR_PATHWAY	SKCM	CHD4|1108	-	A3	chr12:6711341-6711542:6711320-6711542		2.1895	0.4023	43.75
AR_PATHWAY	SKCM	KSR1|8844	+	SE	chr17:25799106-25810684:25810877-25877594		2.1804	0.435	50
AR_PATHWAY	SKCM	BDH2|56898	-	A5	chr4:104006619-104006856:104006619-104007637		2.1796	-0.4045	25
AR_PATHWAY	SKCM	ZBED5|58486	-	A3	chr11:10876665-10877691:10876633-10877691		2.1466	-0.2417	12.5
AR_PATHWAY	SKCM	DNAJC2|27000	-	RI	chr7:102962958:102963079-102963150:102963241		2.146	-0.4335	43.75
AR_PATHWAY	SKCM	ZNF692|55657	-	A3	chr1:249152264-249152330:249152058-249152330		2.1414	-0.4753	62.5
AR_PATHWAY	SKCM	CERK|64781	-	SE	chr22:47103885-47106983:47107046-47108065		2.1256	0.3648	18.75
AR_PATHWAY	SKCM	POLM|27434	-	SE	chr7:44114129-44116108:44116228-44118339		2.1113	0.4753	25
AR_PATHWAY	SKCM	TRMT2A|27037	-	RI	chr22:20104406:20104495-20104620:20104768		2.108	0.3806	50
AR_PATHWAY	SKCM	C1orf54|79630	+	A3	chr1:150249040-150252051:150249040-150252054		2.0946	0.1534	31.25
AR_PATHWAY	SKCM	SUPT7L|9913	-	RI	chr2:27883851:27884255-27885046:27885148		2.0904	-0.541	75
AR_PATHWAY	SKCM	NBR2|10230	+	SE	chr17:41277787-41283225:41283287-41290674		2.0284	0.2016	50
AR_PATHWAY	SKCM	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		2.0058	0.1547	50
AR_PATHWAY	SKCM	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.0035	-0.4094	43.75
AR_PATHWAY	SKCM	ZNF266|10781	-	SE	chr19:9530894-9544741:9544911-9545474		1.9981	0.4172	81.25
AR_PATHWAY	SKCM	PDSS2|57107	-	A5	chr6:107655536-107780194:107655536-107780572		1.9962	0.428	56.25
AR_PATHWAY	SKCM	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		1.9927	-0.4342	37.5
AR_PATHWAY	SKCM	SCRN2|90507	-	RI	chr17:45915049:45915368-45915636:45915816		1.9783	-0.2776	43.75
AR_PATHWAY	SKCM	C9orf102|375748	+	SE	chr9:98685661-98690433:98690559-98691001		1.9747	-0.384	37.5
AR_PATHWAY	SKCM	VARS2|57176	+	SE	chr6:30889468-30889702:30889772-30889893		1.9732	0.0883	50
AR_PATHWAY	SKCM	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		1.963	-0.2937	62.5
AR_PATHWAY	SKCM	LRRC29|26231	-	RI	chr16:67241043:67241407-67241502:67241676		1.9613	-0.0172	31.25
AR_PATHWAY	SKCM	LENG8|114823	+	SE	chr19:54963931-54964725:54964835-54965609		1.9561	0.3775	18.75
AR_PATHWAY	SKCM	ITPRIPL2|162073	+	RI	chr16:19125254:19125446-19125963:19132948		1.9536	0.3649	31.25
AR_PATHWAY	SKCM	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		1.9521	0.4325	50
AR_PATHWAY	SKCM	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		1.9483	0.1611	50
AR_PATHWAY	SKCM	SFRS11|9295	+	A3	chr1:70671463-70687295:70671463-70687298		1.9456	0.4392	50
AR_PATHWAY	SKCM	PITPNM1|9600	-	RI	chr11:67263649:67263816-67264702:67264907		1.9409	-0.471	68.75
AR_PATHWAY	SKCM	SP100|6672	+	SE	chr2:231371160-231372708:231372746-231375840		1.9367	0.2226	25
AR_PATHWAY	SKCM	HDAC6|10013	+	SE	chrX:48660679-48661070:48661192-48661278	Observed	1.9326	0.2353	31.25
AR_PATHWAY	SKCM	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		1.9261	-0.502	43.75
AR_PATHWAY	SKCM	TOM1L2|146691	-	SE	chr17:17783057-17796975:17797124-17801910		1.9222	0.1813	25
AR_PATHWAY	SKCM	HDAC6|10013	+	RI	chrX:48673082:48673147-48673241:48673300	Observed	1.9176	-0.5456	75
AR_PATHWAY	SKCM	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		1.9162	-0.422	87.5
AR_PATHWAY	SKCM	AKAP8|10270	-	SE	chr19:15479133-15479878:15480035-15480957		1.9027	-0.4894	62.5
AR_PATHWAY	SKCM	AVIL|10677	-	RI	chr12:58201114:58201272-58201373:58201510		1.8957	0.0693	25
AR_PATHWAY	SKCM	GPR132|29933	-	SE	chr14:105523617-105524275:105524364-105531716		1.8937	-0.0027	37.5
AR_PATHWAY	SKCM	CCDC123|84902	-	SE	chr19:33409245-33414345:33414448-33417096		1.8931	0.0788	43.75
AR_PATHWAY	SKCM	TNIK|23043	-	SE	chr3:170856168-170857259:170857345-170858188		1.8894	-0.0626	18.75
AR_PATHWAY	SKCM	DLGAP4|22839	+	SE	chr20:35127724-35127991:35128079-35128602		1.8884	-0.4428	50
AR_PATHWAY	SKCM	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		1.8791	0.3872	50
AR_PATHWAY	SKCM	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		1.8741	-0.4215	25
AR_PATHWAY	SKCM	BNC2|54796	-	SE	chr9:16727995-16738358:16738483-16870644		1.8704	-0.3604	25
AR_PATHWAY	SKCM	ZNF516|9658	-	SE	chr18:74074512-74082483:74082550-74083422		1.8605	0.3717	50
AR_PATHWAY	SKCM	GPR155|151556	-	SE	chr2:175346715-175347738:175347886-175351601		1.8605	0.2462	31.25
AR_PATHWAY	SKCM	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		1.8588	0.2192	56.25
AR_PATHWAY	SKCM	C6orf105|84830	-	SE	chr6:11768616-11770264:11770317-11778840		1.8555	0.0468	18.75
AR_PATHWAY	SKCM	FHOD3|80206	+	SE	chr18:34205712-34238038:34238151-34261399		1.8527	0.3394	50
AR_PATHWAY	SKCM	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		1.8397	0.3494	56.25
AR_PATHWAY	SKCM	TEP1|7011	-	A3	chr14:20837735-20837833:20837713-20837833		1.837	0.4537	81.25
AR_PATHWAY	SKCM	IL16|3603	+	A3	chr15:81598507-81598761:81598507-81598764		1.8287	-0.292	56.25
AR_PATHWAY	SKCM	NFE2|4778	-	SE	chr12:54689088-54693931:54694060-54694585		1.8281	-0.1776	18.75
AR_PATHWAY	SKCM	NFKBIB|4793	+	RI	chr19:39398039:39398299-39399371:39399533		1.8256	-0.2798	31.25
AR_PATHWAY	SKCM	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693		1.8227	-0.4891	68.75
AR_PATHWAY	SKCM	NSUN5P2|260294	-	A5	chr7:72419136-72419203:72419136-72419207		1.8174	-0.4442	68.75
AR_PATHWAY	SKCM	LRDD|55367	-	A3	chr11:803647-804094:803587-804094		1.8146	-0.4407	56.25
AR_PATHWAY	SKCM	MARCH6|10299	+	RI	chr5:10400896:10400954-10402171:10402251		1.8144	-0.4833	43.75
AR_PATHWAY	SKCM	VAV3|10451	-	SE	chr1:108185377-108226110:108226155-108231003	Observed	1.001	-0.1142	56.25
