# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RNA_POLYMERASE	ESCA	JAM3|83700	+	SE	chr11:134010665-134014136:134014288-134014687		2.6358	-0.446	62.5
RNA_POLYMERASE	ESCA	LRTOMT|220074	+	RI	chr11:71805994:71806142-71806425:71807936		2.6235	-0.4773	12.5
RNA_POLYMERASE	ESCA	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.5745	-0.515	87.5
RNA_POLYMERASE	ESCA	MCOLN3|55283	-	SE	chr1:85511045-85513258:85513292-85514079		2.5054	-0.3243	31.25
RNA_POLYMERASE	ESCA	NUMA1|4926	-	MX	chr11:71747021-71773635:71773732-71780888:71747021-71779151:71779277-71780888		2.448	-0.4281	31.25
RNA_POLYMERASE	ESCA	NUMA1|4926	-	SE	chr11:71747021-71773635:71773732-71780888		2.3424	-0.4918	18.75
RNA_POLYMERASE	ESCA	EFCAB4A|283229	+	SE	chr11:830713-830866:831032-831224		2.3379	-0.4012	43.75
RNA_POLYMERASE	ESCA	NUMA1|4926	-	SE	chr11:71721900-71723941:71727306-71727454		2.3314	-0.5182	25
RNA_POLYMERASE	ESCA	SFRS7|6432	-	SE	chr2:38975795-38976040:38976488-38976671		2.1693	-0.4145	56.25
RNA_POLYMERASE	ESCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.07	-0.466	62.5
RNA_POLYMERASE	ESCA	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.048	-0.5047	81.25
RNA_POLYMERASE	ESCA	MYOCD|93649	+	SE	chr17:12659874-12661402:12661530-12663967		2.0389	-0.5116	18.75
RNA_POLYMERASE	ESCA	LOC728190|728190	-	A3	chr10:89090853-89096543:89090722-89096543		1.9641	0.3088	50
RNA_POLYMERASE	ESCA	C19orf47|126526	-	A5	chr19:40842314-40847693:40842314-40847746		1.9554	0.3187	62.5
RNA_POLYMERASE	ESCA	CCDC7|221016	+	A5	chr10:32735559-32740520:32735325-32740520		1.9315	0.4316	50
RNA_POLYMERASE	ESCA	ANK2|287	+	MX	chr4:114294605-114295920:114296102-114302613:114294605-114299246:114299337-114302613		1.9162	-0.3645	62.5
RNA_POLYMERASE	ESCA	ANK2|287	+	SE	chr4:114267178-114269432:114269464-114271384		1.9016	0.1161	56.25
RNA_POLYMERASE	ESCA	GCFC1|94104	-	A5	chr21:34123529-34127524:34123529-34127541		1.8864	-0.4175	68.75
RNA_POLYMERASE	ESCA	NCAPH|23397	+	A3	chr2:97001586-97007413:97001586-97007452		1.8852	0.2177	18.75
RNA_POLYMERASE	ESCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		1.8686	0.4553	75
RNA_POLYMERASE	ESCA	LYRM2|57226	-	SE	chr6:90331667-90334208:90334321-90347461		1.8671	0.1204	50
RNA_POLYMERASE	ESCA	CDH17|1015	-	SE	chr8:95140568-95142854:95142967-95143104		1.8634	-0.2923	31.25
RNA_POLYMERASE	ESCA	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		1.8397	-0.5286	75
RNA_POLYMERASE	ESCA	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406		1.7956	-0.3468	43.75
