# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.733	-0.7257	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		5.4471	-0.6088	100
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	PRRX1|5396	+	SE	chr1:170695542-170699418:170699489-170705189		4.6497	0.3855	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		4.2833	-0.6138	75
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.9951	-0.5927	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.9885	0.4799	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	FAP|2191	-	SE	chr2:163080170-163080976:163081050-163081993		3.7753	0.2665	75
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.6293	-0.6163	100
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	SGCD|6444	+	SE	chr5:155754242-155756544:155756589-155771499		3.6224	0.4966	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.5892	0.4557	87.5
