# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	CESC	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		2.7355	-0.3884	31.25
CELL_CYCLE_PATHWAY	CESC	INCENP|3619	+	SE	chr11:61908516-61908972:61908983-61912454		2.5791	0.3297	43.75
CELL_CYCLE_PATHWAY	CESC	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		2.3581	-0.3164	68.75
CELL_CYCLE_PATHWAY	CESC	P4HB|5034	-	A5	chr17:79817263-79818203:79817263-79818223		2.1994	-0.1369	31.25
CELL_CYCLE_PATHWAY	CESC	APH1A|51107	-	SE	chr1:150240189-150240357:150240527-150241098		2.1884	-0.1161	31.25
CELL_CYCLE_PATHWAY	CESC	POFUT2|23275	-	RI	chr21:46683844:46685550-46687505:46687628		2.1738	-0.3537	12.5
CELL_CYCLE_PATHWAY	CESC	AKAP8|10270	-	RI	chr19:15464341:15464739-15464742:15466181		2.1094	-0.2915	50
CELL_CYCLE_PATHWAY	CESC	KSR1|8844	+	SE	chr17:25799106-25810684:25810877-25877594		2.0765	0.4118	25
CELL_CYCLE_PATHWAY	CESC	CALML4|91860	-	SE	chr15:68489966-68497459:68497489-68497583		2.0078	0.0645	31.25
CELL_CYCLE_PATHWAY	CESC	NPL|80896	+	RI	chr1:182775280:182775367-182775554:182775666		1.9661	-0.0684	25
CELL_CYCLE_PATHWAY	CESC	LIMCH1|22998	+	SE	chr4:41668683-41672735:41672809-41673571		1.9102	-0.3094	37.5
CELL_CYCLE_PATHWAY	CESC	TMEM184A|202915	-	RI	chr7:1588155:1588324-1589490:1589581		1.8811	-0.3468	43.75
CELL_CYCLE_PATHWAY	CESC	WASH3P|374666	+	A3	chr15:102514556-102515216:102514556-102515221		1.8694	0.044	31.25
CELL_CYCLE_PATHWAY	CESC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		1.8682	-0.275	43.75
CELL_CYCLE_PATHWAY	CESC	PARP3|10039	+	A3	chr3:51976724-51977365:51976724-51977370		1.8485	-0.0077	37.5
CELL_CYCLE_PATHWAY	CESC	NOSTRIN|115677	+	SE	chr2:169659183-169668077:169668162-169681144		1.8353	-0.1796	43.75
CELL_CYCLE_PATHWAY	CESC	ROBO3|64221	+	RI	chr11:124747415:124747648-124747833:124748027		1.8309	-0.2098	31.25
CELL_CYCLE_PATHWAY	CESC	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		1.8265	-0.2204	50
CELL_CYCLE_PATHWAY	CESC	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		1.7918	0.377	68.75
CELL_CYCLE_PATHWAY	CESC	KSR1|8844	+	A3	chr17:25904665-25909672:25904665-25909952		1.7723	0.4118	37.5
CELL_CYCLE_PATHWAY	CESC	SLC25A3|5250	+	A5	chr12:98989626-98991634:98989439-98991634		1.7448	-0.2731	31.25
CELL_CYCLE_PATHWAY	CESC	PDLIM4|8572	+	SE	chr5:131607159-131607484:131607601-131607718		1.742	-0.2987	18.75
CELL_CYCLE_PATHWAY	CESC	BAHD1|22893	+	A3	chr15:40756746-40757534:40756746-40757543		1.7372	0.1013	43.75
CELL_CYCLE_PATHWAY	CESC	ZNF434|54925	-	SE	chr16:3434941-3447192:3447744-3450945		1.7366	0.1374	43.75
CELL_CYCLE_PATHWAY	CESC	DHX33|56919	-	SE	chr17:5357300-5358480:5358591-5359317		1.7363	0.0024	31.25
