# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.7631	-0.5517	81.25
SPLICEOSOME	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		3.7023	-0.5064	56.25
SPLICEOSOME	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		3.3862	-0.5338	81.25
SPLICEOSOME	LUSC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		3.1529	-0.3744	37.5
SPLICEOSOME	LUSC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		2.8335	0.3502	50
SPLICEOSOME	LUSC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.7823	0.436	62.5
SPLICEOSOME	LUSC	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		2.7633	-0.3947	68.75
SPLICEOSOME	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.7607	-0.4899	75
SPLICEOSOME	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.6783	-0.4818	75
SPLICEOSOME	LUSC	RPL22L1|200916	-	A3	chr3:170585990-170586087:170585923-170586087		2.5825	0.2835	31.25
SPLICEOSOME	LUSC	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		2.5421	0.3106	43.75
SPLICEOSOME	LUSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.5112	0.4311	62.5
SPLICEOSOME	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.5015	-0.5061	62.5
SPLICEOSOME	LUSC	DLG2|1740	-	MX	chr11:83183820-83194296:83194341-83243751:83183820-83195172:83195271-83243751		2.4522	-0.1879	43.75
SPLICEOSOME	LUSC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.4412	-0.2101	43.75
SPLICEOSOME	LUSC	CPNE5|57699	-	SE	chr6:36716044-36720811:36720872-36724022		2.4356	-0.1549	31.25
SPLICEOSOME	LUSC	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.4115	0.3605	56.25
SPLICEOSOME	LUSC	TMEM150A|129303	-	SE	chr2:85827141-85827468:85827535-85828144		2.3894	-0.3039	25
SPLICEOSOME	LUSC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.374	0.3955	50
SPLICEOSOME	LUSC	TSTD1|100131187	-	SE	chr1:161007865-161008341:161008463-161008670		2.3631	-0.344	25
SPLICEOSOME	LUSC	SH3TC1|54436	+	A3	chr4:8233883-8234135:8233883-8235090		2.3497	0.4033	50
SPLICEOSOME	LUSC	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.3423	0.4221	62.5
SPLICEOSOME	LUSC	AXL|558	+	SE	chr19:41745219-41745599:41745625-41748788		2.3396	-0.1428	56.25
SPLICEOSOME	LUSC	CA13|377677	+	SE	chr8:86178932-86179446:86179587-86180131		2.299	0.2455	50
SPLICEOSOME	LUSC	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		2.2855	0.2136	31.25
SPLICEOSOME	LUSC	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		2.2614	0.2512	18.75
SPLICEOSOME	LUSC	ENTPD1|953	+	SE	chr10:97515523-97570390:97570563-97599448		2.2555	-0.3687	25
SPLICEOSOME	LUSC	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819		2.2523	-0.3232	62.5
