# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	BLCA	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		4.3084	-0.6784	25
CELL_CYCLE_PATHWAY	BLCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		3.5747	-0.5683	68.75
CELL_CYCLE_PATHWAY	BLCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		3.5656	-0.4799	37.5
CELL_CYCLE_PATHWAY	BLCA	C1orf52|148423	-	SE	chr1:85724405-85724618:85724744-85725041		3.4954	-0.48	81.25
CELL_CYCLE_PATHWAY	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281310:41281939		3.3588	-0.4428	37.5
CELL_CYCLE_PATHWAY	BLCA	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		3.3448	-0.4334	50
CELL_CYCLE_PATHWAY	BLCA	ILK|3611	+	A3	chr11:6625052-6625410:6625052-6625456		3.268	0.442	12.5
CELL_CYCLE_PATHWAY	BLCA	HMGB1|3146	-	SE	chr13:31035670-31035776:31035825-31036675		3.2544	-0.603	25
CELL_CYCLE_PATHWAY	BLCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		3.1077	0.5145	62.5
CELL_CYCLE_PATHWAY	BLCA	CALD1|800	+	A3	chr7:134642863-134642960:134642863-134642963		3.0454	0.3476	25
CELL_CYCLE_PATHWAY	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		2.906	-0.5516	37.5
CELL_CYCLE_PATHWAY	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.9019	-0.4909	50
CELL_CYCLE_PATHWAY	BLCA	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.8826	-0.2157	56.25
CELL_CYCLE_PATHWAY	BLCA	CAST|831	+	A3	chr5:96098076-96100925:96098076-96100928		2.8781	0.4062	25
CELL_CYCLE_PATHWAY	BLCA	TRMU|55687	+	A3	chr22:46742441-46746188:46742441-46746243		2.8516	0.4425	62.5
CELL_CYCLE_PATHWAY	BLCA	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.7859	-0.4546	37.5
CELL_CYCLE_PATHWAY	BLCA	NTAN1|123803	-	SE	chr16:15141777-15141854:15141956-15149748		2.7313	0.5188	56.25
CELL_CYCLE_PATHWAY	BLCA	NUP62|23636	-	SE	chr19:50413141-50430951:50431072-50432583		2.7243	-0.3878	68.75
CELL_CYCLE_PATHWAY	BLCA	SFRS3|6428	+	SE	chr6:36566760-36567598:36568053-36568929		2.6935	-0.5101	43.75
