# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	KIRC	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		7.918	-0.5408	81.25
MATRIX_METALLOPROTEINASES	KIRC	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		7.2503	-0.5354	93.75
MATRIX_METALLOPROTEINASES	KIRC	SHF|90525	-	SE	chr15:45464516-45465774:45465914-45467417		6.6423	-0.5375	62.5
MATRIX_METALLOPROTEINASES	KIRC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		6.5309	-0.5344	100
MATRIX_METALLOPROTEINASES	KIRC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.4879	-0.5338	93.75
MATRIX_METALLOPROTEINASES	KIRC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		6.458	-0.4431	87.5
MATRIX_METALLOPROTEINASES	KIRC	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		6.3516	0.4092	81.25
MATRIX_METALLOPROTEINASES	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		5.6891	0.4252	62.5
MATRIX_METALLOPROTEINASES	KIRC	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		5.2598	0.4414	75
MATRIX_METALLOPROTEINASES	KIRC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.0004	0.3967	87.5
MATRIX_METALLOPROTEINASES	KIRC	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124413		4.9978	-0.4223	43.75
MATRIX_METALLOPROTEINASES	KIRC	TBC1D15|64786	+	SE	chr12:72287104-72288105:72288155-72288466		4.973	-0.4539	25
MATRIX_METALLOPROTEINASES	KIRC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.9344	-0.4995	75
MATRIX_METALLOPROTEINASES	KIRC	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		4.6814	0.4439	75
MATRIX_METALLOPROTEINASES	KIRC	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		4.5084	-0.5074	75
MATRIX_METALLOPROTEINASES	KIRC	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		4.4538	0.4566	62.5
MATRIX_METALLOPROTEINASES	KIRC	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		4.4019	0.3835	68.75
MATRIX_METALLOPROTEINASES	KIRC	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		4.3616	-0.3659	68.75
MATRIX_METALLOPROTEINASES	KIRC	C6orf134|79969	+	RI	chr6:30610545:30610788-30611306:30612446		4.3537	-0.4015	68.75
MATRIX_METALLOPROTEINASES	KIRC	KIF13A|63971	-	SE	chr6:17765177-17771345:17771449-17772139		4.2663	-0.4447	18.75
MATRIX_METALLOPROTEINASES	KIRC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.1857	-0.4631	100
MATRIX_METALLOPROTEINASES	KIRC	GUK1|2987	+	SE	chr1:228328064-228328825:228328989-228333212		4.1692	-0.4167	18.75
MATRIX_METALLOPROTEINASES	KIRC	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		4.1484	0.3651	68.75
