# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	KIRP	VEZT|55591	+	SE	chr12:95645847-95650326:95650398-95650926		4.6341	-0.5845	31.25
TRANSLATION	KIRP	PHRF1|57661	+	A3	chr11:610347-610501:610347-610667		4.4104	-0.6638	37.5
TRANSLATION	KIRP	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	4.3842	-0.6753	87.5
TRANSLATION	KIRP	MPP6|51678	+	SE	chr7:24705708-24706484:24706601-24708118		3.9662	0.6006	68.75
TRANSLATION	KIRP	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		3.9095	0.5822	56.25
TRANSLATION	KIRP	PCNX|22990	+	SE	chr14:71522279-71524226:71524441-71540262		3.6865	-0.4045	37.5
TRANSLATION	KIRP	CCDC88A|55704	-	SE	chr2:55528413-55529008:55529208-55535945		3.6723	-0.5633	75
TRANSLATION	KIRP	ERI2|112479	-	A3	chr16:20810389-20810585:20809533-20810585		3.6625	-0.722	87.5
TRANSLATION	KIRP	TRIP11|9321	-	SE	chr14:92474196-92477330:92477416-92478099		3.6325	-0.6319	68.75
TRANSLATION	KIRP	POGZ|23126	-	SE	chr1:151403317-151413404:151413562-151414557		3.561	-0.6209	56.25
TRANSLATION	KIRP	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		3.5172	-0.626	68.75
TRANSLATION	KIRP	CLEC16A|23274	+	A5	chr16:11097162-11114050:11097114-11114050		3.4773	-0.5679	75
TRANSLATION	KIRP	TUBGCP6|85378	-	A3	chr22:50656546-50656618:50656527-50656618		3.4522	-0.611	62.5
TRANSLATION	KIRP	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.379	0.6775	81.25
TRANSLATION	KIRP	DOCK11|139818	+	SE	chrX:117749674-117750165:117750203-117752513		3.356	0.6295	75
