# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	SKCM	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994		3.7534	-0.4124	50
DNA_REPAIR_PATHWAY	SKCM	CCDC80|151887	-	A5	chr3:112358763-112359174:112358763-112359771		3.3371	-0.369	62.5
DNA_REPAIR_PATHWAY	SKCM	MAF|4094	-	RI	chr16:79627746:79628450-79632682:79634622		3.0053	-0.316	18.75
DNA_REPAIR_PATHWAY	SKCM	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		2.9225	0.3928	43.75
DNA_REPAIR_PATHWAY	SKCM	RIN2|54453	+	SE	chr20:19941455-19945596:19945668-19951482		2.9059	-0.3599	75
DNA_REPAIR_PATHWAY	SKCM	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		2.8531	0.4416	81.25
DNA_REPAIR_PATHWAY	SKCM	JAK3|3718	-	A3	chr19:17955270-17958755:17955239-17958755		2.8396	0.4071	56.25
DNA_REPAIR_PATHWAY	SKCM	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.7027	-0.2978	43.75
DNA_REPAIR_PATHWAY	SKCM	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		2.6749	-0.3267	56.25
DNA_REPAIR_PATHWAY	SKCM	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		2.5891	0.383	75
DNA_REPAIR_PATHWAY	SKCM	RALGAPA2|57186	-	SE	chr20:20373897-20377339:20377378-20392671		2.5855	-0.3112	37.5
DNA_REPAIR_PATHWAY	SKCM	CDV3|55573	+	A3	chr3:133305566-133306006:133305566-133306740		2.5692	-0.404	62.5
DNA_REPAIR_PATHWAY	SKCM	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		2.5568	-0.3839	50
