# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NONSENSE_MEDIATED_DECAY_NMD	KIRC	AHI1|54806	-	SE	chr6:135606785-135611561:135611663-135621638		4.0864	-0.4486	50
NONSENSE_MEDIATED_DECAY_NMD	KIRC	CCDC88A|55704	-	SE	chr2:55523659-55526975:55527055-55528342		3.7533	-0.5176	56.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		3.667	0.5648	75
NONSENSE_MEDIATED_DECAY_NMD	KIRC	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		3.658	0.5012	81.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		3.5022	-0.5105	81.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	ACIN1|22985	-	A5	chr14:23538826-23540334:23538826-23540636		3.5004	-0.5127	37.5
NONSENSE_MEDIATED_DECAY_NMD	KIRC	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		3.3945	-0.5632	75
NONSENSE_MEDIATED_DECAY_NMD	KIRC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.3205	0.5666	62.5
NONSENSE_MEDIATED_DECAY_NMD	KIRC	EIF3E|3646	-	SE	chr8:109252304-109254028:109254142-109260842		3.2425	-0.4708	31.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	UROD|7389	+	A5	chr1:45479026-45479266:45478887-45479266		3.206	0.4036	56.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	ZNF532|55205	+	A5	chr18:56646399-56648702:56646387-56648702		3.1989	-0.5199	62.5
NONSENSE_MEDIATED_DECAY_NMD	KIRC	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		3.1886	-0.5399	50
NONSENSE_MEDIATED_DECAY_NMD	KIRC	ZNF720|124411	+	A5	chr16:31724769-31765087:31724756-31765087		3.1196	-0.4832	56.25
NONSENSE_MEDIATED_DECAY_NMD	KIRC	SRCAP|10847	+	SE	chr16:30732299-30732510:30732797-30733443		3.1175	-0.5356	12.5
