# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	CESC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.1609	0.5719	100
FOCAL_ADHESION_PATHWAY	CESC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.7053	-0.6183	100
FOCAL_ADHESION_PATHWAY	CESC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		4.1109	-0.5774	68.75
FOCAL_ADHESION_PATHWAY	CESC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.8166	-0.4456	81.25
FOCAL_ADHESION_PATHWAY	CESC	APBB2|323	-	SE	chr4:40936716-40937094:40937156-40946882		3.7763	0.4234	68.75
FOCAL_ADHESION_PATHWAY	CESC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	3.6968	-0.5997	100
FOCAL_ADHESION_PATHWAY	CESC	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		3.3095	0.5773	56.25
FOCAL_ADHESION_PATHWAY	CESC	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		3.2568	0.45	50
FOCAL_ADHESION_PATHWAY	CESC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.1722	-0.438	93.75
FOCAL_ADHESION_PATHWAY	CESC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.8401	-0.4506	87.5
FOCAL_ADHESION_PATHWAY	CESC	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		2.8019	0.5404	81.25
FOCAL_ADHESION_PATHWAY	CESC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.7684	0.5831	68.75
FOCAL_ADHESION_PATHWAY	CESC	TGFBI|7045	+	RI	chr5:135382024:135382184-135382540:135382704		2.6312	-0.4259	37.5
FOCAL_ADHESION_PATHWAY	CESC	ADAM12|8038	-	A5	chr10:127824229-127843787:127824229-127843796		2.6251	0.3437	62.5
