# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		8.2674	0.688	100
MATRIX_METALLOPROTEINASES	OV	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		7.286	0.6285	75
MATRIX_METALLOPROTEINASES	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		7.2269	-0.6735	100
MATRIX_METALLOPROTEINASES	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.1883	-0.6344	93.75
MATRIX_METALLOPROTEINASES	OV	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		6.163	-0.6051	100
MATRIX_METALLOPROTEINASES	OV	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		5.9077	0.4617	81.25
MATRIX_METALLOPROTEINASES	OV	SGCD|6444	+	SE	chr5:155754242-155756544:155756589-155771499		5.6283	0.5155	68.75
MATRIX_METALLOPROTEINASES	OV	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.266	-0.6434	87.5
MATRIX_METALLOPROTEINASES	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		5.0053	0.5226	50
MATRIX_METALLOPROTEINASES	OV	RUNX2|860	+	A5	chr6:45296232-45296398:45296197-45296398		4.7922	0.5432	43.75
MATRIX_METALLOPROTEINASES	OV	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		4.5498	0.482	68.75
MATRIX_METALLOPROTEINASES	OV	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		4.4887	-0.4605	43.75
MATRIX_METALLOPROTEINASES	OV	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.422	0.4934	93.75
MATRIX_METALLOPROTEINASES	OV	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		4.3597	0.5293	62.5
MATRIX_METALLOPROTEINASES	OV	MFAP5|8076	-	SE	chr12:8803185-8804258:8804287-8807033		4.1869	0.4723	75
MATRIX_METALLOPROTEINASES	OV	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.1686	-0.5138	75
MATRIX_METALLOPROTEINASES	OV	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.0206	0.5677	100
MATRIX_METALLOPROTEINASES	OV	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		3.9689	-0.4801	93.75
MATRIX_METALLOPROTEINASES	OV	KIAA1217|56243	+	SE	chr10:24822166-24825703:24825822-24833910		3.8025	0.3919	62.5
MATRIX_METALLOPROTEINASES	OV	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.763	-0.4264	68.75
MATRIX_METALLOPROTEINASES	OV	SYTL2|54843	-	SE	chr11:85425550-85428526:85428573-85429833		3.6159	0.4395	75
MATRIX_METALLOPROTEINASES	OV	FAM180A|389558	-	A5	chr7:135415029-135418394:135415029-135418425		3.2249	0.2727	31.25
MATRIX_METALLOPROTEINASES	OV	COL8A1|1295	+	A3	chr3:99509854-99513071:99509854-99513074		3.1837	0.125	56.25
MATRIX_METALLOPROTEINASES	OV	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		3.0725	0.3734	81.25
MATRIX_METALLOPROTEINASES	OV	FKBP7|51661	-	SE	chr2:179334512-179337756:179337869-179341789		3.0633	-0.3853	56.25
MATRIX_METALLOPROTEINASES	OV	RUNX2|860	+	SE	chr6:45480144-45512954:45513019-45514564		3.0214	-0.3622	56.25
MATRIX_METALLOPROTEINASES	OV	IL7R|3575	+	SE	chr5:35871315-35873582:35873750-35875614		2.9396	0.3605	50
MATRIX_METALLOPROTEINASES	OV	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		2.9227	0.2534	75
MATRIX_METALLOPROTEINASES	OV	KIAA1191|57179	-	MX	chr5:175782752-175786484:175786570-175788605:175782752-175786814:175786921-175788605		2.775	0.3532	62.5
MATRIX_METALLOPROTEINASES	OV	P4HA3|283208	-	SE	chr11:73997436-73998161:73998336-74000124		2.7669	-0.3141	43.75
MATRIX_METALLOPROTEINASES	OV	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.7524	-0.4233	87.5
MATRIX_METALLOPROTEINASES	OV	FAP|2191	-	SE	chr2:163082087-163083033:163083131-163099418		2.7361	-0.2705	25
MATRIX_METALLOPROTEINASES	OV	LRRC23|10233	+	A5	chr12:7014239-7014749:7014067-7014749		2.7028	-0.3136	6.25
MATRIX_METALLOPROTEINASES	OV	PRG4|10216	+	RI	chr1:186275450:186276083-186277375:186278272		2.6976	0.4221	62.5
MATRIX_METALLOPROTEINASES	OV	KIAA1217|56243	+	SE	chr10:24825822-24831622:24831699-24833910		2.6815	-0.2253	43.75
MATRIX_METALLOPROTEINASES	OV	SYNE1|23345	-	SE	chr6:152443811-152451855:152451913-152453257		2.6498	0.3894	75
MATRIX_METALLOPROTEINASES	OV	BMP1|649	+	A3	chr8:22034163-22034437:22034163-22034474		2.5731	-0.3961	50
MATRIX_METALLOPROTEINASES	OV	PRG4|10216	+	SE	chr1:186266083-186269223:186269345-186270724		2.5731	0.3729	12.5
MATRIX_METALLOPROTEINASES	OV	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		2.5344	-0.3499	81.25
MATRIX_METALLOPROTEINASES	OV	CD44|960	+	SE	chr11:35211612-35231512:35231601-35232793		2.5291	-0.2104	25
MATRIX_METALLOPROTEINASES	OV	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.5115	-0.3398	81.25
MATRIX_METALLOPROTEINASES	OV	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		2.4983	-0.363	68.75
MATRIX_METALLOPROTEINASES	OV	GATS|352954	-	SE	chr7:99809617-99810646:99810756-99820220		2.4574	-0.2382	56.25
MATRIX_METALLOPROTEINASES	OV	C6orf165|154313	+	A3	chr6:88123618-88125281:88123618-88125404		2.4026	-0.1299	18.75
MATRIX_METALLOPROTEINASES	OV	ADAM33|80332	-	RI	chr20:3653368:3653545-3654001:3654143		2.3518	-0.4311	50
MATRIX_METALLOPROTEINASES	OV	PAM|5066	+	SE	chr5:102296933-102309820:102310140-102325976		2.3352	0.3531	43.75
MATRIX_METALLOPROTEINASES	OV	NMNAT3|349565	-	SE	chr3:139297897-139346458:139346606-139356805		2.3298	-0.1556	43.75
MATRIX_METALLOPROTEINASES	OV	BCAP29|55973	+	A3	chr7:107253877-107258773:107253877-107262075		2.327	-0.0044	18.75
MATRIX_METALLOPROTEINASES	OV	INTS2|57508	-	A5	chr17:60004023-60005015:60004023-60005296		2.3231	-0.0696	31.25
MATRIX_METALLOPROTEINASES	OV	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		2.2974	0.399	62.5
MATRIX_METALLOPROTEINASES	OV	CACNA1C|775	+	SE	chr12:2743546-2757641:2757673-2760806		2.2919	0.3171	37.5
