# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	BRCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093	Observed	3.5529	-0.4426	56.25
COMPLEMENT_PATHWAY	BRCA	FCGR2A|2212	+	A3	chr1:161475797-161476124:161475797-161476127	Observed	1.6181	0.0515	68.75
COMPLEMENT_PATHWAY	BRCA	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	1.487	0.1067	56.25
COMPLEMENT_PATHWAY	BRCA	CFD|1675	+	A5	chr19:859765-860617:859744-860617	Observed	1.2637	-0.212	68.75
COMPLEMENT_PATHWAY	BRCA	BRCA1|672	-	A5	chr17:41276132-41277199:41276132-41277294	Observed	1.231	-0.0834	56.25
COMPLEMENT_PATHWAY	BRCA	C2|717	+	SE	chr6:31901742-31903700:31903838-31905096	Observed	1.001	0.0348	62.5
COMPLEMENT_PATHWAY	BRCA	DYSF|8291	+	SE	chr2:71766369-71776480:71776521-71778171	Observed	1.001	0.1215	62.5
COMPLEMENT_PATHWAY	BRCA	LTA|4049	+	A3	chr6:31540810-31541058:31540810-31541302	Observed	1.001	0.0032	62.5
COMPLEMENT_PATHWAY	BRCA	AGBL2|79841	-	SE	chr11:47703647-47707445:47707601-47711628	Observed	0.5427	-0.0678	62.5
COMPLEMENT_PATHWAY	BRCA	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009	Observed	0.5023	0.0447	75
COMPLEMENT_PATHWAY	BRCA	SNCA|6622	-	A5	chr4:90756843-90757894:90756843-90758113	Observed	0.4684	-0.0516	56.25
COMPLEMENT_PATHWAY	BRCA	CIITA|4261	+	A3	chr16:10992589-10992779:10992589-10992782	Observed	0.3034	0.2042	68.75
