# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	LUAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		6.2442	-0.6687	100
T_CELL_ACTIVATION	LUAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		6.0974	0.6071	56.25
T_CELL_ACTIVATION	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		5.3681	0.6306	81.25
T_CELL_ACTIVATION	LUAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	4.8568	0.493	87.5
T_CELL_ACTIVATION	LUAD	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		4.8351	-0.5432	87.5
T_CELL_ACTIVATION	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		4.8336	-0.5416	93.75
T_CELL_ACTIVATION	LUAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		4.81	-0.5438	100
T_CELL_ACTIVATION	LUAD	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		4.7296	0.4706	68.75
T_CELL_ACTIVATION	LUAD	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.6505	-0.5459	100
T_CELL_ACTIVATION	LUAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		4.3813	-0.5137	56.25
T_CELL_ACTIVATION	LUAD	SP140|11262	+	A5	chr2:231109795-231110578:231109786-231110578		4.1032	0.3946	100
T_CELL_ACTIVATION	LUAD	KIAA0748|9840	-	A3	chr12:55357026-55357526:55357022-55357526		4.0958	0.4256	75
T_CELL_ACTIVATION	LUAD	CLEC10A|10462	-	A5	chr17:6979204-6979295:6979204-6979304		3.9973	0.3215	100
T_CELL_ACTIVATION	LUAD	MYO5A|4644	-	SE	chr15:52628753-52630007:52630081-52632393		3.9341	0.505	25
T_CELL_ACTIVATION	LUAD	RGPD1|400966	+	A3	chr2:87203413-87203676:87203413-87203687		3.6931	0.3377	56.25
T_CELL_ACTIVATION	LUAD	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		3.6744	-0.4831	100
T_CELL_ACTIVATION	LUAD	FASLG|356	+	SE	chr1:172628689-172629235:172629280-172633474	Observed	3.6014	0.3934	56.25
T_CELL_ACTIVATION	LUAD	CYBB|1536	+	SE	chrX:37639375-37641341:37641436-37642743		3.5971	0.3848	75
T_CELL_ACTIVATION	LUAD	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785		3.5283	0.3489	68.75
T_CELL_ACTIVATION	LUAD	SFRS16|11129	+	SE	chr19:45571316-45571678:45571738-45572324		3.4888	-0.4698	31.25
T_CELL_ACTIVATION	LUAD	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		3.4092	-0.3456	87.5
T_CELL_ACTIVATION	LUAD	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		3.3696	-0.3183	68.75
T_CELL_ACTIVATION	LUAD	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		3.273	-0.3976	81.25
T_CELL_ACTIVATION	LUAD	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		3.2594	-0.4173	75
T_CELL_ACTIVATION	LUAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.219	-0.3889	87.5
T_CELL_ACTIVATION	LUAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.1644	0.542	93.75
T_CELL_ACTIVATION	LUAD	PDCD1LG2|80380	+	A5	chr9:5563215-5569954:5563211-5569954		3.1608	0.1976	68.75
T_CELL_ACTIVATION	LUAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.0977	-0.4706	62.5
T_CELL_ACTIVATION	LUAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.9959	0.5095	93.75
T_CELL_ACTIVATION	LUAD	PDE6G|5148	-	SE	chr17:79618715-79620190:79620394-79623523		2.9621	0.3469	81.25
T_CELL_ACTIVATION	LUAD	GOLGA4|2803	+	SE	chr3:37396678-37402734:37402796-37407571		2.8709	-0.4244	50
T_CELL_ACTIVATION	LUAD	DENND1C|79958	-	A3	chr19:6475762-6475848:6475654-6475848		2.8422	-0.4132	81.25
T_CELL_ACTIVATION	LUAD	SP140|11262	+	SE	chr2:231110655-231112631:231112780-231113600		2.8006	0.3946	100
T_CELL_ACTIVATION	LUAD	FLT3|2322	-	SE	chr13:28589838-28592604:28592726-28597487		2.7997	0.3025	50
T_CELL_ACTIVATION	LUAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		2.7811	-0.4097	75
T_CELL_ACTIVATION	LUAD	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		2.7675	-0.3446	93.75
T_CELL_ACTIVATION	LUAD	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		2.7477	0.3362	87.5
T_CELL_ACTIVATION	LUAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.6739	-0.3983	100
T_CELL_ACTIVATION	LUAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.6634	0.3203	68.75
T_CELL_ACTIVATION	LUAD	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026318-161029404		2.6088	0.345	43.75
T_CELL_ACTIVATION	LUAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807		2.5987	0.1889	100
T_CELL_ACTIVATION	LUAD	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.5739	-0.3673	87.5
T_CELL_ACTIVATION	LUAD	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.5413	-0.3794	93.75
T_CELL_ACTIVATION	LUAD	ICOS|29851	+	SE	chr2:204821488-204822522:204822606-204824309		2.5324	0.2988	93.75
T_CELL_ACTIVATION	LUAD	SAMD3|154075	-	SE	chr6:130537761-130542782:130542920-130543839		2.5202	-0.1677	87.5
T_CELL_ACTIVATION	LUAD	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		2.5186	0.3821	100
T_CELL_ACTIVATION	LUAD	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		2.4905	0.3281	68.75
T_CELL_ACTIVATION	LUAD	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		2.4798	-0.3862	37.5
T_CELL_ACTIVATION	LUAD	PIK3CG|5294	+	A5	chr7:106505871-106507995:106505795-106507995		2.4743	0.2544	56.25
T_CELL_ACTIVATION	LUAD	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.4682	-0.4685	100
T_CELL_ACTIVATION	LUAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.4584	-0.4101	81.25
T_CELL_ACTIVATION	LUAD	LEF1|51176	-	SE	chr4:109000770-109002742:109002825-109004512		2.4484	0.3065	37.5
T_CELL_ACTIVATION	LUAD	DTNB|1838	-	SE	chr2:25606758-25610158:25610247-25611071		2.4361	-0.3952	50
T_CELL_ACTIVATION	LUAD	CTLA4|1493	+	SE	chr2:204735656-204736101:204736210-204737431	Observed	2.4205	0.0656	43.75
T_CELL_ACTIVATION	LUAD	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.3665	0.3904	100
T_CELL_ACTIVATION	LUAD	PDCD1LG2|80380	+	A3	chr9:5549604-5557618:5549604-5557623		2.3614	0.2765	81.25
T_CELL_ACTIVATION	LUAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.3264	0.4271	62.5
T_CELL_ACTIVATION	LUAD	CSF2RB|1439	+	A3	chr22:37326552-37326697:37326552-37326715		2.3171	-0.3009	56.25
T_CELL_ACTIVATION	LUAD	ITGB7|3695	-	A5	chr12:53594230-53594856:53594230-53594902		2.2856	0.3925	100
T_CELL_ACTIVATION	LUAD	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		2.2672	-0.386	87.5
T_CELL_ACTIVATION	LUAD	IKZF1|10320	+	SE	chr7:50367353-50444231:50444491-50450238		2.2648	-0.2613	56.25
T_CELL_ACTIVATION	LUAD	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		2.2376	-0.2925	81.25
T_CELL_ACTIVATION	LUAD	PIK3R6|146850	-	A5	chr17:8741188-8741613:8741188-8741881		2.1917	0.1217	56.25
T_CELL_ACTIVATION	LUAD	FOLR2|2350	+	A3	chr11:71927969-71929605:71927969-71929617		2.1861	0.4078	62.5
T_CELL_ACTIVATION	LUAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.1815	-0.381	56.25
T_CELL_ACTIVATION	LUAD	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		2.1752	0.4133	81.25
T_CELL_ACTIVATION	LUAD	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		2.1648	-0.4531	62.5
T_CELL_ACTIVATION	LUAD	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		2.1624	0.5298	81.25
T_CELL_ACTIVATION	LUAD	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		2.1577	0.2048	93.75
T_CELL_ACTIVATION	LUAD	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		2.1354	0.1038	87.5
T_CELL_ACTIVATION	LUAD	CCDC88A|55704	-	SE	chr2:55528413-55529008:55529208-55535945		2.1281	0.1069	50
T_CELL_ACTIVATION	LUAD	BIN1|274	-	SE	chr2:127808488-127808730:127808819-127816587		2.1164	-0.3865	62.5
T_CELL_ACTIVATION	LUAD	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.0968	-0.3005	43.75
T_CELL_ACTIVATION	LUAD	ICAM3|3385	-	A3	chr19:10449921-10450215:10449539-10450215		2.0896	0.4082	43.75
T_CELL_ACTIVATION	LUAD	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		2.0793	-0.3117	43.75
T_CELL_ACTIVATION	LUAD	CD79B|974	-	A3	chr17:62008748-62009555:62008745-62009555		2.0717	0.1637	62.5
T_CELL_ACTIVATION	LUAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		2.0399	0.3333	93.75
T_CELL_ACTIVATION	LUAD	RCSD1|92241	+	SE	chr1:167653238-167654658:167654747-167659286		2.0192	0.3169	81.25
T_CELL_ACTIVATION	LUAD	FGD2|221472	+	A3	chr6:36982814-36983544:36982814-36983576		2.0035	0.3795	93.75
T_CELL_ACTIVATION	LUAD	TRERF1|55809	-	SE	chr6:42227461-42231058:42231306-42232442		2.0021	-0.1609	43.75
T_CELL_ACTIVATION	LUAD	ANK1|286	-	SE	chr8:41557066-41557949:41557972-41559068		1.9939	-0.0827	31.25
T_CELL_ACTIVATION	LUAD	IL12RB1|3594	-	A5	chr19:18170423-18170704:18170423-18170717		1.9815	-0.1679	68.75
T_CELL_ACTIVATION	LUAD	SSX2IP|117178	-	A5	chr1:85136498-85136860:85136498-85136872		1.9732	-0.0634	12.5
T_CELL_ACTIVATION	LUAD	KSR1|8844	+	SE	chr17:25928427-25928919:25928984-25930860		1.971	0.1932	43.75
T_CELL_ACTIVATION	LUAD	IL9R|3581	+	A3	chrX:155233225-155233342:155233225-155233349		1.9473	0.0719	37.5
T_CELL_ACTIVATION	LUAD	MBD1|4152	-	SE	chr18:47794033-47797839:47797910-47799047		1.9453	0.1299	31.25
T_CELL_ACTIVATION	LUAD	PAK1|5058	-	SE	chr11:77091039-77103376:77103586-77122819		1.9448	0.2816	62.5
T_CELL_ACTIVATION	LUAD	PLAU|5328	+	A5	chr10:75670980-75671283:75670976-75671283		1.9325	-0.1473	43.75
T_CELL_ACTIVATION	LUAD	YIPF1|54432	-	SE	chr1:54317943-54320674:54320724-54325729		1.9302	-0.1927	37.5
T_CELL_ACTIVATION	LUAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		1.9229	-0.4081	62.5
