# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	LUAD	IPO8|10526	-	RI	chr12:30781923:30783891-30784829:30784945		5.6329	-0.5391	68.75
AR_PATHWAY	LUAD	RGPD4|285190	+	RI	chr2:108487161:108488058-108489231:108489384		5.4567	0.5534	81.25
AR_PATHWAY	LUAD	TTF1|7270	-	SE	chr9:135275645-135276842:135278215-135282177		5.1098	0.4418	43.75
AR_PATHWAY	LUAD	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045		4.7461	0.4696	50
AR_PATHWAY	LUAD	C9orf5|23731	-	A5	chr9:111826847-111835528:111826847-111835636		4.5002	-0.4836	62.5
AR_PATHWAY	LUAD	ZC3H13|23091	-	A3	chr13:46539567-46541639:46539564-46541639		4.4852	-0.4475	31.25
AR_PATHWAY	LUAD	SON|6651	+	A3	chr21:34948199-34948671:34948199-34948724		4.4704	0.5598	50
AR_PATHWAY	LUAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.3975	0.4903	68.75
AR_PATHWAY	LUAD	PITPNM1|9600	-	RI	chr11:67263649:67263816-67264702:67264907		3.9585	-0.4976	68.75
AR_PATHWAY	LUAD	RBM33|155435	+	A3	chr7:155538296-155556503:155538296-155556506		3.9423	-0.4507	68.75
AR_PATHWAY	LUAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.8986	0.3892	56.25
AR_PATHWAY	LUAD	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		3.881	0.5353	68.75
AR_PATHWAY	LUAD	EDC4|23644	+	SE	chr16:67907246-67909641:67909740-67909848		3.8546	-0.5124	18.75
AR_PATHWAY	LUAD	SLTM|79811	-	A5	chr15:59185563-59186020:59185563-59186101		3.8459	0.5089	56.25
AR_PATHWAY	LUAD	BMPR2|659	+	SE	chr2:203417611-203419975:203421254-203424419		3.7833	0.4538	56.25
AR_PATHWAY	LUAD	MLL3|58508	-	A5	chr7:151855010-151855942:151855010-151855948		3.7734	0.5181	62.5
AR_PATHWAY	LUAD	CELF2|10659	+	A5	chr10:11207282-11207449:11207280-11207449		3.7628	0.4444	31.25
AR_PATHWAY	LUAD	KIF21A|55605	-	SE	chr12:39705355-39711875:39712003-39713708		3.7345	0.3762	25
AR_PATHWAY	LUAD	CDCA2|157313	+	SE	chr8:25327496-25329629:25329700-25337429		3.6994	-0.4097	56.25
AR_PATHWAY	LUAD	BPTF|2186	+	SE	chr17:65955991-65959449:65959622-65960328		3.6348	-0.4529	56.25
AR_PATHWAY	LUAD	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.5461	-0.4322	37.5
AR_PATHWAY	LUAD	KIF20B|9585	+	SE	chr10:91522592-91526024:91526329-91528047		3.4642	-0.3973	62.5
AR_PATHWAY	LUAD	UHRF2|115426	+	SE	chr9:6493932-6495585:6497103-6497198		3.4175	-0.467	68.75
AR_PATHWAY	LUAD	TARSL2|123283	-	SE	chr15:102226265-102239534:102239638-102241289		3.41	-0.4877	50
AR_PATHWAY	LUAD	SAPS3|55291	+	SE	chr11:68331900-68334467:68334634-68337216		3.3273	-0.1908	18.75
AR_PATHWAY	LUAD	CUL9|23113	+	A5	chr6:43184241-43188197:43184123-43188197		3.3122	0.4738	75
AR_PATHWAY	LUAD	SPSB3|90864	-	RI	chr16:1828135:1828322-1828436:1828613		3.3067	-0.4777	43.75
AR_PATHWAY	LUAD	TMUB2|79089	+	RI	chr17:42266390:42266667-42266792:42266956		3.2816	0.376	37.5
AR_PATHWAY	LUAD	TARSL2|123283	-	SE	chr15:102197239-102197988:102198060-102201915		3.2772	0.4876	43.75
AR_PATHWAY	LUAD	FBXO11|80204	-	SE	chr2:48046217-48047501:48047595-48049357		3.233	0.4726	81.25
AR_PATHWAY	LUAD	ODF2|4957	+	A5	chr9:131258576-131260692:131258420-131260692		3.2283	-0.5006	56.25
AR_PATHWAY	LUAD	UBXN4|23190	+	RI	chr2:136540319:136542431-136542432:136542632		3.2063	-0.5141	62.5
