# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	BRCA	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		5.7875	-0.6075	50
RIBOSOME	BRCA	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920		3.6465	-0.6317	75
RIBOSOME	BRCA	TDRD7|23424	+	SE	chr9:100235908-100237665:100237751-100240721		3.5331	-0.6225	87.5
RIBOSOME	BRCA	SYNCRIP|10492	-	SE	chr6:86350282-86351010:86351169-86352515		3.4277	-0.5525	56.25
RIBOSOME	BRCA	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		3.2546	-0.5913	68.75
RIBOSOME	BRCA	PFDN5|5204	+	A3	chr12:53689725-53690214:53689725-53691634		3.2124	-0.2923	62.5
RIBOSOME	BRCA	NUP205|23165	+	A3	chr7:135315218-135320312:135315218-135320329		3.1243	0.639	68.75
RIBOSOME	BRCA	MAST2|23139	+	RI	chr1:46497850:46497933-46497999:46498076		3.0916	-0.5718	37.5
RIBOSOME	BRCA	TRIM33|51592	-	SE	chr1:114952938-114963002:114963073-114964058		3.0128	0.5844	43.75
RIBOSOME	BRCA	MLF1IP|79682	-	SE	chr4:185618957-185621974:185622035-185623243		2.9773	0.3973	37.5
RIBOSOME	BRCA	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		2.9675	-0.6048	56.25
RIBOSOME	BRCA	MTMR10|54893	-	A3	chr15:31235275-31239333:31235194-31239333		2.9395	-0.6042	43.75
RIBOSOME	BRCA	DHCR24|1718	-	SE	chr1:55319907-55330976:55331119-55337023		2.8542	-0.595	56.25
RIBOSOME	BRCA	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		2.8482	-0.5372	50
RIBOSOME	BRCA	SLC17A5|26503	-	SE	chr6:74325170-74331527:74331685-74345105		2.8455	-0.6039	75
RIBOSOME	BRCA	TTF1|7270	-	SE	chr9:135275645-135276842:135278215-135282177		2.8377	-0.5609	75
RIBOSOME	BRCA	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		2.8164	-0.3716	43.75
RIBOSOME	BRCA	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		2.8115	-0.5026	68.75
RIBOSOME	BRCA	DNAJC3|5611	+	SE	chr13:96377506-96409898:96410050-96412294		2.7624	-0.5814	56.25
RIBOSOME	BRCA	POMT1|10585	+	SE	chr9:134378460-134381501:134381607-134381790		2.7575	-0.4309	43.75
RIBOSOME	BRCA	FAM189B|10712	-	A3	chr1:155220720-155220886:155220612-155220886		2.743	0.5459	68.75
RIBOSOME	BRCA	MFAP3|4238	+	SE	chr5:153418571-153429117:153429577-153432480		2.7322	-0.6297	87.5
RIBOSOME	BRCA	PTPRA|5786	+	SE	chr20:2928670-2936255:2936344-2944918		2.7121	0.5641	50
RIBOSOME	BRCA	KIAA0430|9665	-	SE	chr16:15719030-15719229:15719657-15724189		2.6792	-0.6081	81.25
RIBOSOME	BRCA	ATP2A2|488	+	RI	chr12:110784006:110784126-110788097:110788895		2.6786	0.5772	62.5
RIBOSOME	BRCA	MDC1|9656	-	A3	chr6:30673875-30675161:30671598-30675161		2.6687	-0.5963	68.75
RIBOSOME	BRCA	PLOD3|8985	-	A5	chr7:100853954-100854872:100853954-100854874		2.6395	-0.57	31.25
RIBOSOME	BRCA	RAF1|5894	-	SE	chr3:12645788-12647700:12647798-12650265		2.6384	-0.6164	62.5
RIBOSOME	BRCA	POLL|27343	-	SE	chr10:103345913-103347003:103347163-103347961		2.623	0.2606	43.75
RIBOSOME	BRCA	ZC3HC1|51530	-	A3	chr7:129664346-129665998:129664217-129665998		2.621	-0.3042	25
RIBOSOME	BRCA	WDR48|57599	+	SE	chr3:39108121-39108237:39108366-39110262		2.6125	-0.6059	56.25
RIBOSOME	BRCA	RGL2|5863	-	SE	chr6:33263536-33263805:33264102-33264191		2.6052	-0.5267	87.5
RIBOSOME	BRCA	NASP|4678	+	SE	chr1:46072263-46072993:46074009-46078841		2.598	-0.1996	56.25
RIBOSOME	BRCA	MAST2|23139	+	SE	chr1:46474043-46476402:46476611-46485268		2.5833	-0.5715	43.75
RIBOSOME	BRCA	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.5785	0.5939	68.75
RIBOSOME	BRCA	KIAA0913|23053	+	A5	chr10:75559952-75560054:75559928-75560054		2.573	-0.6112	25
RIBOSOME	BRCA	BAZ2A|11176	-	A5	chr12:56994882-56994964:56994882-56995030		2.5546	-0.5939	62.5
RIBOSOME	BRCA	PSME4|23198	-	SE	chr2:54096675-54101476:54101631-54102764		2.5496	-0.5993	81.25
RIBOSOME	BRCA	APAF1|317	+	SE	chr12:99093347-99097149:99097277-99100263		2.544	-0.6028	56.25
RIBOSOME	BRCA	HELZ|9931	-	A3	chr17:65156481-65157013:65156478-65157013		2.5352	-0.0876	37.5
RIBOSOME	BRCA	STAB1|23166	+	RI	chr3:52555612:52555716-52555860:52555967		2.4971	0.5618	43.75
RIBOSOME	BRCA	EWSR1|2130	+	A3	chr22:29678546-29682912:29678546-29682987		2.4817	-0.4558	62.5
RIBOSOME	BRCA	CUL9|23113	+	A5	chr6:43184241-43188197:43184123-43188197		2.481	-0.6051	62.5
RIBOSOME	BRCA	TTPAL|79183	+	SE	chr20:43109084-43112977:43113170-43115236		2.4697	-0.5779	43.75
RIBOSOME	BRCA	ZNF638|27332	+	SE	chr2:71645769-71649944:71651168-71651780		2.4689	-0.6218	56.25
