# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
T_CELL_ACTIVATION	KIRP	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	4.8545	0.5016	87.5
T_CELL_ACTIVATION	KIRP	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	4.189	0.474	87.5
T_CELL_ACTIVATION	KIRP	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	2.5569	0.1747	81.25
T_CELL_ACTIVATION	KIRP	PDCD1|5133	-	SE	chr2:242794135-242794350:242794505-242794773	Observed	2.4507	0.0944	81.25
T_CELL_ACTIVATION	KIRP	CD6|923	+	SE	chr11:60785485-60785761:60785865-60786726	Observed	2.4202	0.2645	87.5
T_CELL_ACTIVATION	KIRP	LCK|3932	+	SE	chr1:32741664-32741938:32742090-32742208	Observed	2.3512	0.0943	62.5
T_CELL_ACTIVATION	KIRP	LCK|3932	+	RI	chr1:32740338:32740419-32740594:32740684	Observed	2.2555	-0.0918	62.5
T_CELL_ACTIVATION	KIRP	PDCD1|5133	-	A5	chr2:242794505-242794773:242794505-242795009	Observed	2.0609	0.1763	62.5
T_CELL_ACTIVATION	KIRP	IL2RA|3559	-	SE	chr10:6061904-6063441:6063656-6066207	Observed	1.9468	0.1488	87.5
T_CELL_ACTIVATION	KIRP	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427	Observed	1.5518	0.2569	81.25
T_CELL_ACTIVATION	KIRP	CD6|923	+	SE	chr11:60781035-60781391:60781486-60783185	Observed	1.5028	0.0388	62.5
T_CELL_ACTIVATION	KIRP	CD28|940	+	RI	chr2:204591356:204591421-204591674:204591712	Observed	1.2049	0.1935	75
T_CELL_ACTIVATION	KIRP	PTPN22|26191	-	SE	chr1:114399063-114399170:114399241-114400360	Observed	1.0846	0.2457	68.75
T_CELL_ACTIVATION	KIRP	CD80|941	-	SE	chr3:119246688-119248689:119248784-119255984	Observed	1.0005	-0.1173	62.5
T_CELL_ACTIVATION	KIRP	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.0005	-0.0518	87.5
T_CELL_ACTIVATION	KIRP	CD28|940	+	SE	chr2:204591712-204594371:204594495-204599507	Observed	0.1548	0.2504	87.5
