# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	LIHC	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		3.6297	0.5149	56.25
SPLICEOSOME	LIHC	ENTPD5|957	-	SE	chr14:74454875-74474399:74474515-74477794		3.4741	0.5553	62.5
SPLICEOSOME	LIHC	CASC4|113201	+	SE	chr15:44673174-44695085:44695252-44705534		3.2284	-0.5349	56.25
SPLICEOSOME	LIHC	ZNF410|57862	+	SE	chr14:74387808-74388769:74388909-74390098		3.1641	-0.2422	37.5
SPLICEOSOME	LIHC	PML|5371	+	SE	chr15:74317268-74324913:74325056-74325497		3.1525	-0.4988	18.75
SPLICEOSOME	LIHC	HPS1|3257	-	SE	chr10:100189399-100189548:100189646-100190328		3.0947	-0.5032	18.75
SPLICEOSOME	LIHC	MEMO1|51072	-	SE	chr2:32095021-32108455:32108531-32117061		3.0601	-0.4293	12.5
SPLICEOSOME	LIHC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		2.692	-0.5187	68.75
SPLICEOSOME	LIHC	DAP3|7818	+	SE	chr1:155679615-155686797:155686919-155691308		2.5667	-0.4545	25
SPLICEOSOME	LIHC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.5429	0.3541	62.5
SPLICEOSOME	LIHC	WDYHV1|55093	+	A5	chr8:124429172-124440164:124429096-124440164		2.5234	-0.295	50
SPLICEOSOME	LIHC	MEMO1|51072	-	SE	chr2:32168452-32235256:32235333-32236011		2.5019	-0.4381	25
SPLICEOSOME	LIHC	THNSL2|55258	+	SE	chr2:88482592-88484847:88484998-88485417		2.4686	-0.5342	50
SPLICEOSOME	LIHC	TMEM150A|129303	-	SE	chr2:85827141-85827468:85827535-85828144		2.4181	-0.4153	25
SPLICEOSOME	LIHC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		2.331	-0.4782	93.75
SPLICEOSOME	LIHC	MCCC2|64087	+	SE	chr5:70900295-70922467:70922580-70927948		2.3193	-0.4689	37.5
SPLICEOSOME	LIHC	ZNF141|7700	+	RI	chr4:331596:331694-331695:331775		2.3055	0.426	68.75
SPLICEOSOME	LIHC	SORBS1|10580	-	SE	chr10:97181830-97181947:97181973-97192205		2.2903	-0.4507	81.25
SPLICEOSOME	LIHC	HPS3|84343	+	A3	chr3:148885027-148885676:148885027-148885680		2.2571	-0.0023	37.5
SPLICEOSOME	LIHC	BAT2L1|84726	+	A3	chr9:134363483-134366809:134363483-134366812		2.2389	0.4627	75
SPLICEOSOME	LIHC	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		2.2202	-0.4658	50
SPLICEOSOME	LIHC	KIAA1731|85459	+	A5	chr11:93428839-93429486:93428800-93429486		2.2128	0.4428	43.75
SPLICEOSOME	LIHC	NT5E|4907	+	SE	chr6:86199317-86200226:86200375-86201695	Observed	2.2084	-0.4553	56.25
SPLICEOSOME	LIHC	RIPK1|8737	+	SE	chr6:3078169-3081213:3081350-3083319		2.1963	-0.4248	50
SPLICEOSOME	LIHC	PPHLN1|51535	+	SE	chr12:42729776-42745687:42745851-42748963		2.1828	-0.381	25
SPLICEOSOME	LIHC	G6PC|2538	+	A3	chr17:41056057-41059540:41056057-41059617		2.1725	-0.3854	6.25
SPLICEOSOME	LIHC	SLC35B4|84912	-	SE	chr7:133986862-133989557:133989606-133991424		2.163	-0.3806	12.5
SPLICEOSOME	LIHC	KIAA1539|80256	-	A5	chr9:35108734-35115668:35108734-35115802		2.1467	0.3628	50
SPLICEOSOME	LIHC	CDCA2|157313	+	A5	chr8:25361079-25364026:25361060-25364026		2.1439	0.0776	12.5
SPLICEOSOME	LIHC	CCDC7|221016	+	A5	chr10:32735559-32740520:32735325-32740520		2.122	0.2056	50
SPLICEOSOME	LIHC	PRAP1|118471	+	A3	chr10:135164937-135165508:135164937-135165511		2.1122	-0.33	18.75
SPLICEOSOME	LIHC	ECHDC1|55862	-	SE	chr6:127636041-127637595:127637647-127648147		2.1076	-0.2134	43.75
