# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	KIRC	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		3.5869	-0.4878	25
CELL_CYCLE_PATHWAY	KIRC	RAD54L|8438	+	SE	chr1:46738474-46739027:46739137-46739296		3.1811	0.3793	68.75
CELL_CYCLE_PATHWAY	KIRC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.9391	0.3034	81.25
CELL_CYCLE_PATHWAY	KIRC	ANLN|54443	+	A3	chr7:36455493-36458853:36455493-36458856		2.9306	0.3824	56.25
CELL_CYCLE_PATHWAY	KIRC	NEK2|4751	-	A3	chr1:211836994-211840448:211836970-211840448		2.7334	0.0932	68.75
CELL_CYCLE_PATHWAY	KIRC	EZH2|2146	-	SE	chr7:148526940-148529726:148529842-148543562		2.5436	0.1807	56.25
CELL_CYCLE_PATHWAY	KIRC	IGF2BP3|10643	-	SE	chr7:23381808-23383337:23383472-23385559		2.4655	0.3719	56.25
CELL_CYCLE_PATHWAY	KIRC	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.4565	-0.266	68.75
CELL_CYCLE_PATHWAY	KIRC	FAM64A|54478	+	SE	chr17:6352727-6353348:6353392-6353682		2.454	0.1786	68.75
CELL_CYCLE_PATHWAY	KIRC	NCAPG|64151	+	SE	chr4:17816621-17816897:17816981-17818884		2.3762	0.2244	50
CELL_CYCLE_PATHWAY	KIRC	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434	Observed	2.3043	0.3416	62.5
CELL_CYCLE_PATHWAY	KIRC	CAPN13|92291	-	SE	chr2:31010223-31029047:31029132-31030168		2.2829	0.0104	25
CELL_CYCLE_PATHWAY	KIRC	BIRC5|332	+	SE	chr17:76210870-76212047:76212115-76212745		2.2674	0.2007	62.5
CELL_CYCLE_PATHWAY	KIRC	CDCA2|157313	+	RI	chr8:25317756:25317816-25317900:25318070		2.2601	0.2892	37.5
CELL_CYCLE_PATHWAY	KIRC	MELK|9833	+	SE	chr9:36651874-36657238:36657360-36665347		2.2384	-0.2065	43.75
