# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.0432	0.6123	37.5
DNA_REPAIR_PATHWAY	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.9735	-0.4621	50
DNA_REPAIR_PATHWAY	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.7754	-0.5401	81.25
DNA_REPAIR_PATHWAY	STAD	ATP2A3|489	-	MX	chr17:3828735-3831275:3831332-3831957:3828735-3831534:3831621-3831957		3.1914	0.4634	6.25
DNA_REPAIR_PATHWAY	STAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		3.1808	-0.3833	87.5
DNA_REPAIR_PATHWAY	STAD	MAMDC2|256691	+	A5	chr9:72785547-72833253:72785543-72833253		3.1021	-0.422	31.25
DNA_REPAIR_PATHWAY	STAD	PUM2|23369	-	SE	chr2:20463221-20478344:20478580-20482708		2.9667	0.4013	43.75
DNA_REPAIR_PATHWAY	STAD	SEC16B|89866	-	SE	chr1:177901704-177901833:177901944-177902349		2.8634	-0.4076	68.75
DNA_REPAIR_PATHWAY	STAD	MYOF|26509	-	SE	chr10:95082930-95083027:95083115-95085583		2.7916	-0.4552	62.5
DNA_REPAIR_PATHWAY	STAD	ATP2B4|493	+	SE	chr1:203696699-203702351:203702458-203708674		2.7779	0.4647	50
DNA_REPAIR_PATHWAY	STAD	ADAM33|80332	-	A3	chr20:3649647-3649946:3649644-3649946		2.7687	-0.3528	37.5
DNA_REPAIR_PATHWAY	STAD	FN1|2335	-	A3	chr2:216237098-216238045:216236738-216238045		2.7345	0.3926	6.25
DNA_REPAIR_PATHWAY	STAD	BOD1L|259282	-	SE	chr4:13621691-13625014:13627936-13628969		2.6737	0.3988	6.25
DNA_REPAIR_PATHWAY	STAD	LRDD|55367	-	A3	chr11:803647-804094:803587-804094		2.6717	-0.352	56.25
DNA_REPAIR_PATHWAY	STAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		2.6173	0.4706	43.75
DNA_REPAIR_PATHWAY	STAD	DMTF1|9988	+	A3	chr7:86810657-86811372:86810657-86811544		2.6172	-0.3823	43.75
DNA_REPAIR_PATHWAY	STAD	CACNA1C|775	+	A3	chr12:2757673-2760740:2757673-2760806		2.5797	-0.2919	43.75
DNA_REPAIR_PATHWAY	STAD	GHR|2690	+	SE	chr5:42629205-42688992:42689121-42695019		2.5792	-0.4396	18.75
DNA_REPAIR_PATHWAY	STAD	ITSN2|50618	-	SE	chr2:24531625-24531747:24531821-24533153		2.5635	-0.1563	6.25
DNA_REPAIR_PATHWAY	STAD	CAMKK2|10645	-	RI	chr12:121675496:121678327-121678328:121678672		2.5587	-0.4698	31.25
DNA_REPAIR_PATHWAY	STAD	DGKG|1608	-	SE	chr3:185979567-185983036:185983095-185985474		2.5381	-0.3755	37.5
DNA_REPAIR_PATHWAY	STAD	KIF7|374654	-	A3	chr15:90188396-90188567:90188393-90188567		2.5274	-0.3678	50
DNA_REPAIR_PATHWAY	STAD	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		2.4625	-0.4555	62.5
DNA_REPAIR_PATHWAY	STAD	ZNF720|124411	+	A3	chr16:31765221-31765776:31765221-31770678		2.4438	-0.3901	75
DNA_REPAIR_PATHWAY	STAD	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		2.4407	0.4537	62.5
DNA_REPAIR_PATHWAY	STAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.3989	0.421	68.75
DNA_REPAIR_PATHWAY	STAD	FLNA|2316	-	A3	chrX:153578235-153578399:153578226-153578399		2.3962	-0.5267	25
DNA_REPAIR_PATHWAY	STAD	CAMKK2|10645	-	SE	chr12:121678672-121682376:121682418-121682943		2.3801	-0.4565	43.75
DNA_REPAIR_PATHWAY	STAD	PEG3|5178	-	A3	chr19:57329206-57329968:57329203-57329968		2.3775	-0.3783	68.75
DNA_REPAIR_PATHWAY	STAD	PXN|5829	-	A3	chr12:120653220-120653363:120653076-120653363		2.3534	-0.2061	31.25
DNA_REPAIR_PATHWAY	STAD	DZIP1|22873	-	SE	chr13:96258313-96261711:96261767-96263699		2.3527	-0.3904	31.25
DNA_REPAIR_PATHWAY	STAD	DOCK6|57572	-	A3	chr19:11313391-11314757:11313385-11314757		2.3451	0.4063	68.75
DNA_REPAIR_PATHWAY	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		2.3445	0.5121	12.5
DNA_REPAIR_PATHWAY	STAD	ZEB1|6935	+	SE	chr10:31608221-31661947:31662102-31676053		2.2685	0.3988	12.5
DNA_REPAIR_PATHWAY	STAD	SEC16B|89866	-	SE	chr1:177901704-177901833:177901941-177902349		2.2663	-0.3262	62.5
DNA_REPAIR_PATHWAY	STAD	MAP2|4133	+	SE	chr2:210574978-210588319:210588411-210590433		2.2649	-0.2839	43.75
DNA_REPAIR_PATHWAY	STAD	C1orf112|55732	+	SE	chr1:169768099-169770024:169770112-169771762		2.2476	0.4014	56.25
DNA_REPAIR_PATHWAY	STAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.2225	-0.4768	87.5
DNA_REPAIR_PATHWAY	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		2.2159	-0.4494	62.5
DNA_REPAIR_PATHWAY	STAD	PLXDC2|84898	+	SE	chr10:20466338-20500598:20500658-20506355		2.2003	-0.3893	68.75
DNA_REPAIR_PATHWAY	STAD	TMEM126B|55863	+	SE	chr11:85339732-85342189:85342360-85342731		2.1957	-0.1901	62.5
DNA_REPAIR_PATHWAY	STAD	GPRASP2|114928	+	A5	chrX:101968145-101968710:101967480-101968710		2.1941	-0.422	18.75
DNA_REPAIR_PATHWAY	STAD	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		2.1734	-0.4499	56.25
DNA_REPAIR_PATHWAY	STAD	KCNT2|343450	-	SE	chr1:196254888-196274364:196274475-196285022		2.1695	-0.3275	25
DNA_REPAIR_PATHWAY	STAD	PDLIM5|10611	+	A3	chr4:95494544-95496767:95494544-95497094		2.1608	0.4217	12.5
DNA_REPAIR_PATHWAY	STAD	BRPF3|27154	+	SE	chr6:36185787-36189945:36190042-36193044		2.1607	-0.3395	56.25
DNA_REPAIR_PATHWAY	STAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.136	-0.426	56.25
DNA_REPAIR_PATHWAY	STAD	KCNT2|343450	-	A3	chr1:196285156-196295847:196285151-196295847		2.1263	-0.3381	18.75
DNA_REPAIR_PATHWAY	STAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		2.1228	-0.5328	12.5
DNA_REPAIR_PATHWAY	STAD	AGPAT1|10554	-	A5	chr6:32139282-32144287:32139282-32145011		2.1132	-0.0943	37.5
DNA_REPAIR_PATHWAY	STAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.112	0.4552	75
DNA_REPAIR_PATHWAY	STAD	RFX2|5990	-	SE	chr19:6016282-6026174:6026248-6039991		2.1114	0.2739	31.25
DNA_REPAIR_PATHWAY	STAD	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		2.0991	-0.4363	37.5
DNA_REPAIR_PATHWAY	STAD	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.0902	-0.4566	68.75
DNA_REPAIR_PATHWAY	STAD	FAM66C|440078	+	SE	chr12:8333348-8340328:8340821-8341068		2.0891	-0.0357	25
DNA_REPAIR_PATHWAY	STAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.0858	0.4554	50
DNA_REPAIR_PATHWAY	STAD	CD200|4345	+	SE	chr3:112052071-112059749:112059830-112063809		2.0854	-0.2897	50
DNA_REPAIR_PATHWAY	STAD	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		2.0821	0.3752	37.5
DNA_REPAIR_PATHWAY	STAD	ADAM9|8754	+	A5	chr8:38940596-38947566:38940592-38947566		2.0734	0.3125	50
DNA_REPAIR_PATHWAY	STAD	PRRT1|80863	-	A3	chr6:32118683-32119586:32118360-32119586		2.0727	-0.3462	31.25
DNA_REPAIR_PATHWAY	STAD	APOL4|80832	-	RI	chr22:36585178:36587845-36587847:36587958		2.0629	-0.1803	75
DNA_REPAIR_PATHWAY	STAD	LOC728190|728190	-	A3	chr10:89090853-89096543:89090722-89096543		2.0592	0.222	31.25
DNA_REPAIR_PATHWAY	STAD	TNS1|7145	-	SE	chr2:218686661-218695090:218695113-218696178		2.0569	-0.3952	6.25
DNA_REPAIR_PATHWAY	STAD	LPPR4|9890	+	SE	chr1:99766522-99767280:99767453-99771241		2.0539	-0.3477	25
DNA_REPAIR_PATHWAY	STAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.0531	-0.4642	93.75
DNA_REPAIR_PATHWAY	STAD	SLC3A2|6520	+	SE	chr11:62623853-62638217:62638309-62639049		2.0058	0.1861	37.5
DNA_REPAIR_PATHWAY	STAD	LOC440354|440354	-	SE	chr16:29572972-29576672:29576827-29577407		2.0046	-0.1204	37.5
DNA_REPAIR_PATHWAY	STAD	CAMKK2|10645	-	A3	chr12:121678672-121682376:121678345-121682376		2.0045	-0.407	18.75
DNA_REPAIR_PATHWAY	STAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		1.9879	-0.4439	56.25
DNA_REPAIR_PATHWAY	STAD	ATP2A3|489	-	A5	chr17:3828735-3831521:3828735-3831534		1.986	0.2298	25
DNA_REPAIR_PATHWAY	STAD	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		1.978	0.4647	50
DNA_REPAIR_PATHWAY	STAD	HPS4|89781	-	RI	chr22:26861421:26861517-26862192:26862228		1.9739	-0.2516	50
DNA_REPAIR_PATHWAY	STAD	SLC11A1|6556	+	SE	chr2:219249989-219250135:219250208-219251358		1.9721	-0.0661	37.5
DNA_REPAIR_PATHWAY	STAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		1.9565	-0.3481	50
DNA_REPAIR_PATHWAY	STAD	SMCHD1|23347	+	SE	chr18:2718432-2722517:2722661-2724897		1.9506	-0.3627	56.25
DNA_REPAIR_PATHWAY	STAD	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		1.9498	-0.4311	31.25
DNA_REPAIR_PATHWAY	STAD	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		1.9488	-0.2992	37.5
DNA_REPAIR_PATHWAY	STAD	PDE2A|5138	-	SE	chr11:72319795-72342122:72342183-72353298		1.9388	-0.3901	50
DNA_REPAIR_PATHWAY	STAD	ABCA8|10351	-	SE	chr17:66937103-66938080:66938180-66951360		1.9338	0.4722	12.5
DNA_REPAIR_PATHWAY	STAD	ABLIM2|84448	-	A3	chr4:8009927-8010777:8009924-8010777		1.9287	0.2353	50
DNA_REPAIR_PATHWAY	STAD	HSH2D|84941	+	RI	chr19:16263362:16263451-16263853:16264018		1.9252	-0.3546	68.75
DNA_REPAIR_PATHWAY	STAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		1.9246	-0.4297	93.75
DNA_REPAIR_PATHWAY	STAD	APP|351	-	SE	chr21:27354790-27369675:27369731-27372330		1.9196	-0.4054	37.5
DNA_REPAIR_PATHWAY	STAD	CDH23|64072	+	SE	chr10:73572647-73573001:73573105-73574709		1.9174	-0.4116	56.25
DNA_REPAIR_PATHWAY	STAD	DMXL2|23312	-	SE	chr15:51750992-51751795:51751857-51755576		1.9147	0.3607	56.25
DNA_REPAIR_PATHWAY	STAD	GSTO2|119391	+	SE	chr10:106037874-106057336:106057442-106058886		1.9079	0.2234	37.5
DNA_REPAIR_PATHWAY	STAD	TEAD2|8463	-	SE	chr19:49858676-49859216:49859227-49860509		1.9069	-0.3318	43.75
DNA_REPAIR_PATHWAY	STAD	LYRM2|57226	-	A5	chr6:90347601-90347991:90347601-90348123		1.9056	-0.0907	6.25
DNA_REPAIR_PATHWAY	STAD	AASS|10157	-	SE	chr7:121738630-121738799:121738920-121741425		1.9036	-0.3696	56.25
DNA_REPAIR_PATHWAY	STAD	PUS1|80324	+	A5	chr12:132414341-132414452:132413925-132414452		1.9014	-0.1321	37.5
DNA_REPAIR_PATHWAY	STAD	PDPR|55066	+	SE	chr16:70182456-70187294:70187476-70190378		1.8927	0.0448	31.25
DNA_REPAIR_PATHWAY	STAD	C22orf36|388886	-	SE	chr22:24985917-24988184:24988390-24988830		1.8921	-0.1077	43.75
DNA_REPAIR_PATHWAY	STAD	DOCK5|80005	+	A5	chr8:25226241-25227072:25226203-25227072		1.8889	-0.3117	56.25
DNA_REPAIR_PATHWAY	STAD	LOC91316|91316	-	SE	chr22:24037704-24042913:24043032-24047616		1.8863	-0.1865	18.75
DNA_REPAIR_PATHWAY	STAD	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281310:41281939		1.8806	-0.4289	56.25
DNA_REPAIR_PATHWAY	STAD	TTC23|64927	-	A5	chr15:99781764-99789376:99781764-99789622		1.8778	0.0636	31.25
DNA_REPAIR_PATHWAY	STAD	NDRG4|65009	+	A3	chr16:58534173-58537648:58534173-58537702		1.8755	-0.1368	25
DNA_REPAIR_PATHWAY	STAD	LOC728190|728190	-	MX	chr10:89086429-89087950:89088036-89090649:89086429-89089529:89089600-89090649		1.862	-0.222	50
DNA_REPAIR_PATHWAY	STAD	ALG13|79868	+	SE	chrX:110980107-110987896:110988132-110996018		1.8602	-0.1493	50
DNA_REPAIR_PATHWAY	STAD	AMPH|273	-	SE	chr7:38466586-38468656:38469177-38469442		1.8565	0.3604	50
DNA_REPAIR_PATHWAY	STAD	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	1.6259	-0.3187	75
DNA_REPAIR_PATHWAY	STAD	EZH2|2146	-	A5	chr7:148529842-148543562:148529842-148543589	Observed	1.001	-0.0025	56.25
DNA_REPAIR_PATHWAY	STAD	SMARCAL1|50485	+	SE	chr2:217300219-217303143:217303208-217311741	Observed	1.001	-0.1015	56.25
DNA_REPAIR_PATHWAY	STAD	TMEM171|134285	+	A3	chr5:72424358-72427365:72424358-72427368	Observed	1.001	-0.1802	56.25
DNA_REPAIR_PATHWAY	STAD	BCOR|54880	-	A5	chrX:39911653-39913091:39911653-39913139	Observed	0.5204	0.3087	68.75
DNA_REPAIR_PATHWAY	STAD	REV3L|5980	-	SE	chr6:111650941-111651389:111651515-111652879	Observed	0.196	0.2493	75
