# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	KIRP	PHF6|84295	+	RI	chrX:133559231:133559360-133559691:133562821		5.0323	-0.6582	12.5
RRNA_PROCESSING	KIRP	HYDIN|54768	-	A3	chr16:71220821-71264465:71220816-71264465		5.0074	-0.5895	43.75
RRNA_PROCESSING	KIRP	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		4.6322	-0.6037	56.25
RRNA_PROCESSING	KIRP	CEP192|55125	+	SE	chr18:13069855-13071038:13071211-13072754		4.3507	-0.6187	75
RRNA_PROCESSING	KIRP	OBSCN|84033	+	A3	chr1:228526727-228527643:228526727-228527646		4.1582	0.5855	43.75
RRNA_PROCESSING	KIRP	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.95	-0.638	68.75
RRNA_PROCESSING	KIRP	MAN2A2|4122	+	SE	chr15:91452734-91453320:91453522-91453731		3.6967	-0.5755	62.5
RRNA_PROCESSING	KIRP	COASY|80347	+	A3	chr17:40714237-40714630:40714237-40714951		3.6694	-0.5742	68.75
RRNA_PROCESSING	KIRP	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130		3.6552	-0.4298	62.5
RRNA_PROCESSING	KIRP	ERI2|112479	-	A3	chr16:20810389-20810585:20809533-20810585		3.5924	-0.656	75
RRNA_PROCESSING	KIRP	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		3.4857	0.6514	68.75
RRNA_PROCESSING	KIRP	AGXT2L2|85007	-	A5	chr5:177658524-177658670:177658524-177659493		3.4205	-0.3497	18.75
RRNA_PROCESSING	KIRP	NOTCH2NL|388677	+	A3	chr1:145209436-145248813:145209436-145248821		3.4112	-0.5633	37.5
