# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	HNSC	KRT10|3858	-	A3	chr17:38975413-38975769:38975212-38975769		3.3701	-0.4105	18.75
DNA_REPLICATION_PATHWAY	HNSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.2437	-0.4233	87.5
DNA_REPLICATION_PATHWAY	HNSC	ANKHD1-EIF4EBP3|404734	+	A5	chr5:139917846-139918504:139917819-139918504		2.9239	-0.3243	37.5
DNA_REPLICATION_PATHWAY	HNSC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.8831	-0.2983	31.25
DNA_REPLICATION_PATHWAY	HNSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		2.8714	-0.3698	18.75
DNA_REPLICATION_PATHWAY	HNSC	RSU1|6251	-	A5	chr10:16824083-16858972:16824083-16859314		2.6752	-0.2514	50
DNA_REPLICATION_PATHWAY	HNSC	ANKHD1-EIF4EBP3|404734	+	A3	chr5:139915123-139916923:139915123-139916974		2.6727	0.3033	68.75
DNA_REPLICATION_PATHWAY	HNSC	ZC3H11A|9877	+	SE	chr1:203764922-203765421:203765624-203770703		2.6418	0.2786	25
DNA_REPLICATION_PATHWAY	HNSC	NFATC3|4775	+	MX	chr16:68225678-68248232:68248335-68260253:68225678-68255099:68255187-68260253		2.6383	-0.1573	43.75
DNA_REPLICATION_PATHWAY	HNSC	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998062-42998776	Observed	2.5966	-0.3446	43.75
DNA_REPLICATION_PATHWAY	HNSC	FANCA|2175	-	A5	chr16:89805382-89805537:89805382-89805541		2.5651	-0.2886	50
DNA_REPLICATION_PATHWAY	HNSC	DMKN|93099	-	A5	chr19:36001154-36001273:36001154-36001281		2.5242	0.3397	31.25
DNA_REPLICATION_PATHWAY	HNSC	OSBPL1A|114876	-	RI	chr18:21742013:21743039-21743041:21743245		2.5191	-0.065	50
DNA_REPLICATION_PATHWAY	HNSC	GNB3|2784	+	RI	chr12:6950422:6950508-6950750:6950788		2.411	-0.207	62.5
DNA_REPLICATION_PATHWAY	HNSC	DLST|1743	+	SE	chr14:75356052-75356600:75356655-75357759		2.4083	-0.3343	37.5
DNA_REPLICATION_PATHWAY	HNSC	KIAA1191|57179	-	SE	chr5:175782752-175786484:175786570-175786814		2.3566	-0.3345	43.75
DNA_REPLICATION_PATHWAY	HNSC	TET2|54790	+	SE	chr4:106068136-106111517:106111643-106155054		2.3504	0.1926	43.75
DNA_REPLICATION_PATHWAY	HNSC	ANKHD1|54882	+	SE	chr5:139866645-139876105:139876863-139884406		2.3246	0.2149	43.75
DNA_REPLICATION_PATHWAY	HNSC	MME|4311	+	A5	chr3:154798255-154801947:154798084-154801947		2.2801	-0.1872	25
DNA_REPLICATION_PATHWAY	HNSC	WAC|51322	+	SE	chr10:28879761-28884662:28884970-28897115		2.2687	-0.2545	31.25
DNA_REPLICATION_PATHWAY	HNSC	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		2.2643	-0.2732	43.75
DNA_REPLICATION_PATHWAY	HNSC	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.2561	0.3486	56.25
DNA_REPLICATION_PATHWAY	HNSC	ESRP2|80004	-	A5	chr16:68264930-68265081:68264930-68265199		2.2299	-0.2977	56.25
DNA_REPLICATION_PATHWAY	HNSC	SMN2|6607	+	SE	chr5:69366578-69372348:69372401-69372846		2.2259	-0.1252	18.75
DNA_REPLICATION_PATHWAY	HNSC	PSRC1|84722	-	A5	chr1:109825353-109825650:109825353-109825683		2.2166	0.2533	62.5
DNA_REPLICATION_PATHWAY	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.2048	0.2752	62.5
DNA_REPLICATION_PATHWAY	HNSC	FIGNL1|63979	-	SE	chr7:50515987-50516816:50517421-50517999		2.1714	0.182	43.75
DNA_REPLICATION_PATHWAY	HNSC	UBXN11|91544	-	SE	chr1:26624553-26627417:26627544-26628185		2.1424	0.0586	50
DNA_REPLICATION_PATHWAY	HNSC	PARD3|56288	-	SE	chr10:34649187-34661426:34661464-34663802		2.141	-0.3201	25
DNA_REPLICATION_PATHWAY	HNSC	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	2.1394	-0.2049	68.75
