# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	BRCA	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		9.2538	-0.4775	56.25
CELL_CYCLE_PATHWAY	BRCA	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		8.7907	0.3824	81.25
CELL_CYCLE_PATHWAY	BRCA	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		8.0124	0.5547	62.5
CELL_CYCLE_PATHWAY	BRCA	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315	Observed	7.4501	-0.4774	50
CELL_CYCLE_PATHWAY	BRCA	CDC25B|994	+	A5	chr20:3777378-3778269:3776526-3778269		7.1534	-0.4757	37.5
CELL_CYCLE_PATHWAY	BRCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		7.0012	-0.5462	37.5
CELL_CYCLE_PATHWAY	BRCA	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		6.5644	-0.4602	56.25
CELL_CYCLE_PATHWAY	BRCA	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		6.5209	-0.4602	62.5
CELL_CYCLE_PATHWAY	BRCA	C16orf13|84326	-	MX	chr16:684797-685281:685340-686094:684797-685612:685774-686094		6.5206	0.4728	75
CELL_CYCLE_PATHWAY	BRCA	MGC72080|389538	-	A3	chr7:97599174-97601447:97599157-97601447		6.2797	-0.5612	12.5
CELL_CYCLE_PATHWAY	BRCA	PCBP4|57060	-	A3	chr3:51992365-51992806:51992168-51992806	Observed	6.1605	0.4562	6.25
CELL_CYCLE_PATHWAY	BRCA	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		6.1235	0.3163	50
CELL_CYCLE_PATHWAY	BRCA	RTN4|57142	-	SE	chr2:55214834-55252222:55254621-55255300		6.02	0.376	43.75
CELL_CYCLE_PATHWAY	BRCA	RAG1AP1|55974	+	MX	chr1:155108852-155109304:155109427-155110455:155108852-155110037:155110198-155110455		5.9796	0.5398	37.5
CELL_CYCLE_PATHWAY	BRCA	PI4KB|5298	-	SE	chr1:151288985-151297221:151297393-151298648		5.961	0.4982	31.25
