# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		6.0435	-0.7023	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		5.7839	-0.5943	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		5.4636	0.7299	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.3445	0.7387	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		5.2846	-0.631	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		5.0619	0.7092	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.9968	-0.7226	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		4.8841	0.6717	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MFAP5|8076	-	SE	chr12:8803185-8804258:8804287-8807033		4.7195	0.3868	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		4.2049	0.6699	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		4.197	0.693	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		4.139	0.6265	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		4.086	0.6537	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	C20orf103|24141	+	SE	chr20:9496272-9496647:9496778-9496903		4.0475	0.5934	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.8219	-0.7244	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	CLIP4|79745	+	A5	chr2:29380268-29383199:29380213-29383199		3.8132	-0.4059	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		3.8017	0.7015	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		3.7587	0.4619	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.6991	0.5936	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.6747	0.6611	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.6427	-0.6045	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		3.5904	-0.5085	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MSRB3|253827	+	SE	chr12:65672645-65702309:65702435-65720606		3.5633	0.4341	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.5258	-0.6118	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	SULF1|23213	+	SE	chr8:70379185-70408000:70408165-70414109		3.516	0.2919	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		3.4642	0.526	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		3.4253	0.595	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.3776	-0.5703	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.2826	0.6822	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		3.2632	0.5792	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		3.2623	-0.5105	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		3.2101	-0.5499	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		3.1983	0.6158	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		3.1586	0.4205	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	HTR2B|3357	-	SE	chr2:231974123-231978443:231978643-231988127		3.143	0.5534	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.138	0.66	87.5
