# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_LOCALIZATION	ESCA	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		5.2954	-0.4046	62.5
PROTEIN_LOCALIZATION	ESCA	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.0725	-0.4048	62.5
PROTEIN_LOCALIZATION	ESCA	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.9773	-0.5882	87.5
PROTEIN_LOCALIZATION	ESCA	CAMKK2|10645	-	A3	chr12:121678672-121682376:121678345-121682376		3.4318	-0.4892	18.75
PROTEIN_LOCALIZATION	ESCA	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		3.4193	-0.3883	62.5
PROTEIN_LOCALIZATION	ESCA	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		3.3189	-0.5614	50
PROTEIN_LOCALIZATION	ESCA	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		3.195	0.4949	75
PROTEIN_LOCALIZATION	ESCA	MLH3|27030	-	SE	chr14:75500193-75503296:75503445-75505043		3.0938	-0.499	62.5
PROTEIN_LOCALIZATION	ESCA	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		3.0899	0.3641	56.25
PROTEIN_LOCALIZATION	ESCA	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		2.9965	0.4451	43.75
PROTEIN_LOCALIZATION	ESCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.9724	-0.4802	87.5
PROTEIN_LOCALIZATION	ESCA	GUCY1B3|2983	+	SE	chr4:156680295-156680508:156680693-156680939		2.9364	-0.2536	18.75
PROTEIN_LOCALIZATION	ESCA	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.9227	-0.4025	56.25
PROTEIN_LOCALIZATION	ESCA	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		2.9161	-0.4313	75
PROTEIN_LOCALIZATION	ESCA	RASSF8|11228	+	A3	chr12:26112081-26208169:26112081-26208212		2.8844	-0.3521	56.25
PROTEIN_LOCALIZATION	ESCA	TMPPE|643853	-	A3	chr3:33135795-33138211:33135280-33138211		2.8229	-0.2382	31.25
PROTEIN_LOCALIZATION	ESCA	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		2.8029	-0.4295	37.5
PROTEIN_LOCALIZATION	ESCA	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		2.7961	0.2984	56.25
PROTEIN_LOCALIZATION	ESCA	NCOR2|9612	-	SE	chr12:124810916-124812093:124812179-124815391		2.7741	-0.5692	18.75
PROTEIN_LOCALIZATION	ESCA	ATRX|546	-	A3	chrX:76944420-76952065:76944417-76952065		2.7634	0.4075	6.25
PROTEIN_LOCALIZATION	ESCA	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		2.7374	-0.3512	93.75
PROTEIN_LOCALIZATION	ESCA	GOLGA4|2803	+	SE	chr3:37292975-37315027:37315092-37323449		2.7253	-0.519	37.5
PROTEIN_LOCALIZATION	ESCA	C7orf44|55744	-	MX	chr7:43688251-43690092:43690311-43769028:43688251-43705257:43705321-43769028		2.6631	0.3649	50
PROTEIN_LOCALIZATION	ESCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.6586	-0.429	62.5
PROTEIN_LOCALIZATION	ESCA	KIAA0182|23199	+	SE	chr16:85647004-85667520:85667738-85682158		2.6357	-0.3975	50
PROTEIN_LOCALIZATION	ESCA	MGAT4A|11320	-	A3	chr2:99242055-99242186:99237968-99242186		2.6224	-0.4035	50
PROTEIN_LOCALIZATION	ESCA	SCHIP1|29970	+	A5	chr3:159482927-159583952:159482888-159583952		2.5853	0.2256	43.75
PROTEIN_LOCALIZATION	ESCA	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		2.5851	0.5556	62.5
PROTEIN_LOCALIZATION	ESCA	KCNT2|343450	-	MX	chr1:196285156-196286304:196286399-196300286:196285156-196295847:196296019-196300286		2.5765	0.3393	37.5
PROTEIN_LOCALIZATION	ESCA	NOL8|55035	-	A5	chr9:95086491-95087588:95086491-95087600		2.5739	-0.4976	56.25
PROTEIN_LOCALIZATION	ESCA	DCLK2|166614	+	A3	chr4:151125041-151141855:151125041-151141858		2.5665	-0.2944	37.5
PROTEIN_LOCALIZATION	ESCA	CDK11A|728642	-	A5	chr1:1647917-1650767:1647917-1650797		2.5323	0.2207	37.5
PROTEIN_LOCALIZATION	ESCA	NRXN2|9379	-	SE	chr11:64390550-64393935:64394024-64397874		2.5103	0.2554	12.5
PROTEIN_LOCALIZATION	ESCA	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.4994	0.4322	75
PROTEIN_LOCALIZATION	ESCA	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		2.4877	-0.4867	68.75
PROTEIN_LOCALIZATION	ESCA	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		2.4784	-0.4744	62.5
PROTEIN_LOCALIZATION	ESCA	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.466	-0.3588	68.75
PROTEIN_LOCALIZATION	ESCA	RNF150|57484	-	A5	chr4:141870526-141888777:141870526-141888903		2.4509	-0.443	25
PROTEIN_LOCALIZATION	ESCA	CCDC88A|55704	-	A3	chr2:55555571-55559702:55555568-55559702	Observed	2.4213	0.3236	62.5
PROTEIN_LOCALIZATION	ESCA	MLLT10|8028	+	A5	chr10:21823449-21823574:21823423-21823574		2.409	-0.4644	62.5
PROTEIN_LOCALIZATION	ESCA	ZNF720|124411	+	A5	chr16:31724769-31733947:31724756-31733947		2.4048	-0.3881	75
PROTEIN_LOCALIZATION	ESCA	KIF13A|63971	-	SE	chr6:17788106-17790103:17790141-17794480		2.3911	0.4364	87.5
PROTEIN_LOCALIZATION	ESCA	NIPBL|25836	+	RI	chr5:37063892:37064080-37064629:37065920		2.3859	0.3416	68.75
PROTEIN_LOCALIZATION	ESCA	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.3821	-0.4524	87.5
PROTEIN_LOCALIZATION	ESCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.3636	0.4091	68.75
PROTEIN_LOCALIZATION	ESCA	IL16|3603	+	A3	chr15:81598507-81598761:81598507-81598764		2.3544	0.4074	68.75
PROTEIN_LOCALIZATION	ESCA	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		2.334	-0.2693	62.5
PROTEIN_LOCALIZATION	ESCA	EML6|400954	+	SE	chr2:55191869-55193859:55194016-55194136		2.313	0.3635	37.5
PROTEIN_LOCALIZATION	ESCA	KIF20B|9585	+	SE	chr10:91522592-91526024:91526329-91528047		2.3066	0.5883	75
PROTEIN_LOCALIZATION	ESCA	OBSCN|84033	+	A5	chr1:228544045-228547298:228543894-228547298		2.3049	0.4384	25
PROTEIN_LOCALIZATION	ESCA	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		2.3001	-0.2506	62.5
PROTEIN_LOCALIZATION	ESCA	DST|667	-	SE	chr6:56325052-56327844:56327954-56328363		2.2564	-0.4785	12.5
PROTEIN_LOCALIZATION	ESCA	SYNM|23336	+	A3	chr15:99666997-99669572:99666997-99672955		2.232	-0.4998	87.5
PROTEIN_LOCALIZATION	ESCA	DUOXA2|405753	+	A3	chr15:45406950-45407564:45406950-45407997		2.2306	-0.3952	37.5
PROTEIN_LOCALIZATION	ESCA	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		2.2219	0.4814	37.5
PROTEIN_LOCALIZATION	ESCA	NDUFV3|4731	+	SE	chr21:44317157-44323292:44324386-44328974		2.2159	-0.5039	87.5
PROTEIN_LOCALIZATION	ESCA	ANKRD12|23253	+	SE	chr18:9221997-9239475:9239554-9254209		2.2158	-0.2835	6.25
PROTEIN_LOCALIZATION	ESCA	FBXO38|81545	+	SE	chr5:147805264-147806776:147807510-147812987		2.2048	-0.2775	75
PROTEIN_LOCALIZATION	ESCA	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.2004	0.344	62.5
PROTEIN_LOCALIZATION	ESCA	NGLY1|55768	-	SE	chr3:25761126-25761505:25761682-25770624		2.1952	-0.2708	12.5
PROTEIN_LOCALIZATION	ESCA	INCENP|3619	+	SE	chr11:61908516-61908972:61908983-61912454		2.189	-0.1687	37.5
PROTEIN_LOCALIZATION	ESCA	CD46|4179	+	SE	chr1:207959027-207963598:207963690-207966864		2.1881	-0.3588	25
PROTEIN_LOCALIZATION	ESCA	OGFOD2|79676	+	SE	chr12:123459930-123460358:123460414-123461201		2.1768	0.4697	56.25
PROTEIN_LOCALIZATION	ESCA	TRIOBP|11078	+	SE	chr22:38106573-38109217:38109418-38111770		2.1529	-0.2037	43.75
PROTEIN_LOCALIZATION	ESCA	USP37|57695	-	SE	chr2:219341704-219344373:219344438-219346793		2.1503	-0.3972	43.75
PROTEIN_LOCALIZATION	ESCA	ATRX|546	-	SE	chrX:76944420-76949313:76949426-76952065		2.1209	-0.4985	68.75
PROTEIN_LOCALIZATION	ESCA	STRA6|64220	-	SE	chr15:74486263-74487643:74487809-74487993		2.1177	-0.2034	56.25
PROTEIN_LOCALIZATION	ESCA	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.1097	-0.4832	75
PROTEIN_LOCALIZATION	ESCA	SYNRG|11276	-	SE	chr17:35936516-35937545:35937711-35939228		2.0973	0.3481	25
PROTEIN_LOCALIZATION	ESCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.0662	-0.4961	75
PROTEIN_LOCALIZATION	ESCA	NFRKB|4798	-	A3	chr11:129744228-129744396:129744225-129744396		2.0643	-0.4407	68.75
PROTEIN_LOCALIZATION	ESCA	PARD3|56288	-	SE	chr10:34620272-34625127:34625171-34626203		2.0418	0.4225	12.5
PROTEIN_LOCALIZATION	ESCA	ZNF667|63934	-	SE	chr19:56954110-56955500:56955650-56969524		2.041	-0.3011	12.5
PROTEIN_LOCALIZATION	ESCA	FTSJD1|55783	-	A5	chr16:71322840-71322989:71322840-71323255		2.0188	-0.1031	25
PROTEIN_LOCALIZATION	ESCA	NDRG2|57447	-	SE	chr14:21490656-21491023:21491064-21491400		2.0094	-0.2708	56.25
PROTEIN_LOCALIZATION	ESCA	MIAT|440823	+	SE	chr22:27062900-27063148:27063273-27064121		2.0059	-0.3206	43.75
PROTEIN_LOCALIZATION	ESCA	ERBB2IP|55914	+	SE	chr5:65350779-65364705:65364848-65370852		2.0031	0.1705	25
PROTEIN_LOCALIZATION	ESCA	ITGA7|3679	-	SE	chr12:56079072-56079986:56080098-56081755		1.9942	0.4003	68.75
PROTEIN_LOCALIZATION	ESCA	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		1.9877	-0.4146	81.25
PROTEIN_LOCALIZATION	ESCA	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		1.983	0.1654	56.25
PROTEIN_LOCALIZATION	ESCA	SCMH1|22955	-	SE	chr1:41608784-41617286:41617356-41625397		1.9829	-0.3821	56.25
PROTEIN_LOCALIZATION	ESCA	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		1.971	-0.5589	87.5
PROTEIN_LOCALIZATION	ESCA	XAF1|54739	+	SE	chr17:6661543-6662981:6663037-6663725		1.9598	0.2029	43.75
PROTEIN_LOCALIZATION	ESCA	GSDMB|55876	-	SE	chr17:38062524-38064429:38064467-38065211		1.9548	0.2414	31.25
PROTEIN_LOCALIZATION	ESCA	ZNF662|389114	+	RI	chr3:42949514:42949640-42950288:42950401		1.9488	-0.309	56.25
PROTEIN_LOCALIZATION	ESCA	APOBEC3D|140564	+	RI	chr22:39421075:39421354-39421562:39421676		1.9467	-0.3562	50
PROTEIN_LOCALIZATION	ESCA	SLC6A6|6533	+	A3	chr3:14457961-14485132:14457961-14485136		1.9458	-0.3194	43.75
