# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_SPLICING	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.0371	0.4406	75
MRNA_SPLICING	BRCA	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		4.4141	0.4398	62.5
MRNA_SPLICING	BRCA	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		4.3523	-0.5034	62.5
MRNA_SPLICING	BRCA	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		4.0602	-0.3997	56.25
MRNA_SPLICING	BRCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.0386	0.409	50
MRNA_SPLICING	BRCA	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		3.9989	-0.4235	50
MRNA_SPLICING	BRCA	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		3.7529	0.4794	81.25
MRNA_SPLICING	BRCA	ZNF384|171017	-	SE	chr12:6787626-6787829:6787876-6788112		3.6939	-0.351	43.75
MRNA_SPLICING	BRCA	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		3.6802	0.4178	50
MRNA_SPLICING	BRCA	PLSCR1|5359	-	SE	chr3:146251337-146254327:146254352-146262254		3.6115	-0.3287	31.25
MRNA_SPLICING	BRCA	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		3.6075	-0.516	62.5
MRNA_SPLICING	BRCA	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.5383	-0.5344	81.25
MRNA_SPLICING	BRCA	USP1|7398	+	A5	chr1:62902233-62905470:62902138-62905470		3.4857	-0.4166	6.25
MRNA_SPLICING	BRCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.4555	-0.4469	81.25
MRNA_SPLICING	BRCA	NF1|4763	+	SE	chr17:29490394-29496909:29497015-29508440		3.4419	-0.4976	37.5
MRNA_SPLICING	BRCA	LTBP4|8425	+	RI	chr19:41123006:41123091-41123094:41123130		3.3153	0.4692	62.5
MRNA_SPLICING	BRCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		3.2927	0.2497	50
MRNA_SPLICING	BRCA	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		3.2645	-0.1873	56.25
MRNA_SPLICING	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.1804	0.3873	62.5
MRNA_SPLICING	BRCA	LSM14B|149986	+	SE	chr20:60701495-60702641:60702757-60704841		3.1408	0.4684	31.25
MRNA_SPLICING	BRCA	FAM13B|51306	-	SE	chr5:137281686-137281917:137282000-137284644		3.1134	-0.4143	50
MRNA_SPLICING	BRCA	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		3.0497	-0.4959	75
MRNA_SPLICING	BRCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.033	-0.4459	56.25
MRNA_SPLICING	BRCA	CDC25B|994	+	A5	chr20:3777378-3778269:3776526-3778269		3.0142	-0.328	18.75
MRNA_SPLICING	BRCA	TMEM126B|55863	+	SE	chr11:85339732-85342189:85342360-85342731		2.9749	-0.2844	43.75
MRNA_SPLICING	BRCA	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		2.9625	-0.3995	25
MRNA_SPLICING	BRCA	WNK1|65125	+	A3	chr12:980514-987378:980514-987381		2.9572	0.3056	75
MRNA_SPLICING	BRCA	AGAP3|116988	+	SE	chr7:150831655-150835230:150835400-150837066		2.8713	-0.4478	68.75
MRNA_SPLICING	BRCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.8028	-0.4265	68.75
MRNA_SPLICING	BRCA	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		2.7976	0.1646	50
MRNA_SPLICING	BRCA	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		2.794	-0.3869	25
MRNA_SPLICING	BRCA	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		2.7412	0.4445	43.75
MRNA_SPLICING	BRCA	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		2.7398	0.4787	62.5
MRNA_SPLICING	BRCA	HIATL1|84641	+	SE	chr9:97216352-97218522:97218619-97220604		2.7197	-0.4563	56.25
MRNA_SPLICING	BRCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		2.7047	0.3532	43.75
MRNA_SPLICING	BRCA	CDC25C|995	-	A3	chr5:137666907-137667284:137666903-137667284		2.7011	0.0065	43.75
MRNA_SPLICING	BRCA	AP1B1|162	-	SE	chr22:29724884-29725701:29725709-29726367		2.696	-0.4471	43.75
MRNA_SPLICING	BRCA	PNPLA7|375775	-	A3	chr9:140409974-140414369:140409971-140414369		2.6791	0.4091	68.75
MRNA_SPLICING	BRCA	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		2.6492	0.4486	62.5
MRNA_SPLICING	BRCA	FAM189B|10712	-	A3	chr1:155220720-155220886:155220612-155220886		2.6423	0.4538	62.5
MRNA_SPLICING	BRCA	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		2.6393	0.4791	31.25
MRNA_SPLICING	BRCA	USP19|10869	-	SE	chr3:49154376-49154492:49154794-49154870		2.634	-0.46	62.5
MRNA_SPLICING	BRCA	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.6306	-0.3854	37.5
MRNA_SPLICING	BRCA	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.6136	-0.2978	56.25
MRNA_SPLICING	BRCA	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.588	-0.4657	75
MRNA_SPLICING	BRCA	EBF1|1879	-	A5	chr5:158223483-158250184:158223483-158250208		2.5796	-0.3431	31.25
MRNA_SPLICING	BRCA	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		2.573	0.4664	62.5
MRNA_SPLICING	BRCA	SMPD4|55627	-	A3	chr2:130914386-130914824:130914248-130914824		2.5729	0.4794	31.25
MRNA_SPLICING	BRCA	FLNC|2318	+	SE	chr7:128489632-128490030:128490128-128490438		2.5709	-0.3347	43.75
MRNA_SPLICING	BRCA	STAT5A|6776	+	SE	chr17:40442040-40443990:40444079-40447637		2.5624	-0.4342	62.5
MRNA_SPLICING	BRCA	ZC3H11A|9877	+	RI	chr1:203770703:203770756-203772085:203772144		2.5333	-0.1332	25
MRNA_SPLICING	BRCA	OGN|4969	-	A3	chr9:95166046-95166778:95165683-95166778		2.5329	-0.3843	18.75
MRNA_SPLICING	BRCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.5269	0.3022	50
MRNA_SPLICING	BRCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.5122	-0.2773	75
MRNA_SPLICING	BRCA	RAG1AP1|55974	+	MX	chr1:155108852-155109304:155109427-155110455:155108852-155110037:155110198-155110455		2.5046	0.3706	31.25
MRNA_SPLICING	BRCA	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		2.49	0.0593	43.75
