# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	PRAD	DAB2IP|153090	+	A3	chr9:124533003-124534886:124533003-124534952		3.9649	-0.6965	50
TRANSLATION	PRAD	MAPKBP1|23005	+	A3	chr15:42116259-42116682:42116259-42116688		3.8944	-0.6759	75
TRANSLATION	PRAD	OSBPL5|114879	-	A5	chr11:3140861-3141651:3140861-3141774		3.7745	-0.6727	37.5
TRANSLATION	PRAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.7623	-0.6513	68.75
TRANSLATION	PRAD	EPB41L1|2036	+	SE	chr20:34782282-34783251:34783286-34785781		3.7605	-0.6896	25
TRANSLATION	PRAD	BZRAP1|9256	-	SE	chr17:56379808-56381699:56381760-56382422		3.6529	-0.6855	56.25
TRANSLATION	PRAD	PLEKHA2|59339	+	RI	chr8:38826939:38827187-38827189:38831428		3.6138	0.6415	50
TRANSLATION	PRAD	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		3.5895	-0.6892	68.75
TRANSLATION	PRAD	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		3.5791	0.7113	75
TRANSLATION	PRAD	NFRKB|4798	-	A3	chr11:129744228-129744396:129744225-129744396		3.5689	-0.694	68.75
TRANSLATION	PRAD	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		3.4392	-0.622	75
TRANSLATION	PRAD	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		3.386	0.6366	56.25
TRANSLATION	PRAD	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		3.3477	0.6776	75
TRANSLATION	PRAD	ZNF90|7643	+	SE	chr19:20188944-20215048:20215174-20216030		3.3188	-0.4098	75
TRANSLATION	PRAD	EPB41|2035	+	SE	chr1:29391670-29424319:29424447-29435848	Observed	3.2884	-0.2911	25
TRANSLATION	PRAD	SLC16A2|6567	+	SE	chrX:73745728-73749048:73749276-73751168		3.2439	-0.6226	68.75
TRANSLATION	PRAD	DUOXA1|90527	-	SE	chr15:45413003-45413285:45413419-45414383		3.2422	-0.4024	43.75
TRANSLATION	PRAD	TNPO3|23534	-	SE	chr7:128595439-128597278:128597369-128607334		3.2103	-0.6843	50
TRANSLATION	PRAD	PHRF1|57661	+	A3	chr11:610347-610501:610347-610667		3.1983	-0.6576	37.5
TRANSLATION	PRAD	RPAP1|26015	-	SE	chr15:41814448-41814963:41815158-41815443		3.1768	-0.6845	62.5
TRANSLATION	PRAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		3.1755	-0.6568	68.75
TRANSLATION	PRAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.1613	-0.5537	81.25
TRANSLATION	PRAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783	Observed	3.1578	0.4627	43.75
TRANSLATION	PRAD	ZDHHC5|25921	+	SE	chr11:57435659-57439493:57440666-57449894		3.1568	-0.6653	81.25
TRANSLATION	PRAD	SETD8|387893	+	SE	chr12:123868755-123873980:123874101-123875177		3.1567	-0.6088	50
TRANSLATION	PRAD	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		3.1347	0.6775	56.25
TRANSLATION	PRAD	PRPS2|5634	+	SE	chrX:12828265-12837626:12837799-12838763		3.1235	-0.6017	50
TRANSLATION	PRAD	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		3.1039	0.5707	37.5
TRANSLATION	PRAD	TRAPPC10|7109	+	A3	chr21:45506841-45507580:45506841-45507703		3.1012	-0.6959	50
TRANSLATION	PRAD	NUP153|9972	-	SE	chr6:17638001-17640170:17640295-17646298		3.096	-0.6077	62.5
TRANSLATION	PRAD	KIAA1274|27143	+	A3	chr10:72301290-72307062:72301290-72307066		3.0903	-0.6143	75
TRANSLATION	PRAD	CROCC|9696	+	RI	chr1:17294698:17294913-17295611:17295835		3.0638	0.5769	75
TRANSLATION	PRAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.0529	0.6798	81.25
TRANSLATION	PRAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.0479	-0.663	81.25
TRANSLATION	PRAD	TRPM4|54795	+	SE	chr19:49694030-49699697:49700131-49703557		3.036	0.5935	62.5
TRANSLATION	PRAD	ARHGAP23|57636	+	SE	chr17:36654752-36655174:36655196-36656839		3.0083	0.6104	62.5
TRANSLATION	PRAD	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		3.0054	0.604	81.25
TRANSLATION	PRAD	ATXN2L|11273	+	A3	chr16:28846720-28846867:28846720-28846870		2.9978	0.6758	43.75
TRANSLATION	PRAD	PI4KB|5298	-	SE	chr1:151280277-151288049:151288985-151299747		2.979	-0.6914	75
TRANSLATION	PRAD	SSFA2|6744	+	SE	chr2:182784173-182785324:182785377-182786675		2.979	0.6791	81.25
TRANSLATION	PRAD	NPR1|4881	+	SE	chr1:153658356-153658599:153658676-153659122		2.9742	-0.5657	56.25
TRANSLATION	PRAD	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	2.9322	-0.6652	81.25
TRANSLATION	PRAD	IARS|3376	-	SE	chr9:95050192-95050408:95050564-95051583		2.931	-0.6641	68.75
TRANSLATION	PRAD	C20orf194|25943	-	SE	chr20:3321286-3324323:3324378-3329172		2.9274	-0.4936	56.25
