# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	THCA	OBSCN|84033	+	A3	chr1:228526727-228527643:228526727-228527646		5.9533	0.6888	62.5
TRANSLATION	THCA	CASC4|113201	+	SE	chr15:44673174-44695085:44695252-44705534		5.5304	-0.6056	50
TRANSLATION	THCA	ANO10|55129	-	SE	chr3:43616356-43618184:43618753-43621845		5.3724	-0.6176	43.75
TRANSLATION	THCA	OXSM|54995	+	RI	chr3:25832481:25832806-25833261:25833488		5.0766	-0.4823	50
TRANSLATION	THCA	NFRKB|4798	-	A3	chr11:129744228-129744396:129744225-129744396		4.7976	-0.6687	68.75
TRANSLATION	THCA	LIMA1|51474	-	A3	chr12:50575820-50586235:50575817-50586235		4.7007	-0.6868	68.75
TRANSLATION	THCA	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		4.6906	0.6901	87.5
TRANSLATION	THCA	LRRK2|120892	+	SE	chr12:40693059-40694615:40694866-40696591		4.5452	0.6778	81.25
TRANSLATION	THCA	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		4.522	0.6404	68.75
TRANSLATION	THCA	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		4.4679	0.6624	62.5
TRANSLATION	THCA	TP53BP2|7159	-	SE	chr1:223984292-223985917:223986379-223987601		4.4517	-0.6525	75
